fac_no_faction|No Faction
fac_commoners|Commoners
fac_outlaws|Savages and Bandits
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Mirkwood Elves
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Mt.Gundabad
fac_dunland|Dunlendings
fac_beorn|Beornings
fac_kingdoms_end|kingdoms end
fac_player_supporters_faction|Player Faction
fac_player_faction|Player Faction
fac_brigands|Brigands
fac_tribal_orcs|Tribal Orcs
fac_neutral|ruins
fac_innocents|Innocents
fac_merchants|Merchants
fac_manhunters|Manhunters
fac_deserters|Deserters
fac_mountain_bandits|Mountain Bandits
fac_forest_bandits|Forest Bandits
fac_mission_companion_1| 
fac_mission_companion_2| 
fac_mission_companion_3| 
fac_mission_companion_4| 
fac_mission_companion_5| 
fac_mission_companion_6| 
fac_mission_companion_7| 
fac_mission_companion_8| 
fac_mission_companion_9| 
fac_mission_companion_10| 
fac_mission_companion_11| 
