menu_start_game_1|^^^^^^^^^^What do you fight for?
mno_start_good|the DAWN of a new Era
mno_start_evil|the TWILIGHT of Man
mno_faction_intros|Learn about the different factions of Middle-Earth
mno_go_bback|Go Back
menu_start_phase_2|^^^^^              Middle Earth. A shadow is growing in the East, ^              and dark things come forth that have long been hidden. ^              The free peoples prepare for war, the like of which has not been seen for an age. ^              Men, Elves, Dwarves and Orcs; all will play their part. ^^              What part, however, remains to be seen... 
mno_go_forth|          Go forth upon your chosen path...
mno_change_tld_options|Change TLD options.
menu_start_game_3|^^^^^^^^Choose your scenario:
mno_custom_battle_scenario_1|Skirmish, Gondor factions vs Harad
mno_custom_battle_scenario_12|Choose factions for battle
mno_custom_battle_scenario_3|Skirmish, Elves vs Black Numenoreans
mno_custom_battle_scenario_4|Helms Deep Defense, Rohan vs Isengard
mno_custom_battle_scenario_5|Skirmish, North factions vs Rhûn
mno_custom_battle_scenario_6|Siege Attack, Orcs vs Dwarves
mno_custom_battle_scenario_7|Ambush, Orcs vs Mirkwood
mno_custom_battle_scenario_8|The Last Stand of Durin's Folk
mno_custom_battle_scenario_88|Chasing an Orc Scout Party
mno_custom_battle_scenario_11|Test Battles (Tune Balancing!)
mno_custom_battle_scenario_10|Scenery test battle
mno_troll_battle_scenario|Test Troll Battles
mno_warg_battle_scenario|Test Warg Battles
mno_build_your_own_scene|** Build your own scene for TLD **
mno_go_back|Go back
menu_tutorial|^^ Welcome to the Combat Tutorial for Mount & Blade. Here you will learn the basics of combat, as well as a brief overview of troop command during field battles.
mno_tutorial_1|Tutorial #1: Basic movement and weapon selection. {s1}
mno_tutorial_2|Tutorial #2: Fighting with a shield. {s2}
mno_tutorial_3|Tutorial #3: Fighting without a shield. {s3}
mno_tutorial_3b_door|next level
mno_tutorial_4|Tutorial #4: Riding a horse or a warg. {s4}
mno_tutorial_5|Tutorial #5: Commanding a band of soldiers. {s5}
mno_go_back_dot|Go back.
mno_action_view_troop_trees|View troop trees.
mno_view_upkeep_costs|View upkeep costs.
mno_view_character_report|View character report.
mno_view_party_size_report|View party size report.
mno_view_morale_report|View party morale report.
mno_view_character_report_02|NPC status check.
mno_view_faction_strengths_report|View faction strengths report.
mno_view_traits_report|View traits.
mno_resume_travelling|Resume travelling.
mno_custom_battle_go|Start.
mno_leave_custom_battle_2|Cancel.
menu_custom_battle_end|^^^^^^The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle.^You personally slew {reg7} opponents in the fighting.
mno_replay|Play this battle again.
mno_continue_dot|Continue.
menu_custom_battle_durin_end|^^^^^^It was an admirable last stand, but ultimately doomed.^^ You and your kinsmen killed {reg5} enemies.^You personally slew {reg7} opponents in the fighting.
mno_replay_cbd|Play this battle again.
mno_continue_dot_cbd|Continue.
mno_dot_go_back|.                 Go back
menu_start_good|^^^^^^^^^^Select your race:
mno_start_ma|MAN
mno_start_el|ELF
mno_start_dw|DWARF
menu_start_evil|^^^^^^^^^^Whom do you Serve?
mno_start_eye|SAURON of Mordor, the Lord of the Rings
mno_start_hand|SARUMAN of Isengard, the White Hand
menu_start_eye|^^^^^^^^^Your Master is the Lidless Eye^Choose your Race
mno_start_or|an ORC, serving the Lidless Eye
mno_start_ur|an URUK, the new breed of Orcs
mno_start_em|a MAN, subjugated by Sauron
menu_start_hand|^^^^^^^^^Your Master is the White Hand^Choose your Race
mno_start_whor|an ORC, serving the White Hand
mno_start_isur|one of the URUK-HAI, bred in Isengard
mno_start_duma|a MAN of Dunland, the Western Plains
menu_start_good_man|^^^^^^^^^^Select your people:
mno_start_go|GONDOR, the Kingdom of the White Tower
mno_start_ro|ROHAN, the Horse people
mno_start_du|DUNEDAIN, the ancient dynasty of Men
mno_start_be|BEORNINGS, the Bear people
mno_start_wo|WOODMEN, from the eaves of Mirkwood
mno_start_da|the northern Kingdom of DALE
menu_start_good_elf|^^^^^^^^^^which Forest do you live in, Elder?
mno_start_ri|RIVENDELL, of Lord Elrond
mno_start_lo|LOTHLORIEN, of Lady Galadriel
mno_start_mi|MIRKWOOD, land of the Silvan Elves
menu_start_good_dwarf|^^^^^^^^^^Select your Lineage:
mno_start_er|a dweller of EREBOR
mno_start_ih|a miner of the IRON HILLS
menu_start_gondor|^^^^^^^^^^Where are you from, in Gondor?
mno_start_mt|MINAS TIRITH, the Capital
mno_start_ls|LOSSARNACH, the Fiefdom of the Axemen
mno_start_la|LAMEDON, the Fiefdom of the Mountain Clansmen
mno_start_pg|PINNATH GELIN, the Fiefdom of Green Hills
mno_start_do|DOL AMROTH, the Fiefdom of Swan Knights
mno_start_pe|PELARGIR, the Coastal Fiefdom
mno_start_bl|BLACKROOT VALE, the Fiefdom of Archers
menu_start_eye_man|^^^^^^^^^^Select your people:
mno_start_hr|HARADRIM, the desert people from the South
mno_start_bn|Black NUMENOREANS, the renegades from the West
mno_start_um|UMBAR, the pirates from the South Seas
mno_start_rh|RHUN, the barbarians from the East
mno_start_kh|KHAND, the savage people from South-East
menu_start_eye_uruk|^^^^^^^^^^Where do you lurk?
mno_start_arm_uruk|in the armies amassed at MORDOR
mno_start_cav_uruk|in the caves of DOL GULDUR
menu_start_eye_orc|^^^^^^^^^^Where do you lurk?
mno_start_arm|in the armies amassed at MORDOR
mno_start_cav|in the caves of DOL GULDUR
