
str_yes|Yes.
str_no|No.
str_noone|no one
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} and {s51}
str_s5_s_party| {s5}'s Party
str_s5_s_host| {s5}'s Host
str_given_by_s1_at_s2|Given by {s1} at {s2}
str_given_by_s1_in_wilderness|Given by {s1} whilst in the field
str_s7_raiders|{s7} Raiders
str_bandits_eliminated_by_another|The troublesome bandits have been eliminated by another party.
str_msg_battle_won|Battle won! Press tab key to leave...
str_tutorial_map1|You are now viewing the overland map. Left-click on the map to move your party to that location, enter the selected town, or pursue the selected party. Time will pause on the overland map if your party is not moving, waiting or resting. To wait anywhere simply press and hold down the space bar.
str_accept|Accept
str_charge|Charge
str_color|Color
str_flip_horizontal|Flip Horizontal
str_flip_vertical|Flip Vertical
str_hold_fire|Hold Fire
str_blunt_hold_fire|Blunt / Hold Fire
str_tutorial_ammo_refilled|Ammo refilled.
str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to to the menu where you can retry this tutorial.
str_tutorial_1_msg_1|In this tutorial you will learn the basics of movement and combat. In Mount&Blade you use the mouse to control where you are looking, and the WASD keys of your keyboard to move. Your first task in the training is to locate the flag in the room and move over it. You can press the Tab key at any time to quit this tutorial or to exit any other area in the game. Go to the flag now.
str_tutorial_1_msg_2|Well done. Next we will cover attacking with weapons. For the purposes of this tutorial you have been equipped with bow and arrows, a sword and a shield. You can draw different weapons from your weapon slots by using the scroll wheel of your mouse. In the default configuration, scrolling up pulls out your next weapon, and scrolling down pulls out your shield. If you are already holding a shield, scrolling down will put your shield away instead. Try changing your wielded equipment with the scroll wheel now. When you are ready, go to the flag to move on to your next task.
str_tutorial_1_msg_3|Excellent. The next part of this tutorial covers attacking with melee weapons. You attack with your currently wielded weapon by using your left mouse button. Press and hold the button to ready an attack, then release the button to strike. If you hold down the left mouse button for a while before releasing, your attack will be more powerful. Now draw your sword and destroy the four dummies in the room.
str_tutorial_1_msg_4|Nice work! You've destroyed all four dummies. You can now move on to the next room.
str_tutorial_1_msg_5|As you see, there is an archery target on the far side of the room. Your next task is to use your bow to put three arrows into that target. Press and hold down the left mouse button to notch an arrow. You can then fire the arrow by releasing the left mouse button. Note the targeting reticule in the centre of your screen, which shows you the accuracy of your shot. In order to achieve optimal accuracy, let fly your arrow when the reticule is at its smallest. Try to shoot the target now.
str_tutorial_1_msg_6|Well done! You've learned the basics of moving and attacking. With a little bit of practice you will soon master them. In the second tutorial you can learn more advanced combat skills and face armed opponents. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_2_msg_1|This tutorial will teach you how to defend yourself with a shield and how to battle armed opponents. For the moment you are armed with nothing but a shield. Your task is not to attack, but to successfully protect yourself from harm with your shield. There is an armed opponent waiting for you in the next room. He will try his best to knock you unconscious, while you must protect yourself with your shield by pressing and holding the right mouse button. Go into the next room now to face your opponent. Remember that you can press the Tab key at any time to quit this tutorial or to exit any other area in the game.
str_tutorial_2_msg_2|Press and hold down the right mouse button to raise your shield. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_2_msg_3|Well done, you've succeeded in defending against an armed opponent. The next phase of this tutorial will pit you and your shield against a force of enemy archers. Move on to the next room when you're ready to face the archers.
str_tutorial_2_msg_4|Defend yourself from arrows by raising your shield with the right mouse button. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_2_msg_5|Excellent, you've put up a succesful defence against archers. There is a reward waiting for you in the next room.
str_tutorial_2_msg_6|In the default configuration, the F key on your keyboard is used for non-violent interaction with objects and humans in the gameworld. To pick up the sword on the altar, look at it and press F when you see the word 'Equip'.
str_tutorial_2_msg_7|A fine weapon! Now you can use it to deliver a bit of payback. Go back through the door and dispose of the archers you faced earlier.
str_tutorial_2_msg_8|Very good. Your last task before finishing this tutorial is to face the squire. Go through the door now and show him your steel!
str_tutorial_2_msg_9|Congratulations! You have now learned how to defend yourself with a shield and even had your first taste of combat with armed opponents. Give it a bit more practice and you'll soon be a renowned swordsman. The next tutorial covers directional defence, which is one of the most important elements of Mount&Blade combat. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_3_msg_1|This tutorial is intended to give you an overview of parrying and defence without a shield. Parrying attacks with your weapon is a little bit more difficult than blocking them with a shield. When you are defending with a weapon, you are only protected from one direction, the direction in which your weapon is set. If you are blocking upwards, you will parry any overhead swings coming against you, but you will not stop thrusts or attacks to your sides. Either of these attacks would still be able to hit you. That's why, in order to survive without a shield, you must learn directional defence. Go pick up up the axe now to begin practice.
str_tutorial_3_msg_2|By default, the direction in which you defend (by clicking and holding your right mouse button) is determined by the attack direction of your closest opponent. For example, if your opponent is readying a thrust attack, pressing and holding the right mouse button will parry thrust attacks, but not side or overhead attacks. You must watch your opponent carefully and only initiate your parry AFTER the enemy starts to attack. If you start BEFORE he readies an attack, you may parry the wrong way altogether! Now it's time for you to move on to the next room, where you'll have to defend yourself against an armed opponent. Your task is to defend yourself successfully for thirty seconds with no equipment other than a simple axe. Your axe's attacks are disabled for this tutorial, so don't worry about attacking and focus on your defence instead. Move on to the next room when you are ready to initiate the fight.
str_tutorial_3_msg_3|Press and hold down the right mouse button to defend yourself with your axe after your opponent starts his attack. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_3_msg_4|Well done, you've succeeded this trial! Now you will be pitted against a more challenging opponent that will make things more difficult for you. Move on to the next room when you're ready to face him.
str_tutorial_3_msg_5|Press and hold down the right mouse button to defend yourself with your axe after your opponent starts his attack. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_3_msg_6|Congratulations, you still stand despite the enemy's best efforts. The time has now come to attack as well as defend. Approach the door and press the F key when you see the word 'Go'.
str_tutorial_3_2_msg_1|Your axe's attacks have been enabled again. Your first opponent is waiting in the next room. Defeat him by a combination of attack and defence.
str_tutorial_3_2_msg_2|Defeat your opponent with your axe.
str_tutorial_3_2_msg_3|Excellent. Now the only thing standing in your way is one last opponent. He is in the next room. Move in and knock him down.
str_tutorial_3_2_msg_4|Defeat your opponent with your axe.
str_tutorial_3_2_msg_5|Well done! In this tutorial you have learned how to fight ably without a shield. Train hard and train well, and no one shall be able to lay a stroke on you. In the next tutorial you may learn horseback riding and cavalry combat. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_4_msg_1|Welcome to the fourth tutorial. In this sequence you'll learn about riding a horse/warg and how to perform various martial exercises on horseback. We'll start by getting you mounted up. Approach the horse, and press the 'F' key when you see the word 'Mount'.
str_tutorial_4_msg_2|While on horseback, the WASD keys control your horse's movement, not your own. Ride your horse and try to follow the flag around the course. When you reach the flag, it will move to the next waypoint on the course until you reach the finish.
