itm_horse_meat|Horse Meat
itm_practice_sword|Practice Sword
itm_arena_lance|Lance
itm_practice_staff|Wooden Staff
itm_practice_bow|Practice Bow
itm_wooden_javelin|Wooden javelin
itm_human_meat|Human Flesh
itm_maggoty_bread|Maggoty Bread
itm_cram|Cram Ration
itm_lembas|Lembas
itm_smoked_fish|Smoked Fish
itm_dried_meat|Dried Meat
itm_cattle_meat|Beef
itm_grain|Wheat
itm_tools|Tools
itm_siege_supply|Supplies
itm_quest_wine|Wine
itm_quest_ale|Ale
itm_metal_scraps_bad|Low grade metal scraps
itm_metal_scraps_medium|Usable metal scraps
itm_metal_scraps_good|Good quality metal scraps
itm_oliphant|Oliphaunt
itm_sumpter_horse|Sumpter Horse
itm_saddle_horse|Saddle Horse
itm_steppe_horse|Steppe Horse
itm_courser|Courser
itm_hunter|Hunter
itm_pony|Pony
itm_arnor_warhorse|Arnorian Warhorse
itm_dunedain_warhorse|Dunedain Warhorse
itm_rohirrim_courser|Rohirrim Courser
itm_rohirrim_hunter|Rohirrim Hunter
itm_rohirrim_courser2|Rohirrim Courser
itm_rohan_warhorse|Rohirrim Warhorse
itm_thengel_warhorse|Thengel Guard Warhorse
itm_rhun_horse_a|Rhun Horse
itm_rhun_horse_b|Rhun Horse
itm_rhun_horse_d|Rhun Horse
itm_rhun_horse_e|Rhun Heavy Horse
itm_rhun_horse_f|Rhun Heavy Horse
itm_rhun_horse_g|Rhun Heavy Horse
itm_rhun_horse_h|Rhun Heavy Horse
itm_dale_horse|Dale Horse
itm_dale_warhorse|Dale Warhorse
itm_riv_warhorse|Rivendell Warhorse
itm_riv_warhorse2|Imladris Steed
itm_mordor_warhorse|Mordor Warhorse
itm_mordor_warhorse2|Mordor Sinister Warhorse
itm_gondor_courser|Gondor Courser
itm_gondor_hunter|Gondor Hunter
itm_dol_amroth_warhorse|Dol Amroth Warhorse
itm_dol_amroth_warhorse2|Dol Amroth Heavy Warhorse
itm_gondor_warhorse|Gondor Warhorse
itm_gondor_lam_horse|Lamedon Armored Horse
itm_lorien_warhorse|Lothlorien Warhorse
itm_harad_horse|Harad Horse
itm_harad_warhorse|Harad Warhorse
itm_variag_pony|Variag Pony
itm_variag_kataphrakt|Easterling Warhorse
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Armored Warg
itm_wargarmored_1c|Armored Warg
itm_wargarmored_2b|Armored Warg
itm_wargarmored_2c|Armored Warg
itm_wargarmored_3a|Armored Warg
itm_warg_reward|Huge Warg
itm_troll_feet_boots|Troll Feet
itm_troll_head_helm|Troll Head
itm_troll_head_helm_b|Troll Head
itm_troll_head_helm_c|Troll Head
itm_tree_trunk_club_a|Tree Trunk
itm_tree_trunk_club_b|Tree Trunk
itm_tree_trunk_invis|Tree Trunk
itm_giant_hammer|Giant Hammer
itm_giant_mace|Giant Mace
itm_giant_mace_b|Giant Spiked Mace
itm_olog_feet_boots|Olog Hai Feet
itm_olog_head_helm|Olog Hai Head
itm_olog_head_helm_b|Olog Hai Head
itm_olog_head_helm_c|Olog Hai Head
itm_olog_body|Olog Hai Armor
itm_olog_body_b|Olog Hai Armor
itm_olog_hands|Olog Hai Hands
itm_arrows|Arrows
itm_gondor_arrows|Gondor Arrows
itm_gondor_auxila_arrows|Gondorian Arrows
itm_khergit_arrows|Barbed Arrows
itm_rohan_arrows_2|Rohirrim Arrows
itm_harad_arrows|Haradrim Arrows
itm_corsair_arrows|Corsair Arrows
itm_ithilien_arrows|Ithilien Arrows
itm_woodelf_arrows|Woodelf Arrows
itm_elven_arrows|Elven Arrows
itm_orc_hook_arrow|Orc Hook Arrows
itm_isengard_arrow|Isengard Arrows
itm_pilgrim_disguise|Pilgrim Disguise
itm_leather_gloves|Leather Gloves
itm_mail_mittens|Mail Mittens
itm_leather_boots|Leather Boots
