trp_unarmed_troop|Unarmed Troop
trp_unarmed_troop_pl|Unarmed Troops
trp_tutorial_maceman|Maceman
trp_tutorial_maceman_pl|Macemen
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archers
trp_tutorial_swordsman|Swordsman
trp_tutorial_swordsman_pl|Swordsmen
trp_novice_fighter|Novice Fighter
trp_novice_fighter_pl|Novice Fighters
trp_regular_fighter|Regular Fighter
trp_regular_fighter_pl|Regular Fighters
trp_veteran_fighter|Veteran Fighter
trp_veteran_fighter_pl|Veteran Fighters
trp_champion_fighter|Champion Fighter
trp_champion_fighter_pl|Champion Fighters
trp_arena_training_fighter_1|Novice Fighter
trp_arena_training_fighter_1_pl|Novice Fighters
trp_arena_training_fighter_2|Novice Fighter
trp_arena_training_fighter_2_pl|Novice Fighters
trp_arena_training_fighter_3|Regular Fighter
trp_arena_training_fighter_3_pl|Regular Fighters
trp_arena_training_fighter_4|Regular Fighter
trp_arena_training_fighter_4_pl|Regular Fighters
trp_arena_training_fighter_5|Regular Fighter
trp_arena_training_fighter_5_pl|Regular Fighters
trp_arena_training_fighter_6|Veteran Fighter
trp_arena_training_fighter_6_pl|Veteran Fighters
trp_arena_training_fighter_7|Veteran Fighter
trp_arena_training_fighter_7_pl|Veteran Fighters
trp_arena_training_fighter_8|Veteran Fighter
trp_arena_training_fighter_8_pl|Veteran Fighters
trp_arena_training_fighter_9|Champion Fighter
trp_arena_training_fighter_9_pl|Champion Fighters
trp_arena_training_fighter_10|Champion Fighter
trp_arena_training_fighter_10_pl|Champion Fighters
trp_cattle|Cattle
trp_cattle_pl|Cattle
trp_farmer|Farmer
trp_farmer_pl|Farmers
trp_townsman|Townsman
trp_townsman_pl|Townsmen
trp_watchman|Townswoman
trp_watchman_pl|Townswomen
trp_i1_woodmen_man|Woodmen Settler
trp_i1_woodmen_man_pl|Woodmen Settlers
trp_i2_woodmen_forester|Woodmen Forester
trp_i2_woodmen_forester_pl|Woodmen Foresters
