hint_1|يجب ألا تثق باليد البيضاء بالعين المكشوفة كثيرًا ، ولا العكس.
hint_2|من الذي تقاتل ضده ، ومن تساعده ، وأين تدور المعركة لتحديد أي مملكة حليفة تلاحظها وربما تقدر جهودك.
hint_3|الكشافة مصدر معلومات للمملكة ، كما يتم جر السجناء إلى زنزاناتهم للتعذيب والاستجواب. تحرير السجناء وإرسال الكشافة يمكن أن يعمي العدو.
hint_4|تذكر أن لديك قيمة مختلفة لنقاط الموارد داخل كل مملكة ، مما يؤهلك لإعادة تزويدك بالمعدات والقوات داخل تلك المملكة.
hint_5|الانهيار العسكري للمملكة لا رجوع فيه. لا يمكن أن يعاني موردور مثل هذا المصير ، لكن الحرب ستنتهي إذا تم احتواء قوتها العسكرية وهزيمة جميع حلفائها.
hint_6|يتطلب الأمر عقلاً هادئًا (INT) لتجنب الذعر من Nazgul. يتطلب الأمر السيطرة الكاملة على الحصان لتجنب الذعر.
hint_7|يمكنك الاستراحة على خريطة العالم من خلال الضغط باستمرار على مفتاح المسافة. ومع ذلك ، فإن أعضاء الحزب الجرحى سوف يشفون بشكل أسرع أثناء الراحة في المدن.
hint_8|للمطالبة بسرعة وإعطاء العناصر بعيدًا في نافذة المخزون ، اضغط باستمرار على مفتاح التحكم أثناء النقر بزر الماوس الأيسر.
hint_9|يمكنك مغادرة أي مكان على الفور بالضغط على مفتاح tab والضغط على مفتاح Backspace أثناء المعركة لإحضار واجهة الأوامر.
hint_10|يمكن للحيوانات أن تصاب بالذعر بالقرب من المتصيدون و olog-hais. احذر!
hint_11|تمثل القوة البشرية موردًا حاسمًا للمملكة: أخذ القوات وإبقائها تحت قيادتك سوف يستهلك نقاط الموارد للفصيل المعني.
hint_12|يمكنك إعطاء الأوامر مجموعتك أثناء المعركة. يمكنك الضغط باستمرار على مفتاح Shift للتكبير أثناء التصويب على الأعداء البعيدين.
