skinkey_chin_size|حجم الذقن
skinkey_chin_shape|شكل الذقن
skinkey_chin_forward|الذقن الى الامام
skinkey_jaw_width|عرض الفك
skinkey_jaw_position|موقع الفك
skinkey_mouth_nose_distance|البعد بين الفك و الانف
skinkey_mouth_width|عرض الفم
skinkey_cheeks|الخدين
skinkey_nose_height|طول الانف
skinkey_nose_width|عرض الانف
skinkey_nose_size|حجم الانف
skinkey_nose_shape|شكل الانف
skinkey_nose_bridge|الحيادية للانف
skinkey_cheek_bones|عظام الخدين
skinkey_eye_width|عرض العينين
skinkey_eye_to_eye_dist|المسافة بين العينين
skinkey_eye_shape|شكل العين
skinkey_eye_depth|عمق العين
skinkey_eyelids|الجفون
; skinkey_eyebrow_position|Eyebrow Position
; skinkey_eyebrow_height|Eyebrow Height
; skinkey_eyebrow_depth|Eyebrow Depth
; skinkey_eyebrow_shape|Eyebrow Shape
; skinkey_temple_width|Temple Width
; skinkey_face_depth|Face Depth
; skinkey_face_ratio|Face Ratio
; skinkey_face_width|Face Width
; skinkey_post_edit|Post-Edit
; skinkey_snout_height|Snout Height
; skinkey_snout_width|Snout Width
; skinkey_snout_size|Snout Size
; skinkey_snout_shape|Snout Shape
; skinkey_weight|Weight
; skinkey_mouth_shape|Mouth Shape
; skinkey_eye_size|Eye Size
; skinkey_eye_slant|Eye Slant
; skinkey_frawn|Frawn
; skinkey_mouth_vert_pos|Mouth Vert Pos
; skinkey_mouth_to_nose_dist|Mouth to Nose Dist
; skinkey_chin_width|Chin Width
