fac_no_faction|Ged Ebet
fac_commoners|Komonerien
fac_outlaws|Gouezerd ha Laerien
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorian
fac_imladris|Imladris
fac_woodelf|Elfed Mirkwood
fac_dale|Traonienn
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Mz. Gundabad
fac_dunland|Dulendingoù
fac_beorn|Beormings
fac_player_supporters_faction|Ged ar C'hoarier
fac_player_faction|Ged ar C'hoarier
fac_brigands|Laerien
fac_tribal_orcs|Meuriad Orked
fac_innocents|Inosañted
fac_merchants|Marc'hadourien
fac_manhunters|Chaseourien-Tud
fac_deserters|Dizertourien
fac_mountain_bandits|Laerien ar Menezioù
fac_forest_bandits|Laerien ar C'hoadeier
