hint_1|An Dorn Gwenn na rankfe ket re a fiziañs e-barzh al Lagad Divalvenn, nag ar c'hontrefed.
hint_2|Gant piv ec'h en em ganner, war piv e kemerer harp, ha pelec'h e c'hoarvez un emgann, termenit peseurt rouantelezh a remerk hag he deus istim evit ho strivoù.
hint_3|Ar skouted a zo kalzig a ditouroù da gaout ganto evit ur Rouantelezh, evel ar prizonidi kaset en o zoulloù-bac'h a c'hall bezañ jahinet hag goulennet. Dieubit prizonidi ha kasit ergerzhourien evit dallañ an enebour.
hint_4|Mirit mat en ho penn ez eus talvoudegezhioù disheñvel evit ar poentoù-mammenn e-barzh pep rouantelezh, ar pezh a ro deoc'h an tu da vezañ pourvezet gant akiperezh ha bagadoù e-barzh ar rouantelezh-mañ.
hint_5|Fontadur milourel ur rouantelezh a zo un dra n'hallfer ket distreiñ warnañ. Ne c'hall ket ar Mordor mont da-heul ur blanedenn a-seurt-se, padal un termen a vo d'ar brezel ma vez mestroniet e c'halloudegezh milourel hag e vez trec'het hollad an dud kevredet gantañ.
hint_6|Ret eo kaout ur spered sioul (INT) evit chom hep pennfolliñ dirak un Nazgul. Ret eo ur c'hontrol direbech war e varc'h evit mirout outañ da bennfolliñ.
hint_7|Gellout a rit chom war kartenn ar bed en ur zerc'hel war ar bouton esaouenn. Koulskoude, izili gloazet ar strollad a bareo primoc'h en ur ziskuizhañ er c'hêrioù.
hint_8|Evit klask ha leuskel elfennoù e-barzh prenestr ar renabl, pouezit war ar bouton kontrol e-keit ha ma klikit war ar bouton kleiz.
hint_9|Gellout a rit kuitaat forzh peseurt lec'h en ur bouezañ war ar bouton tab, ha pouezañ war ar bouton Mont war-gil e-pad an emgann evit degas etrefas ar c'hommand.
hint_10|Al loened a c'hall bezañ spontet dirak trolled hag olog-haised. Diwallit eta!
hint_11|An dorn-labour a zo mammenn a-bouez du evit ur rouantelezh: kemer ha mirout tropelladoù dindan ho kourc'hemenn hag e komsomo poentoù-mammen ar c'havailhad roet.
hint_12|Gellout a rit reiñ urzhioù e-pad ma vez en emgann. Gellout a rit chom da bouezañ war ar bouton PENNLIZH evit zoumiñ en ur vukiñ enebourienn er pellder.
