p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath ar C'hornôg
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Kair Andros
p_town_calembel|Kalembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Emnet ar Reter
p_town_westfold|Kornôgfold
p_town_west_emnet|Emnet ar C'hornôg
p_town_eastfold|Reterfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Osgiliath ar Reter
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Isengard
p_town_urukhai_outpost|Post-a-raok an Uruk Hai
p_town_urukhai_h_camp|Kamp Chaseal an Uruk Hai
p_town_urukhai_r_camp|Kamp Uruk Hai ar Ster
p_town_caras_galadhon|Karas Galadhon
p_town_cerin_dolen|Kerin Dolen
p_town_cerin_amroth|Kerin Amroth
p_town_thranduils_halls|Hol Thranduil
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Kamp Koad-Elfed ar C'hornôg
p_town_woodsmen_village|Keriadenn ar Goadourien
p_town_beorning_village|Keriadenn Beorning
p_town_beorn_house|Ti Beorn
p_town_moria|Dorioù ar Moria
p_town_troll_cave|Kaou an Troll
p_town_dale|Traonienn
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Kamp Dunlander
p_town_harad_camp|Kamp an Haradrim
p_town_khand_camp|Kamp Khand
p_town_umbar_camp|Kamp ar Vorlaerien
p_town_imladris_camp|Kamp Rivendell
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Kamp-Pennañ Rhun
p_town_rhun_south_camp|Post-a-raok Rhun ar C'hreisteiz
p_town_rhun_north_camp|Post-a-raok Rhun an Hanternoz
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
; p_town_goblin_north_outpost|Goblin Town
p_town_goblin_south_outpost|Post-a-raok Kreisteiz ar C'hoblined
p_town_gundabad_m_outpost|Post-a-raok Gundabad Mirkwood
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Kamp-a-raok ar Gondor
p_advcamp_rohan|Kamp-a-raok ar Rohan
p_advcamp_isengard|Kamp-a-raok an Isengard
p_advcamp_mordor|Kamp-a-raok ar Mordor
p_advcamp_harad|Kamp-a-raok an Harad
p_advcamp_rhun|Kamp-a-raok ar Rhun
p_advcamp_khand|Kamp-a-raok ar c'h/Khand
p_advcamp_umbar|Kamp-a-raok an Umbar
p_advcamp_lorien|Kamp-a-raok al Lorien
p_advcamp_imladris|Kamp-a-raok an Imladris
p_advcamp_woodelf|Kamp-a-raok ar Mirkwood
p_advcamp_moria|Kamp-a-raok ar Moria
p_advcamp_guldur|Kamp-a-raok Dol Guldur
p_advcamp_gundabad|Kamp-a-raok Gundabad
p_advcamp_dale|Kamp-a-raok Dale
p_advcamp_dwarf|Kamp-a-raok Erebor
p_advcamp_dunland|Kamp-a-raok Dunland
p_advcamp_beorn|Kamp-a-raok Beorning
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Dornmerk an Isengard
p_mount_doom|Menez Doom
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silverlode
p_old_ford|Ford-Kozh
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwalc'hadenn
p_ford_rohan2|Entwalc'hadenn
p_ford_fangorn|Entwalc'hadenn
p_ford_fangorn2|Limlight
p_ford_moria|Silverlode
; p_fangorn_center|Fangorn Center
p_ring_hunter_lair|Gwalenn Toull ar Chaseourien
p_raft|Den ar radell
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Dismantroù-Kozh
