pt_rescued_prisoners|Prizonidi saveteet
pt_enemy|Enebour
pt_hero_party|Strollad an haroz
pt_cattle_herd|Chatal saout
pt_ruins|Dismantroù
pt_legendary_place|Lec'h mojennel
pt_mound|Tuchenn an haroz
pt_pyre|Keuneudeg an haroz
pt_wild_troll|Troll gouez
pt_raging_trolls|Trolled kounnaret
pt_looters|Meuriad Orked
pt_forest_bandits|Staenourien Ork
pt_mountain_bandits|Goblined gouez
pt_steppe_bandits|Dunland Forc'het
pt_sea_raiders|Morlaerien renead
pt_deserters|Dizertourien
pt_merchant_caravan|Karavanenn marc'hadourien
pt_troublesome_bandits|Goblined nec'hus
pt_fangorn_orcs|Orked keuneutaer
pt_village_farmers|Fermourien kêr
pt_spy_partners|Beajourien susped
pt_spy_partners_evil|Beajourien susped
pt_runaway_serfs|Sklaved dindan dec'h
pt_spy|Marc'heger e-unan
pt_spy_evil|Marc'heger e-unan
; pt_ents|Ents
pt_gandalf|Marc'heger e-unan
pt_nazgul|Marc'heger e-unan
pt_gondor_scouts|Ergerzhourien ar Gondor
pt_blackroot_auxila|Skoazeller ar Blackroot
pt_lamedon_auxila|Skoazeller al Lamedon
pt_lossarnach_auxila|Skoazeller al Lossarnach
pt_pinnath_gelin_auxila|Skoazeller Pinnath Gelin
pt_ranger_scouts|Ergerzhourien Gward-koad
pt_rohan_scouts|Ergerzherourien Rohirim
pt_lorien_scouts|Ergerzhourien Lothlorien
pt_woodelf_scouts|Ergerzhourien Elf Mirkwood
; pt_imladris_scouts|Dunedain Scouts
pt_dale_scouts|Ergerzhourien Dale
pt_esgaroth_scouts|Ergerzhourien Esgaroth
pt_dwarf_scouts|Gedourien Korr
pt_beorn_scouts|Ergerzhourien Beorning
pt_woodmen_scouts|Ergerzhourien tud ar c'hoadeier
pt_mordor_scouts|Ergerzhourien ar Mordor
pt_morgul_scouts|Ergerzhourien ar Morgul
pt_isengard_scouts|Ergerzhourien Isengard
pt_isengard_scouts_warg|Wargerien Isengard
pt_harad_scouts|Ergerzherourien Haradrim
pt_dunland_scouts|Ergerzhourien Tud bro Dun
pt_umbar_scouts|Ergerzhourien ar Vorlaerien
pt_khand_scouts|Ergerzhourien Easterling
pt_moria_scouts|Ergerzhourien ar Moria
pt_guldur_scouts|Ergerzhourien ar Dol Guldur
pt_gundabad_scouts|Ergerzhourien ar Gundabad
pt_rhun_scouts|Ergerzhourien Rhun
pt_gondor_raiders|Forajourien ar Gondor
pt_rohan_raiders|Forajourien ar Rohirrim
pt_imladris_raiders|Forajourien ar Rivendell
pt_lorien_raiders|Forajourien al Lothlorien
pt_woodelf_raiders|Forajourien ar Mirkwood
pt_dale_raiders|Forajourien Dale
pt_dwarf_raiders|Forajourien Korr
pt_ranger_raiders|Preizhourien Ranger
pt_morgul_raiders|Preizhourien ar Morgul
pt_mordor_raiders|Preizhourien ar Mordor
pt_isengard_raiders|Preizhourien Isengard
pt_dunland_raiders|Preizhourien Tud bro Dun
pt_harad_raiders|Preizhourien Haradrim
pt_khand_raiders|Preizhourien Khand
pt_umbar_raiders|Preizhourien Umbar
pt_moria_raiders|Preizhourien ar Moria
pt_guldur_raiders|Preizhourien Dol Guldur
pt_gundabad_raiders|Preizhourien Gundabad
pt_rhun_raiders|Preizhourien Rhun
pt_gondor_patrol|Patrouilh ar Gondor
pt_rohan_patrol|Patrouilh ar Rohirrim
pt_imladris_patrol|Patrouilh Tud bro Dun
pt_lorien_patrol|Patrouilh al Lothlorien
pt_woodelf_patrol|Patrouilh ar Mirkwood
pt_dale_patrol|Patrouilh Dale
pt_esgaroth_patrol|Patrouilh Esgaroth
pt_dwarf_patrol|Patrouilh Korred
pt_ranger_patrol|Patrouilh Gward-koad
pt_amroth_patrol|Patrouilh Dol Amroth
pt_pelargir_patrol|Patrouilh Pelargir
pt_lossarnach_patrol|Patrouilh Lossarnach
pt_brv_patrol|Patrouilh Blackroot
pt_pinnath_patrol|Patrouilh Pinnath
pt_lamedon_patrol|Patrouilh al Lamedon
pt_mordor_war_party|Brezelourien ar Morder
pt_isengard_war_party|Brezelourien Isengard
pt_harad_war_party|Brezelourien Harad
pt_dunland_war_party|Brezelourien Tud bro Dun
pt_khand_war_party|Brezelourien Variag
pt_moria_war_party|Brezelourien ar Moria
; pt_guldur_war_party|Dol Guldur War Party
pt_rhun_war_party|Brezelourien ar Rhun
