skinkey_chin_size|Ment an Elgezh
skinkey_chin_shape|Stumm an Elgezh
skinkey_chin_forward|Elgezh Dirak
skinkey_jaw_width|Ledanded an Divjaved
; skinkey_jaw_definition|Jaw Definition
; skinkey_lower_lip|Lower Lip
; skinkey_upper_lip|Upper Lip
skinkey_mouth_nose_distance|Hed Genou-Fri
skinkey_mouth_width|Ledanded ar Genou
; skinkey_nostril_size|Nostril Size
skinkey_nose_height|Uhelded ar Fri
skinkey_nose_width|Ledanded ar Fri
skinkey_nose_size|Ment ar Fri
skinkey_nose_shape|Stumm ar Fri
skinkey_nose_bridge|Pont ar Fri

skinkey_eye_width|Ledanded an Daoulagad
skinkey_eye_to_eye_dist|Pellded etre an Daoulagad
skinkey_eye_shape|Stumm al Lagad
skinkey_eye_depth|Hed al Lagad
skinkey_eyelids|Chapoù al Lagad
skinkey_cheeks|Divjod
skinkey_cheek_bones|Askorn an Divjod
skinkey_eyebrow_height|Uhelded an Daou-Abrant

skinkey_eyebrow_shape|Stumm an Daou-Abrant
skinkey_temple_width|Ledanded an Daou-Ividig
skinkey_face_depth|Hed ar Penn
skinkey_face_ratio|Ratio ar Penn
skinkey_face_width|Ledanded ar Penn
skinkey_post_edit|Goude ar C'hemmoù
skinkey_jaw_position|Lec'hiadur ar Javed
skinkey_eyebrow_position|Lec'hiadur an Daou-Abrant
skinkey_eyebrow_depth|Hed an Daou-Abrant
skinkey_snout_height|Uhelded ar Mojelloù
skinkey_snout_width|Ledanded ar Mojelloù
skinkey_snout_size|Ment ar Mojelloù
skinkey_snout_shape|Stumm ar Mojelloù
skinkey_weight|Pouez
skinkey_mouth_shape|Stumm ar Vojelloù
skinkey_eye_size|Ment an Daoulagad
skinkey_eye_slant|Pouez-Traoñ an Daoulagad
skinkey_frawn|Frawn
skinkey_mouth_vert_pos|Lec'hiadur plom ar Genou
skinkey_mouth_to_nose_dist|Hed eus ar Genou d'ar Fri
skinkey_chin_width|Ledanded an Elgezh
