menu_start_game_1|^^^^^^^^^^你为何而战？
mno_start_good|新纪元的黎明
mno_start_evil|人类的黄昏
mno_faction_intros|了解中土的不同派系
mno_go_bback|返回
menu_start_phase_2|^^^^^中土世界。 黑暗的阴影正在东方蔓延，^潜伏了近一个纪元的邪恶势力重现世间。 ^中土世界的自由之民能否再一次战胜黑暗。 ^人类，精灵，矮人和半兽人，各种势力在这里继续角逐^^这场战争的走向如何？让我们拭目以待…
mno_go_forth|向着你选择的道路前进
mno_change_tld_options|更改最后之日选项。
menu_start_game_3|^^^^^^^^选择情景：
mno_custom_battle_scenario_1|小规模冲突，刚铎vs哈拉德
mno_custom_battle_scenario_12|选择出战派系
mno_custom_battle_scenario_3|小规模冲突，精灵vs黑暗努曼诺尔人
mno_custom_battle_scenario_4|圣盔谷之战，洛汗vs艾辛格
mno_custom_battle_scenario_5|小规模冲突，北方自由民vs卢恩
mno_custom_battle_scenario_6|围攻，半兽人vs矮人
mno_custom_battle_scenario_7|伏击，半兽人vs幽暗密林
mno_custom_battle_scenario_8|都灵人的最后一站
mno_custom_battle_scenario_88|追随一名斥候
mno_custom_battle_scenario_11|测试战(平衡性调整)
mno_custom_battle_scenario_10|场景测试战
mno_troll_battle_scenario|食人妖测试战
mno_warg_battle_scenario|座狼测试战
mno_build_your_own_scene|**建立你的最后之日场景**
mno_go_back|返回
menu_tutorial|^^欢迎使用骑砍的战斗教程。 在這裡，您将学习战斗的基本知识，以及野战期间部队指挥的简要概述。
mno_tutorial_1|教程#1：基本动作和武器选择。{s1}
mno_tutorial_2|教程#2：持盾作战。{s2}
mno_tutorial_3|教程#3：无盾作战。{s3}
mno_tutorial_3b_door|下一关
mno_tutorial_4|教程#4：骑马与座狼。{s4}
mno_tutorial_5|教程#5：指挥一支部队。{s5}
mno_go_back_dot|返回
mno_action_view_troop_trees|查看兵种树
mno_view_upkeep_costs|查看维护费用
mno_view_character_report|查看人物报告
mno_view_party_size_report|查看部队规模
mno_view_morale_report|查看部队士气
mno_view_character_report_02|查看NPC状态
mno_view_faction_strengths_report|查看派系力量
mno_view_traits_report|查看人物称号
mno_resume_travelling|继续旅程
mno_custom_battle_go|开始
mno_leave_custom_battle_2|取消
menu_custom_battle_end|^^^^^^战斗结束。{s1}我方以{reg6}人的损失杀死了{reg5}名敌人。^你亲手杀死了{reg7}名敌人。
mno_replay|重新开始这场战斗
mno_continue_dot|继续
menu_custom_battle_durin_end|^^^^^^虽然这场战斗注定失败，但你们的精神却令人敬佩。^^你和你的族人杀死了{reg5}个敌人。^你在战斗中亲手杀死了{reg7}个敌人。
mno_replay_cbd|重新开始这场战斗。
mno_continue_dot_cbd|继续
mno_dot_go_back|返回
menu_start_good|^^^^^^^^^^选择你的种族：
mno_start_ma|人类
mno_start_el|精灵
mno_start_dw|矮人
menu_start_evil|^^^^^^^^^^你向何人效忠？
mno_start_eye|魔多的索伦，众戒之王
mno_start_hand|艾辛格的萨鲁曼，白手
menu_start_eye|你的主人是索伦之眼^选择你的种族
mno_start_or|半兽人，索伦之眼的奴仆
mno_start_ur|强兽人，半兽人的新品种
mno_start_em|人类，臣服于索伦
menu_start_hand|^^^^^^^^^你的主人是白手萨鲁曼^选择你的种族
mno_start_whor|半兽人，白手奴仆
mno_start_isur|强兽人，出生于艾辛格
mno_start_duma|登兰德人，来自西部平原
menu_start_good_man|^^^^^^^^^^选择你的人类派系：
mno_start_go|刚铎，圣白塔王国
mno_start_ro|洛汗，骠骑之国
mno_start_du|登丹人，古努曼诺尔王朝后裔
mno_start_be|波宁人，熊人
mno_start_wo|林地人，居住在幽暗密林边缘
mno_start_da|河谷镇，北方城邦
menu_start_good_elf|^^^^^^^^^^精灵，你居住在哪个森林里？
mno_start_ri|瑞文戴尔，由气之戒维雅的守护者，埃尔隆德领主统治
mno_start_lo|罗斯洛立安，由水之戒南雅的守护者，凯兰崔尔女士统治
mno_start_mi|幽暗密林，西尔凡精灵（木精灵别称）的土地
menu_start_good_dwarf|^^^^^^^^^^选择你的族系：
mno_start_er|孤山的居民
mno_start_ih|铁丘陵的矿工
menu_start_gondor|^^^^^^^^^^你从刚铎的哪里来?
mno_start_mt|米那斯提力斯，王都
mno_start_ls|罗萨那奇，战斧之领
mno_start_la|拉密顿，山地氏族之领
mno_start_pg|皮那斯杰林，绿丘之领
mno_start_do|多尔安罗斯，天鹅骑士之领
mno_start_pe|佩拉格，水兵之领
mno_start_bl|黑谷，射手之领
menu_start_eye_man|^^^^^^^^^^选择你的人类派系
mno_start_hr|哈拉德，南方沙漠之民
mno_start_bn|黑暗努曼诺尔，西方人类叛徒
mno_start_um|昂巴，南海海盗
mno_start_rh|卢恩，东方野蛮人
mno_start_kh|侃德，东南野蛮人
menu_start_eye_uruk|^^^^^^^^^^你在何处待命？
mno_start_arm_uruk|在魔多集结的军队中
mno_start_cav_uruk|在多尔哥多的洞穴中
menu_start_eye_orc|^^^^^^^^^^你在何处待命？
