
str_yes|是
str_no|否
str_noone|没有人
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50}和{s51}
str_s5_s_party|{s5}的部队
str_s5_s_host|{s5}的军队
str_given_by_s1_at_s2|由{s1}于{s2}给予
str_given_by_s1_in_wilderness|由{s1}于战场给予
str_s7_raiders|{s7}掠夺者
str_bandits_eliminated_by_another|这群棘手的土匪已经被别的队伍消灭了。
str_msg_battle_won|战斗胜利！按TAB键离开…
str_tutorial_map1|你现在位于地图模式。在地图上按鼠标左键可以前往/进入城镇/或与选择部队互动。如果你停止不动，时间不会流逝。如果你想在某处等待一段时间，按住空格键一直不动。
str_accept|接受
str_charge|冲锋
str_color|颜色
str_flip_horizontal|水平翻转
str_flip_vertical|垂直翻转
str_hold_fire|停止射击
str_blunt_hold_fire|钝器/停止射击
str_tutorial_ammo_refilled|填满弹药。
str_tutorial_failed|这次你输了，不过别担心。仔细遵循说明，下次你会做得更好。按Tab键返回菜单，您可以在其中重试本教程。
str_tutorial_1_msg_1|在本教程中，您将学习运动和战斗的基础知识。在mount&amp;blade中，您使用鼠标控制您要查看的位置，并使用键盘上的wasd键移动。你在训练中的第一个任务是找到房间里的旗子并移到上面。您可以随时按Tab键退出本教程或退出游戏中的任何其他区域。现在去旗子那里。
str_tutorial_1_msg_2|做得好。下一步我们将用武器掩护进攻。在本教程中，您已经装备了弓和箭、剑和盾牌。你可以使用鼠标滚轮从武器槽中取出不同的武器。在默认配置中，向上滚动会拉出你的下一个武器，向下滚动会拉出你的盾牌。如果你已经拿着一个盾牌，向下滚动将把你的盾牌收起来。现在试着用滚轮改变你的装备。准备好后，转到标记以继续执行下一个任务。
str_tutorial_1_msg_3|杰出的。本教程的下一部分将介绍如何使用近战武器进行攻击。你用鼠标左键攻击当前使用的武器。按住按钮准备攻击，然后释放按钮进行攻击。如果你在释放前按住鼠标左键一段时间，你的攻击将更加强大。现在拔出你的剑，摧毁房间里的四个假人。
str_tutorial_1_msg_4|干得好！你毁了所有四个假人。你现在可以去下一个房间了。
str_tutorial_1_msg_5|如你所见，房间的另一边有一个射箭靶。你的下一个任务是用弓把三支箭射入目标。按下并按住鼠标左键以切出箭头。然后，您可以通过释放鼠标左键来触发箭头。注意屏幕中央的瞄准网，它显示了你的射击精度。为了达到最佳的精度，让你的箭在最小的时候飞。现在试着射击目标。
; str_tutorial_1_msg_6|Well done! You've learned the basics of moving and attacking. With a little bit of practice you will soon master them. In the second tutorial you can learn more advanced combat skills and face armed opponents. You can press the Tab key at any time to return to the tutorial menu.
; str_tutorial_2_msg_1|This tutorial will teach you how to defend yourself with a shield and how to battle armed opponents. For the moment you are armed with nothing but a shield. Your task is not to attack, but to successfully protect yourself from harm with your shield. There is an armed opponent waiting for you in the next room. He will try his best to knock you unconscious, while you must protect yourself with your shield by pressing and holding the right mouse button. Go into the next room now to face your opponent. Remember that you can press the Tab key at any time to quit this tutorial or to exit any other area in the game.
; str_tutorial_2_msg_2|Press and hold down the right mouse button to raise your shield. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
; str_tutorial_2_msg_3|Well done, you've succeeded in defending against an armed opponent. The next phase of this tutorial will pit you and your shield against a force of enemy archers. Move on to the next room when you're ready to face the archers.
; str_tutorial_2_msg_4|Defend yourself from arrows by raising your shield with the right mouse button. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
; str_tutorial_2_msg_5|Excellent, you've put up a succesful defence against archers. There is a reward waiting for you in the next room.
; str_tutorial_2_msg_6|In the default configuration, the F key on your keyboard is used for non-violent interaction with objects and humans in the gameworld. To pick up the sword on the altar, look at it and press F when you see the word 'Equip'.
; str_tutorial_2_msg_7|A fine weapon! Now you can use it to deliver a bit of payback. Go back through the door and dispose of the archers you faced earlier.
; str_tutorial_2_msg_8|Very good. Your last task before finishing this tutorial is to face the squire. Go through the door now and show him your steel!
; str_tutorial_2_msg_9|Congratulations! You have now learned how to defend yourself with a shield and even had your first taste of combat with armed opponents. Give it a bit more practice and you'll soon be a renowned swordsman. The next tutorial covers directional defence, which is one of the most important elements of Mount&Blade combat. You can press the Tab key at any time to return to the tutorial menu.
; str_tutorial_3_msg_1|This tutorial is intended to give you an overview of parrying and defence without a shield. Parrying attacks with your weapon is a little bit more difficult than blocking them with a shield. When you are defending with a weapon, you are only protected from one direction, the direction in which your weapon is set. If you are blocking upwards, you will parry any overhead swings coming against you, but you will not stop thrusts or attacks to your sides. Either of these attacks would still be able to hit you. That's why, in order to survive without a shield, you must learn directional defence. Go pick up up the axe now to begin practice.
