imod_plain|普通的 %s
imod_cracked|裂开的 %s
imod_rusty|生锈的 %s
imod_bent|弯曲的 %s
imod_chipped|有缺口的 %s
imod_battered|有凹陷的 %s
imod_poor|劣质的 %s
imod_crude|粗糙的 %s
imod_old|旧 %s
imod_cheap|便宜的 %s
imod_fine|优质的 %s
imod_well_made|精良的 %s
imod_sharp|锋利的 %s
imod_balanced|平衡的 %s
imod_tempered|回火的 %s
imod_deadly|致命的 %s
imod_exquisite|精致的 %s
imod_masterwork|极品 %s
imod_heavy|重 %s
imod_strong|坚硬的 %s
imod_powerful|强力的 %s
imod_tattered|破烂的 %s
imod_ragged|破旧的 %s
imod_rough|粗糙的 %s
imod_sturdy|结实的 %s
imod_thick|厚实的 %s
imod_hardened|加硬 %s
imod_reinforced|加强 %s
imod_superb|华丽的 %s
imod_lordly|豪华的 %s
imod_lame|瘸腿 %s
imod_swaybacked|老 %s
imod_stubborn|倔强的 %s
imod_timid|胆小的 %s
imod_meek|温顺的 %s
imod_spirited|活泼的 %s
imod_champion|一流的 %s
imod_fresh|新鲜的 %s
imod_day_old|隔夜的 %s
imod_two_day_old|隔两夜的 %s
imod_smelling|发臭的 %s
imod_rotten|腐烂的 %s
imod_large_bag|一大袋 %s
