pt_rescued_prisoners|获救的囚犯
pt_enemy|敌人
pt_hero_party|英雄部队
pt_cattle_herd|牛群
pt_ruins|废墟
pt_legendary_place|传说之地
pt_mound|英雄冢
pt_pyre|英雄火葬堆
pt_wild_troll|野生食人妖
pt_raging_trolls|愤怒的食人妖
pt_looters|部落半兽人
pt_forest_bandits|掉队的半兽人士兵
pt_mountain_bandits|野生半兽人
pt_steppe_bandits|登兰德流浪者
pt_sea_raiders|昂巴海盗叛徒
pt_deserters|逃兵
pt_merchant_caravan|商人车队
pt_troublesome_bandits|棘手的半兽人
pt_fangorn_orcs|半兽人伐木队
pt_village_farmers|农夫
pt_spy_partners|可疑的旅人
pt_spy_partners_evil|可疑的旅人
pt_runaway_serfs|逃跑的奴隶
pt_spy|单骑
pt_spy_evil|单骑
pt_sacrificed_messenger|被牺牲的信差
pt_gandalf|单骑
pt_nazgul|单骑
pt_gondor_scouts|刚铎斥候
pt_blackroot_auxila|黑谷辅兵队
pt_lamedon_auxila|拉密顿辅兵队
pt_lossarnach_auxila|罗萨那奇辅兵队
pt_pinnath_gelin_auxila|皮那斯杰林辅兵队
pt_ranger_scouts|游侠斥候
pt_rohan_scouts|洛汗斥候
pt_lorien_scouts|罗斯洛立安斥候
pt_woodelf_scouts|幽暗密林精灵斥候
pt_imladris_scouts|瑞文戴尔精灵斥候
pt_dale_scouts|河谷镇斥候
pt_esgaroth_scouts|长湖镇斥候
pt_dwarf_scouts|矮人哨兵
pt_beorn_scouts|波宁斥候
pt_woodmen_scouts|林地人斥候
pt_mordor_scouts|魔多斥候
pt_morgul_scouts|米那斯魔窟斥候
pt_isengard_scouts|艾辛格斥候
pt_isengard_scouts_warg|艾辛格座狼骑兵
pt_harad_scouts|哈拉德林斥候
pt_dunland_scouts|登兰德斥候
pt_umbar_scouts|海盗斥候
pt_khand_scouts|东方人斥候
pt_moria_scouts|摩瑞亚斥候
pt_guldur_scouts|多尔哥多斥候
pt_gundabad_scouts|刚达巴斥候
pt_rhun_scouts|卢恩斥候
pt_gondor_raiders|刚铎运粮队
pt_rohan_raiders|洛汗运粮队
pt_imladris_raiders|瑞文戴尔运粮队
pt_lorien_raiders|罗斯洛立安运粮队
pt_woodelf_raiders|幽暗密林运粮队
pt_dale_raiders|河谷镇运粮队
pt_dwarf_raiders|矮人运粮队
pt_ranger_raiders|游侠掠夺者
pt_morgul_raiders|米那斯魔窟掠夺者
pt_mordor_raiders|魔多掠夺者
pt_isengard_raiders|艾辛格掠夺者
pt_dunland_raiders|登兰德掠夺者
pt_harad_raiders|哈拉德林掠夺者
pt_khand_raiders|侃德掠夺者
pt_umbar_raiders|昂巴掠夺者
pt_moria_raiders|摩瑞亚掠夺者
pt_guldur_raiders|多尔哥多掠夺者
pt_gundabad_raiders|刚达巴掠夺者
pt_rhun_raiders|卢恩掠夺者
pt_gondor_patrol|刚铎巡逻队
pt_rohan_patrol|洛汗巡逻队
pt_imladris_patrol|登丹巡逻队
pt_lorien_patrol|罗斯洛立安巡逻队
pt_woodelf_patrol|幽暗密林巡逻队
pt_dale_patrol|河谷镇巡逻队
pt_esgaroth_patrol|长湖镇巡逻队
pt_dwarf_patrol|矮人巡逻队
pt_ranger_patrol|游侠巡逻队
pt_amroth_patrol|多尔安罗斯巡逻队
pt_pelargir_patrol|佩拉格巡逻队
pt_lossarnach_patrol|罗萨那奇巡逻队
pt_brv_patrol|黑谷巡逻队
pt_pinnath_patrol|皮那斯杰林巡逻队
pt_lamedon_patrol|拉密顿巡逻队
pt_mordor_war_party|魔多战队
pt_isengard_war_party|艾辛格战队
pt_harad_war_party|哈拉德战队
pt_dunland_war_party|登兰德战队
pt_khand_war_party|维瑞亚战队
pt_moria_war_party|摩瑞亚战队
pt_dale_war_party|河谷镇战队
