menu_start_game_1|^^^^^^^^^^你為何而戰？
mno_start_good|新紀元的黎明
mno_start_evil|人類的暮光
mno_faction_intros|了解中土世界的不同陣營
mno_go_bback|返回
menu_start_phase_2|^^^^^              中土世界。陰影正在東方蔓延， ^              潛伏已久的邪惡勢力重現世間。 ^              自由之民準備應戰，面對紀元前所未見的大戰。 ^ 人類、精靈、矮人和半獸人；各將扮演好自己的角色。 ^^              至於是什麼樣的角色，讓我們拭目以待...
mno_go_forth|         向你所擇之路前進...
mno_change_tld_options|修改TLD設定。
menu_start_game_3|^^^^^^^^選擇你的場景：
mno_custom_battle_scenario_1|小規模衝突，剛鐸陣營vs哈拉德
mno_custom_battle_scenario_12|選擇戰鬥陣營
mno_custom_battle_scenario_3|小規模衝突，精靈vs黑努曼諾爾人
mno_custom_battle_scenario_4|聖盔谷防禦戰，洛汗vs艾辛格
mno_custom_battle_scenario_5|小規模衝突，北方陣營vs盧恩
mno_custom_battle_scenario_6|攻城戰，半獸人vs矮人
mno_custom_battle_scenario_7|伏擊戰，半獸人vs幽暗密林
mno_custom_battle_scenario_8|都靈一族的最後一搏
mno_custom_battle_scenario_88|追擊一支半獸人偵查隊
mno_custom_battle_scenario_11|測試戰鬥(平衡性調整！)
mno_custom_battle_scenario_10|場景測試戰鬥
mno_troll_battle_scenario|測試食人妖戰鬥
mno_warg_battle_scenario|測試座狼戰鬥
mno_build_your_own_scene|**建造你自己的TLD場景**
mno_go_back|返回
menu_tutorial|^^ 歡迎來到騎馬與砍殺的戰鬥教學。在這裡你將會學習到戰鬥的基本，和戰場指揮部隊的概略。
mno_tutorial_1|教學#1：基本移動和武器選項。{s1}
mno_tutorial_2|教學#2：持盾戰鬥。{s2}
mno_tutorial_3|教學#3：不持盾戰鬥。{s3}
mno_tutorial_3b_door|下一關
mno_tutorial_4|教學#4：騎馬或座狼。{s4}
mno_tutorial_5|教學#5：指揮一團士兵。{s5}
mno_go_back_dot|返回。
mno_action_view_troop_trees|查閱兵種樹狀圖。
mno_view_upkeep_costs|查閱工資費用。
mno_view_character_report|查閱人物報告。
mno_view_party_size_report|查閱隊伍上限。
mno_view_morale_report|查閱隊伍士氣。
mno_view_character_report_02|NPC狀態確認。
mno_view_faction_strengths_report|查閱陣營力量。
mno_view_traits_report|查閱人物特質。
mno_resume_travelling|繼續旅程。
mno_custom_battle_go|開始。
mno_leave_custom_battle_2|取消。
menu_custom_battle_end|^^^^^^戰鬥結束了。{s1}己方在戰鬥中擊殺了{reg5}名敵人和損失了{reg6}人。你親手斬殺了{reg7}個對手。
mno_replay|再玩一次這場戰鬥。
mno_continue_dot|繼續。
menu_custom_battle_durin_end|^^^^^^那是一場令人景仰的最後一戰，但終究無力回天。^^你和你的人馬擊殺了{reg5}名敵人。^你在戰鬥中親自斬殺了{reg7}個對手。
mno_replay_cbd|再玩一次這場戰鬥。
mno_continue_dot_cbd|繼續。
mno_dot_go_back|.                 返回
menu_start_good|^^^^^^^^^^選擇你的種族：
mno_start_ma|人類
mno_start_el|精靈
mno_start_dw|矮人
menu_start_evil|^^^^^^^^^^你要效忠於誰？
mno_start_eye|魔多的索倫，魔戒之主
mno_start_hand|艾辛格的薩魯曼，白掌
menu_start_eye|^^^^^^^^^你的主人是邪眼^選擇你的種族
mno_start_or|半獸人，邪眼之僕
mno_start_ur|強獸人，新品種的半獸人
mno_start_em|人類，臣服於索倫
menu_start_hand|^^^^^^^^^你的主人是白掌薩魯曼^選擇你的種族
mno_start_whor|半獸人，白掌之僕
mno_start_isur|強獸人，生於艾辛格
mno_start_duma|登蘭德人，來自西方平原
menu_start_good_man|^^^^^^^^^^選擇你的同胞：
mno_start_go|剛鐸，白塔之國
mno_start_ro|洛汗，騎馬之民
mno_start_du|登丹人，古代王朝的後裔
mno_start_be|比翁人，熊之民
mno_start_wo|山林人，居住在幽暗密林邊緣
mno_start_da|河谷人，北方王國
menu_start_good_elf|^^^^^^^^^^你住在哪個森林呢，長者？
mno_start_ri|瑞文戴爾，屬於領主愛隆
mno_start_lo|羅斯洛立安，屬於凱蘭崔爾女士
mno_start_mi|幽暗密林，西爾凡精靈之地
menu_start_good_dwarf|^^^^^^^^^^選擇你的血統：
mno_start_er|孤山的居民
mno_start_ih|鐵丘陵的礦工
menu_start_gondor|^^^^^^^^^^你來自剛鐸的哪裡？
mno_start_mt|米那斯提力斯，首都
mno_start_ls|羅薩納奇，斧兵之領
mno_start_la|拉密頓，山地氏族之領
mno_start_pg|皮那斯傑林，綠丘之領
mno_start_do|多爾安姆羅斯，天鵝騎士之領
mno_start_pe|佩拉吉爾，海岸之領
mno_start_bl|墨松德，弓兵之領
menu_start_eye_man|^^^^^^^^^^選擇你的同胞：
mno_start_hr|哈拉德人，南方的沙漠之民
mno_start_bn|黑努曼諾爾人，西方的法外之徒
mno_start_um|昂巴人，南方海域的海盜
mno_start_rh|盧恩人，東方的野蠻人
mno_start_kh|侃德人，東南方的殘暴之民
menu_start_eye_uruk|^^^^^^^^^^你潛伏在哪裡？
mno_start_arm_uruk|魔多集結的軍隊中
mno_start_cav_uruk|多爾哥多的洞穴中
menu_start_eye_orc|^^^^^^^^^^你潛伏在哪裡？
mno_start_arm|魔多集結的軍隊中
mno_start_cav|多爾哥多的洞穴中
menu_start_hand_orc|^^^^^^^^^^你潛伏在哪裡？
mno_start_armis|艾辛格集結的軍隊中
mno_start_minmo|摩瑞亞的礦坑中
mno_start_cliff|剛達巴山的峭壁上
menu_start_gondor_mt|^^^^^^^^^^選擇你的出身：
mno_start_1_com|平民
mno_start_2_hib|貴族
menu_start_haradrim|^^^^^^^^你是一名哈拉德人，^沙漠之民。^選擇你的出身
mno_start_1_des|沙漠之民
mno_start_2_far|遠哈拉德部落民
menu_start_numenorean|^^^^^^^你是一名黑努曼諾爾人，^忠於黑暗和魔苟斯。^選擇你服務邪眼的地方
mno_start_1_bn|在黑門，索倫之口身旁
mno_start_2_bn|在多爾哥多，死靈法師的要塞
menu_choose_gender|^^^^^^^^^^你的性別？
mno_start_male|男性
mno_start_female|女性
mno_proc|正常進行
menu_start_as_one|^^^^^^^^^^你是何種士兵？
mno_start_default|成為{s23} (預設)
mno_start_up1|成為{s21} (簡單)
mno_start_up2|成為{s22} (簡單)
mno_continue|繼續...
menu_character_report|^^^^^隊伍士氣：{reg8}^隊伍人數上限：{reg7}^{s5}
menu_camp|^^^^你目前位於{s1}。{s2}^^你想要做什麽？ 
mno_camp_scene|四處走走。
mno_camp_troop|檢查{reg10?部隊:}{reg12?和:}{reg11?囚犯:}。
mno_camp_action|使用物品。
mno_camp_wait_here|在這裡紮營一段時間。
mno_camp_options|修改TLD設定。
mno_Dev_Menu|開發者選單
menu_dev_menu|這些是開發選單，可以為您提供很多作弊/工具來玩。^^ 但是，這將導致一些WIP事件，觸發，戰役改變導致破壞遊戲。^^ 請自負使用風險！ ^^ 此外，在回報錯誤時，請註明你有使用開發選單。
mno_Cheat_enable|啟用作弊/模組設定。
menu_game_options|^^^^^^^^點擊切換設定：
mno_game_options_war_level_start|戰爭始於等級：{s1}
mno_game_options_restrict_items|限制玩家裝備：{s7}
mno_game_options_formations|戰鬥陣型與AI：{s7}
mno_game_options_siege_ai|進階攻城AI：{s7}
mno_game_options_town_menu|可從選單訪問城鎮NPC：{s7}
mno_game_options_cutscenes|過場動畫：{s7}
mno_game_options_injuries|同伴會受傷：{s7}
mno_game_options_death|領主和同伴會永久死亡：{s7}
mno_game_options_death2|玩家會永久死亡(就是你！)：{s7}
mno_game_options_morale|戰鬥士氣系統：{s7}
mno_game_options_animal_ambushes|動物伏擊：{s7}
mno_game_options_horse_ko|落馬傷害訊息：{s7}
mno_game_options_bright_nights|較明亮的夜晚：{s7}。
mno_game_options_camera_pref|喜好的鏡頭模式：{s7}。
mno_game_options_tweaks|遊戲調整...
mno_game_options_back|退回營地選單。
mno_game_options_start_back|返回。
menu_camp_tweaks|^^^^^^^^選擇一個你想調整的設定。
mno_tweak_options_compat|相容性調整...
mno_tweak_options_strat|戰略調整...
mno_tweak_options_battlefield_ai|戰場AI調整...
mno_tweak_options_back|返回設定選單
menu_camp_compat_tweaks|^^^^^^^^點擊要更改的設定(按住shift鍵可減少)：^(這些是相容性調整，不是作弊)
mno_game_options_compat_party|最大隊伍數量：{s1}
