
str_yes|是。
str_no|否。
str_noone|沒有人
str_s50_comma_s51|{s50}，{s51}
str_s50_and_s51|{s50}和{s51}
str_s5_s_party|{s5}的隊伍
str_s5_s_host| {s5}的大軍
str_given_by_s1_at_s2|在{s2}被{s1}所給的
str_given_by_s1_in_wilderness|在戰場上被{s1}所給的
str_s7_raiders|{s7}掠奪者
str_bandits_eliminated_by_another|棘手的強盜已經被其他隊伍消滅了。
str_msg_battle_won|戰鬥勝利！按tab鍵來離開...
str_tutorial_map1|你正在查看全景地圖。在地圖上按下左鍵來移動你的隊伍、進入選擇的城鎮或追逐其他隊伍。假如你的隊伍沒有在移動、等待或休息的話時間則會暫停。如果要在任何地方等待只要按住空白鍵就好。
str_accept|接受
str_charge|衝鋒
str_color|顏色
str_flip_horizontal|水平翻轉
str_flip_vertical|垂直翻轉
str_hold_fire|停止射擊
str_blunt_hold_fire|鈍器/停止射擊
str_tutorial_ammo_refilled|彈藥補充完畢。
str_tutorial_failed|這次你被打敗了，但別擔心。仔細遵循說明下次你就會做得更好的。按Tab鍵返回選單後你可以重新嘗試這個教學。
str_tutorial_1_msg_1|在這個教學裡，你將學習移動和戰鬥的基礎。在Mount&Blade中你會使用滑鼠控制你要查看的位置，並用鍵盤上的WASD鍵移動。你在訓練中的第一個任務是找到房間裡的旗子並移動到上面。你可以隨時按Tab鍵退出本教學或退出遊戲中的任何其他區域。現在去旗子那裡吧。
str_tutorial_1_msg_2|做得好。下一步我們將涵蓋用武器進攻。在本教學中，你已經裝備了弓箭、劍和盾。你可以使用滑鼠滾輪從武器槽中取出不同的武器。在預設配置中，向上滾動會拉出你的下一個武器，向下滾動會拉出你的盾。如果你已經拿著一張盾，向下滾動則會把你的盾收起來。現在試著用滾輪改變你的裝備。準備好後，走到標記以繼續下一個任務。
str_tutorial_1_msg_3|太棒了。本教學的下一部分將介紹如何使用近戰武器進行攻擊。用你的滑鼠左鍵使用當前的武器攻擊。按住按鈕準備攻擊，然後釋放按鈕進行打擊。如果你在釋放前按住滑鼠左鍵一段時間，你的攻擊將更加强大。現在拔出你的劍，摧毀房間裡的四個假人吧。
str_tutorial_1_msg_4|幹得好！你毀了所有四個假人。你現在可以去下一個房間了。
str_tutorial_1_msg_5|如你所見，房間的另一邊有個箭靶。你的下一個任務是用弓把三支箭射入目標。按下並按住滑鼠左鍵以拉弓上箭。然後，您可以通過釋放滑鼠左鍵來發射。注意螢幕中央的準心，它顯示了你的射擊精準度。為了達到最佳的精準度，讓你的箭在準心最小的時候飛出去。現在試著射擊目標吧。
str_tutorial_1_msg_6|做得好！ 你已經學會了移動和攻擊的基礎知識。通過一些練習，你很快就會掌握它們。在第二個教學中，你可以學習更高級的戰鬥技能並面對武裝的對手。你隨時可以按Tab鍵返回教學選單。
str_tutorial_2_msg_1|本教學將教你如何用盾保衛自己以和如何與武裝的對手作戰。現在你只帶著一個盾牌。你的任務不是攻擊，而是用盾牌成功保護自己免受傷害。在下一個房間裡有個武裝的對手在等你。他會盡力讓你失去意識，而你必須按住鼠標右鍵來保護自己。現在進入下一個房間面對你的對手吧。請記住，你隨時可以按Tab鍵退出本教學或退出遊戲中的任何其他區域。
str_tutorial_2_msg_2|按住鼠標右鍵舉起盾。保持站立三十秒。你還剩{reg3}秒。
str_tutorial_2_msg_3|幹得好，你成功地防禦了武裝的對手。本教學的下一階段將使用你的盾對抗敵人弓兵的力量。當你準備好面對弓兵時就移動到下一個房間吧。
str_tutorial_2_msg_4|用鼠標右鍵舉起盾，保護自己不受到箭的傷害。保持站立三十秒。你還剩{reg3}秒。
str_tutorial_2_msg_5|太棒了，你已經成功防禦了弓兵。有個獎賞在隔壁房間等著你。
str_tutorial_2_msg_6|在預設配置中，鍵盤上的F鍵被用來與遊戲世界中的物品和人進行非暴力的互動。要拿起祭壇上的劍，看著它並在看到'裝備'這個詞時按F。
str_tutorial_2_msg_7|一把好武器！現在你可以用它來復仇了。穿過門來回去處理掉你之前面對的弓兵。
str_tutorial_2_msg_8|很好。在完成本教學之前，你的最後一個任務是面對侍從。現在穿過門來向他展示你的武力吧！
str_tutorial_2_msg_9|恭喜！你現在已經學會如何用盾來保衛自己甚至也首次嘗試與武裝的對手戰鬥了。再多練習一點你就很快能成為有名的劍士了。下一個教學涵蓋了定向防禦，這是Mount＆Blade戰鬥中最重要的元素之一。你隨時可以按Tab鍵返回教學選單。
