ip_battle_formations|戰鬥陣型：TLD列隊AI
ip_battle_formations_text|你的軍隊在每場戰鬥開始時都會保持陣型，而不是盲目地發動衝鋒。只有主要陣營加上逃兵可以編隊，其餘盜匪只會衝鋒。善良和邪惡陣營的預設陣型有些微不同。善良陣營的步兵會組成盾牆（通常是有盾的部隊在前，但如果你有長矛兵，他們就可以組成密集陣）；邪惡陣營步兵則會成排橫列（最好的兵種在前）。編隊僅在野戰中生效（意即在自定義戰鬥及圍城戰中無法使用編隊）。 ^^每當遊戲中玩家下令編隊或"站定"時，部隊將集結在玩家發令時的位置附近：步兵在左翼，騎兵在右翼，弓箭手居中。玩家的部隊在每場戰鬥開始時皆以此列隊。^^編隊鍵預設為：^"J"為成排列隊，^"K"為按照武器成排列隊（盾牆、長矛密集陣），^"L"為楔形陣（玩家通常預設"L"為"日誌"）^";"為方形陣，^"U"為取消編隊（撤銷陣型）。^^命令弓箭手成排列隊則會使其交錯橫列。騎兵只會組成楔形陣。^^命令衝鋒（或是騎兵下馬）將會取消陣型隊列。玩家要命令隊伍前進幾次才會使隊列適當的朝向敵軍。也可以使用命令面板或按住F1來放置軍隊（或是使用騎兵楔形陣去沖散敵軍）。^^如果遇到任何編隊問題，你可以回復到原始AI設定。
ip_battle_formations_newformai|戰鬥編隊：新AI編隊
; ip_battle_formations_newformai_text|NewFormAI enables you to access formations from the orders menu, and command your formations to attack specific enemy formations via the "hold there" command (Hold F1). But it isn't fully tested.^^Use the keyboard NUMBERS to select a division. Press 0 to select your entire force.^^Use F1-F4 to order selected divisions. Keep the F1 key down to place selected divisions. You may target an enemy division through this mechanism."^^The Complex Formations on the Battle Menu are:^- RANKS with best troops up front^- SHIELD WALL, ranks with shields in front and longer weapons in back^- WEDGE with best troops up front^- SQUARE in no particular order^- NO FORMATION^Even in the last case, the player can make formations up to four lines by ordering Stand Closer enough times.^^When ONE division is selected, the center of its front rank is placed at the spot indicated.^^When MANY divisions are selected, they are separated and spread out as if the player were standing at the spot indicated.^^One may memorize the placement of selected divisions relative to the player by pressing F2, F7. Default is infantry to the left, cavalry right, and ranged forward. Placement is overridden for any division the player chooses to personally head through the Formations Options menu.^^If the camp menu game option is set, divisions will rotate to face the enemy. Otherwise, they will maintain the facing that the player had when they were placed.
ip_battle_morale|戰鬥士氣（連貫性）
; ip_battle_morale_text|Battle morale is called coherence for sake of differentiation from your party's morale on the main map. However, party morale also affects your party's coherence in battle. So does your and your companions' Leadership skill, the amount of captains and banner carriers on the field, your party's averaqge level and the numerical relation between both sides. Battle field effects like magical mists or certain events may also affect coherence.^^The more casualties your side suffers, the more their morale crumbles. If your coherence falls low, your troops may flee from battle, eventually resulting in a mass rout! You can support your troops in two ways:^^1. Killing enemies. If you do well, you impress your men and they fight harder and don't flee. Killing enemy heroes, banner carriers or high level troops will also hurt their coherence.^^2. Rallying them. Press "V" to encourage your troops and increase your coherence. You also have a chance to rally troops that are already fleeing. You get only a limited amount of rallies per battle! The amount, strength, and range of your rally is affected by your Charisma and Leadership. Your rally is supported by your companions (if they have the leadership skill) and captains.^^It can be quite the advantage if you manage to defeat the enemy commander, because that robs enemies of their leader, they cannot be rallied.
ip_economy|資源點、軍階、影響力
ip_economy_text|TLD中沒有資金。不過，你發展與陣營的關係 - 由資源點，影響力和階級代表。^^資源點是維持戰爭陣營所需的資源-你可以用它買賣搶到的廢金屬和物品，你也可以在每週獲得一定數量的資源點津貼基於你在一個陣營中的排名。你可以使用這些資源點買賣士兵，裝備，馬匹來指揮，或讓同伴跟隨你，但前提是你得積累足夠的量。記住！每個陣營有獨立的資源點/影響力/階級池。^完成任務和贏得艱苦的戰鬥會被授予影響力。它們可以花在特殊物品上作為你陣營統治者的獎勵。^^階級點數可以讓你在你的陣營中晉升 - 這將決定你的最大軍隊規模，每週資源點收入和解鎖其他的東西。^基於寫實，我們也預設禁用“穿敵人的衣服”：剛鐸人不會穿掠奪到的半獸人鎧甲，反之亦然。在大多數戰鬥之後，你會發現只有很少或完全沒有物品可以直接使用。不過“廢金屬”將掉落，代表拾回的裝備，你可以提供給需要它們的鐵匠，換取資源點。
ip_war_of_the_ring|魔戒之戰
ip_war_of_the_ring_text|在遊戲初期，善惡之戰還沒有開始。當它發生時，你會收到通知。 (這不取決於玩家所花費的時間，而是取決於你的角色對戰爭的準備程度。) 雖然中土世界在開始時可能看起來像一個非常空虛和安靜的地方，但一旦戰爭開始，它就會很快充滿敵方隊伍。做好準備並明智地使用你幾天的平安！你可以為所有同盟陣營的領主和領導人執行任務，在軍營中集結士兵和訓練自己。^^戰爭本身可能贏或輸，不像原來的M＆B。每個陣營都有一個力量等級 - 根據戰鬥中的陣營成功或失敗而變化。隨著力量下降，敵人可能會圍攻陣營的城市/營地。當一個陣營降到最低狀態時，可以通過攻擊其首都來完全擊敗它。^^請注意，玩家本人不能在TLD中發起圍城。如果他們的領隊決定是時候闖入敵人聚落，他只能幫助他的陣營和盟友進行攻城戰。^^ (這是一個設計決定，而不是一個錯誤。這也是我們想要在未來版本中調整的東西，讓圍城是可能的，但是非常昂貴並且困難) ^^ TLD中有幾個戰區，由地理定義。當一方消滅其當前戰區中的所有敵人時，它將派遣一支遠征軍來幫助其他戰區的盟友。遠征軍將在另一個戰區建立一個先行營地，並在那裡展開行動。如果善良陣營完全被擊敗，但是魔多和艾辛格仍然健在，那麼兩座塔將會為完全統治相互爭鬥。
ip_starting_tips|新手提示
