itm_horse_meat|馬肉
itm_practice_sword|練習劍
itm_arena_lance|騎槍
itm_practice_staff|木杖
itm_practice_bow|練習弓
itm_wooden_javelin|木鏢槍
itm_human_meat|人肉
itm_maggoty_bread|長蛆的麵包
itm_cram|口糧
itm_lembas|蘭巴斯
itm_smoked_fish|熏魚
itm_dried_meat|肉乾
itm_cattle_meat|牛肉
itm_grain|小麥
itm_tools|工具
itm_siege_supply|補給品
itm_quest_wine|葡萄酒
itm_quest_ale|麥酒
itm_metal_scraps_bad|劣質的廢金屬
itm_metal_scraps_medium|可用的廢金屬
itm_metal_scraps_good|優質的廢金屬
itm_oliphant|毛象
itm_sumpter_horse|馱馬
itm_saddle_horse|有鞍的馬
itm_steppe_horse|草原馬
itm_courser|駿馬
itm_hunter|獵馬
itm_pony|小馬
itm_dunedain_warhorse|登丹戰馬
itm_rohirrim_courser|洛汗駿馬
itm_rohirrim_hunter|洛汗獵馬
itm_rohirrim_courser2|洛汗裝甲駿馬
itm_rohan_warhorse|洛汗戰馬
itm_thengel_warhorse|伊歐戰馬
itm_rhun_horse_a|盧恩馬
itm_rhun_horse_b|盧恩馬
itm_rhun_horse_d|盧恩馬
itm_rhun_horse_e|重裝盧恩馬
itm_rhun_horse_f|重裝盧恩馬
itm_rhun_horse_g|重裝盧恩馬
itm_rhun_horse_h|重裝盧恩馬
itm_dale_horse|羅馬尼安馬
itm_dale_warhorse|羅馬尼安戰馬
itm_riv_warhorse|瑞文戴爾戰馬
itm_riv_warhorse2|伊姆拉崔騏驥
itm_mordor_warhorse|魔多戰馬
itm_mordor_warhorse2|魔多邪惡戰馬
itm_gondor_courser|剛鐸駿馬
itm_gondor_hunter|剛鐸獵馬
itm_dol_amroth_warhorse|多爾安姆羅斯戰馬
itm_dol_amroth_warhorse2|多爾安姆羅斯重裝戰馬
itm_gondor_warhorse|剛鐸戰馬
itm_gondor_lam_horse|拉密頓裝甲戰馬
itm_lorien_warhorse|羅斯洛立安戰馬
itm_harad_horse|哈拉德馬
itm_harad_warhorse|哈拉德戰馬
itm_variag_pony|維瑞亞小馬
itm_variag_kataphrakt|東方戰馬
itm_warg_1b|座狼
itm_warg_1c|座狼
itm_warg_1d|座狼
itm_wargarmored_1b|裝甲座狼
itm_wargarmored_1c|裝甲座狼
itm_wargarmored_2b|裝甲座狼
itm_wargarmored_2c|裝甲座狼
itm_wargarmored_3a|裝甲座狼
itm_warg_reward|巨型座狼
itm_tree_trunk_club_a|樹幹
itm_giant_mace|巨大戰錘
itm_troll_shield_a|食人妖盾
itm_arrows|箭
itm_gondor_arrows|剛鐸箭
itm_orc_javelin|半獸人重型鏢槍
itm_khergit_arrows|洛汗箭
itm_harad_arrows|哈拉德箭
itm_corsair_arrows|海盜箭
itm_ithilien_arrows|伊錫利恩箭
itm_woodelf_arrows|木精靈箭
itm_elven_arrows|精靈箭
itm_orc_hook_arrow|半獸人倒鈎箭
itm_isengard_arrow|艾辛格箭
itm_leather_gloves|皮手套
itm_mail_mittens|鎖子手套
itm_leather_boots|皮靴
itm_leather_boots_dark|騎手靴
itm_splinted_greaves|夾板脛甲
itm_white_tunic_a|平民服裝
itm_rohan_shoes|皮鞋
itm_furry_boots|毛靴
itm_black_tunic|黑色束腰外衣
itm_hood_black|黑色兜帽
itm_hood_green|綠色兜帽
itm_hood_grey|灰色兜帽
itm_hood_leather|皮兜帽
itm_mail_coif|鏈甲頭巾
itm_axe_a|北方斧
itm_axe_b|北方鉤斧
itm_axe_c|北方斧
itm_axe_d|北方斧
itm_long_bearded_axe|北方長鉤斧
itm_2_handed_axe|北方長斧
itm_shortened_spear|短槍
itm_spear|長槍
itm_light_lance|輕型騎槍
itm_lance|騎槍
itm_tab_shield_small_round_b|騎兵圓盾
itm_short_bow|短弓
itm_regular_bow|弓
itm_nomad_bow|游牧弓
itm_gondor_bow|剛鐸弓
itm_strong_bow|強弓
itm_elven_bow|精靈弓
itm_corsair_bow|海盜弓
itm_dwarf_horn_bow|矮人角弓
itm_dwarf_short_bow|矮人短弓
itm_harad_bow|哈拉德曲弓
itm_lg_bow|鷹衛隊弓
itm_riv_bow|瑞文戴爾弓
itm_rhun_bow|畢額丘斯弓
itm_lorien_bow|加拉茲民弓
itm_isengard_large_bow|艾辛格大弓
itm_dale_bow|河谷鎮弓
itm_uruk_bow|半獸人角弓
itm_mirkwood_bow|幽暗密林弓
itm_dunland_javelin|登蘭德鏢槍
itm_orc_throwing_arrow|半獸人飛鏢
itm_heavy_throwing_spear|重型擲槍
itm_javelin|鏢槍
itm_harad_javelin|哈拉德鏢槍
itm_gondor_javelin|剛鐸鏢槍
itm_rohirrim_throwing_axe|北方擲斧
itm_loss_throwing_axes|羅薩納奇擲斧
itm_arnor_helm_c|亞爾諾飾紋盔
itm_arnor_helm_b|亞爾諾盔
itm_arnor_helm_a|亞爾諾輕型盔
itm_arnor_light_a|登丹遊俠內衣
itm_arnor_light_b|登丹遊俠鏈甲
itm_arnor_med_a|登丹遊俠大衣
itm_arnor_med_b|登丹鏈甲
itm_arnor_heavy|亞爾諾高等鎧
itm_arnor_greaves|亞爾諾脛甲
itm_arnor_shield_c|亞爾諾騎兵盾
itm_arnor_shield_a|亞爾諾圓盾
itm_arnor_sword_c|亞爾諾戰劍
itm_arnor_sword_a|亞爾諾變種劍
itm_arnor_sword_f|亞爾諾短劍
itm_riv_helm_a|瑞文戴爾頭巾
itm_riv_helm_b|瑞文戴爾弓兵盔
itm_riv_helm_c|瑞文戴爾步兵盔
itm_tiara_reward|精靈領主冠
itm_riv_shield_a|瑞文戴爾盾
itm_riv_shield_b|瑞文戴爾盾
itm_riv_bas_sword|瑞文戴爾變種劍
itm_riv_1h_sword|瑞文戴爾劍
itm_riv_riding_sword|瑞文戴爾長劍
itm_riv_archer_sword|瑞文戴爾短劍
itm_riv_spear|瑞文戴爾長槍
itm_riv_light|瑞文戴爾束腰外衣
itm_riv_leather|瑞文戴爾皮甲
itm_riv_foot_mail|瑞文戴爾鎖子甲
itm_riv_foot_scale|瑞文戴爾鱗甲
itm_riv_surcoat|瑞文戴爾罩衫
itm_riv_knight|瑞文戴爾騎士鎧甲
itm_riv_armor_h_archer|瑞文戴爾鎧甲
itm_riv_boots|瑞文戴爾靴
itm_gon_footman|剛鐸鎖子甲上衣
itm_gon_jerkin|剛鐸短上衣
itm_gon_regular|剛鐸重型鎖子甲
itm_gon_bowman|剛鐸布鎧
itm_gon_archer|剛鐸布鎧加披風
itm_gon_noble_cloak|剛鐸貴族短上衣
itm_gon_squire|剛鐸鎖子甲加披風
itm_gon_knight|剛鐸重型鎖子甲和披風
itm_gon_ranger_cloak|剛鐸遊俠披風
itm_gon_ranger_skirt|剛鐸遊俠裙
itm_gon_steward_guard|剛鐸攝政王衛隊鎧甲
itm_gon_tower_guard|剛鐸塔衛隊鎧甲
itm_gon_tower_knight|剛鐸塔騎士鎧甲
itm_gon_leader_surcoat_cloak|剛鐸領隊罩衫
itm_gondor_ranger_hood|綠色兜帽
itm_gondor_ranger_hood_mask|剛鐸遊俠兜帽
itm_gondor_light_greaves|剛鐸皮脛甲
itm_gondor_med_greaves|剛鐸中型脛甲
itm_gondor_heavy_greaves|剛鐸鎖子脛甲
itm_gondor_auxila_helm|剛鐸輕型盔
itm_gondorian_archer_helm|剛鐸弓兵盔
itm_tower_archer_helm|塔弓兵盔
itm_gondor_leader_helm|剛鐸高等盔
itm_tower_guard_helm|塔衛隊盔
itm_gondor_citadel_knight_helm|堡壘騎士盔
itm_gondor_infantry_helm|剛鐸步兵盔
itm_gondor_knight_helm|剛鐸騎兵盔
itm_gondor_dolamroth_helm|多爾安姆羅斯盔
itm_swan_knight_helm|天鵝騎士盔
itm_gondor_lamedon_helm|拉密頓盔
itm_gondor_lamedon_leader_helm|拉密頓高等盔
itm_blackroot_archer|墨松德布甲與披風
itm_blackroot_bowman|墨松德短上衣與披風
itm_blackroot_footman|墨松德短上衣
itm_blackroot_warrior|墨松德布甲
itm_blackroot_leader|墨松德鎖子甲
itm_blackroot_hood|黑色兜帽
itm_dol_hauberk|多爾安姆羅斯胸甲
itm_dol_heavy_mail|多爾安姆羅斯重型鎖子甲
itm_dol_padded_coat|多爾安姆羅斯加厚外套
itm_dol_shirt|多爾安姆羅斯上衣
