fac_no_faction|Bez frakce
fac_commoners|Prostý lid
fac_outlaws|Divoši a bandité
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Železný pas
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Elfové z Temného hvozdu
fac_dale|Dol
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Gundabad
fac_dunland|Vrchovci
fac_beorn|Meddědovci
fac_player_supporters_faction|Hráčská frakce
fac_player_faction|Hráčská frakce
fac_brigands|Zbojníci
fac_tribal_orcs|Kmenoví skřeti
fac_innocents|Nevinní
fac_merchants|Kupci
fac_manhunters|Lovci lidí
fac_deserters|Zběhové
fac_mountain_bandits|Horští bandité
fac_forest_bandits|Lesní bandité
