hint_1|Bílá ruka by neměla věřit Oku Bez Víčka. Ani naopak by to tak být nemělo.
hint_2|Proti komu, s kým a kde se bitva odehrává rozhoduje o to které spojenecké království si buď všimne nebo ocení tvoje zásluhy.
hint_3|Pruzkumnici jsou zdrojem informaci pro kralovstvi, stejne tak vezni kteri jsou odvedeni do jejich vezeni kvuli muceni a vyslechu. Osvobozovanim veznu a rozprasovanim pruzkumniku muzes oslepit nepritele.  
; hint_4|Remember that you have a different value of Resource Points within each Kingdom, which entitle you to get resupplied with equipment and troops within that Kingdom.
hint_5|Vojenskému zhroucení království se nedá předejít. Mordor nikdy takový osud čekat nebude, válka skončí pouze, když je jeho vojenská síla potlačena a všichni jeho spojenci jsou poraženi.
hint_6|Abys nezpanikařil, když spatříš Nazgula, musíš si zachovat klidnou hlavu (INT). Vyžaduje to, abys perfektně ovládal svého koně, tím předejdeš jeho zpanikaření.
hint_7|Na mapě můžeš odpočívat přidrzením klávesy MEZERNIK. Avšak zranění členů skupiny se rychleji lečí při odpočinku ve městech.
hint_8|Abys mohl rychle brát a zahazovat věci z inventáře, drž klávesu CTRL a klikej levým tlačítkem.
hint_9|Muzete okamzite opustit jakkoukoliv lokaci zmacknutim klavesy TAB,  pri bitve zmacknutim klavesy BACKSPACE otevrete velici rozhrani.
hint_10|Pozor! Zvířata mohou zpanikařit v blízkosti trolů a olog-hais.
hint_11|Pracovní síla (Manpower) je důležitá surovina každého království: verbování a udržování jednotek pod tvým velením konzumuje Resource pointy dané frakce.
hint_12|Sve skupine muzete davat v bitve rozkazy. Muzete pridrzet SHIFT pro priblizeni pri zamerovani na vzdalene nepratele.
