p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Zapadni Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Helmova Hlaska
p_town_east_emnet|Vychodni polonina
p_town_westfold|Zapadni uval
p_town_west_emnet|Zapadni polonina
p_town_eastfold|Vychodni uval
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Tabor skreti hlidky
p_town_east_osgiliath|Vychodni Osgiliath
p_town_orc_sentry_camp|Tábor skretich strazi
p_town_isengard|Zelezny pas
p_town_urukhai_outpost|Tabor Skurut-hai
p_town_urukhai_h_camp|Lovecky tabor Skurut-hai
p_town_urukhai_r_camp|Ricni tabor Skurut-hai 
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduilovy sine
p_town_woodelf_camp|Tabor lesnich elfu
p_town_woodelf_west_camp|Zapadni tabor lesnich elfu
p_town_woodsmen_village|Vesnice Severanu
p_town_beorning_village|Vesnice Meddedovcu
p_town_beorn_house|Meddeduv dum
p_town_moria|Brany Morie
p_town_troll_cave|Zlobri jeskyne
p_town_dale|Dol
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Tabor Vrchovcu
p_town_harad_camp|Tabor Haradskych
p_town_khand_camp|Tabor Varjagu
p_town_umbar_camp|Tábor Korzarů
p_town_imladris_camp|Tábor elfu z Roklinky
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Severni hlidka Dol Gulduru
p_town_rhun_main_camp|Hlavni tabor Vychodnanu
p_town_rhun_south_camp|Jizni tabor Vychodnanu
p_town_rhun_north_camp|Severni tabor Vychodnanu
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|SV hlidka Gundabadu
p_town_gundabad_nw_outpost|SZ hlidka Gundabadu
p_town_goblin_north_outpost|Severni goblini hlidka
p_town_goblin_south_outpost|Jizni goblini hlidka
p_town_gundabad_m_outpost|Gundabadska hlidka v Temnem Hvozdu
p_town_erebor|Erebor
p_town_ironhill_camp|Lom Zeleznych Hor
p_advcamp_gondor|Pochodovy tabor Gondoru
p_advcamp_rohan|Pochodovy tabor Rohanu
p_advcamp_isengard|Pochodovy tabor Zelezneho Pasu
p_advcamp_mordor|Pochodovy tabor Mordoru
p_advcamp_harad|Pochodovy tabor Haradu
p_advcamp_rhun|Pochodovy tabor Vychodnanu
p_advcamp_khand|Pochodovy tabor Variagu
p_advcamp_umbar|Pochodovy tabor Korzaru
p_advcamp_lorien|Pochodovy tabor Lorienu
p_advcamp_imladris|Pochodovy tabor Roklinky
p_advcamp_woodelf|Pochodovy tabor lesnich elfu
p_advcamp_moria|Pochodovy tabor Morie
p_advcamp_guldur|Pochodovy tabor Dol Gulduru
p_advcamp_gundabad|Pochodovy tabor Gundabadu
p_advcamp_dale|Pochodovy tabor Dolu
p_advcamp_dwarf|Pochodovy tabor Ereboru
p_advcamp_dunland|Pochodovy tabor Vrchovcu
p_advcamp_beorn|Pochodovy tabor Meddedovcu
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Ruka Zelezneho pasu
p_mount_doom|Hora Osudu
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduina
p_ford_cair_andros2|Anduina
p_ford_caras_galadhon|Anduina
p_ford_brown_lands|Anduina
p_ford_rauros|Anduina
p_ford_pelargir|Anduina
p_ford_edhellond|Anduina
p_ford_cerin_dolen|Striberka
p_old_ford|Stary brod
p_ford_erech|Ringlo
p_ford_isen1|Zeliz
p_ford_isen2|Zeliz
p_ford_rohan|Entva
p_ford_rohan2|Entva
p_ford_fangorn|Entva
p_ford_fangorn2|Lipava
p_ford_moria|Striberka
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Mrtve mocaly
p_legend_mirkwood|Temny hvozd
p_legend_fangorn|Enti snem
p_ring_hunter_lair|doupě hledačů prstenu
p_ancient_ruins|Prastara zricenina
