ip_formations_and_morale|Formace a morálka
ip_formations_and_morale_text|Vaše jednotky budou držet pozici na začátku každé bitvy, namísto náhodného útoku. Jen hlavní frakce (všech 18) používají formace (+desertéři), banditi na vás prostě zautočí. Je mírný rozdíl mezi frakcemi dobra a zla, pěchota dobra bude formovat štítovou hradbu (obvykle jednotky se štítem první, ale může zformovat i phalangu pokud máte kopiníky), a pěchota zla bude formovat řady (nejlepší jednotky první). Formace fungují jen v polních bitvách (to znamená, že nefungují při dobývání a vlastních bitvách). ^^Pokaždé když vydáte příkaz k držení pozice nebo formaci, jednotky to provedou na pozici, kde jste příkaz zadali: pechota nalevo, jízda nepravo a lučištníci vpředu. Navíc formace se utvoří stejným směrem, kam hráč kouká (záleží na vašem nastavení modu). Kdykoliv jednotky tvoří formaci, tak se rozestoupí, aby formování usnadnili (záleží na vašem nastavení modu). Hráčovi jednotky začínají každou bitvu ve formaci. Pokud to nezměníte v nastavení modu, tak klávesové zkratky jsou: "J" pro řady, "K" pro řady založené na zbraních (štítová hradba, phalanga), "L" pro klínovou formaci (Hráč by si měl přenastavit klávesovou zkratku pro Záznam , která je v původní hře na L), ";" pro čtvercovou formaci, "U" pro žádnou formaci(zrušení formace). Příkaz pro "Řady" zformuje lušistníky do kolísavé řady. Jízda neudělá žádnou jinou formaci, než "Klín". ^^Útok (a Sesednutí pro jízdu) zruší formaci. Hráč může několikrát Postoupit, aby  se formace posunula směrem k průměrné pozici nepřítele. Nebo použít panel rozkazů nebo držet F1, aby pozicoval formaci (Nebo je přetáhnout přes nepřátele pro klín jízdy). Jako velitel, je to vaše zodpovědnost, aby ste udržel vaše jednotky v pořádku. Čim více utrpíte ztrát, tim více ztratíte morálky. Všímejte si zpráv, které budou vyskakovat! Můžete podpořit svoje jednotky dvěma způsoby: ^^1. Zabíjení nepřátel. Pokud se vám povede, tak zapůsobíte na svoje jednotky - budou bojovat tvrději a neutečou. ^^2. Shromáždíte je. Pokud vaše jednotky utíkají, zmáčkněte "V". Vaše postava zahraje na roh a shromáždí jednotky. Máte omezený počet shromáždění za bitvu! (počet je určený podle vašeho Charisma a Vedení) ^^ Může to být velká výhoda, pokud porazíte nepřátelského velitele, protože to nepřátele okrade o jejich velitele, nebudou se moct shromáždit. Tím pádem, pokud se je vám povede obrátit na útěk, jsou pryč.
ip_economy|Ekonomie
; ip_economy_text|There is no money in TLD. Instead you develop relationships with factions - represented by Resources, Influence and Rank.^^Resources are what's needed to sustain the faction in war - you can redeem looted scraps and items for it and you're also given a certain number of resource allowance each week depending on your rank within a faction. You can use this allowance to get soldiers, gear, horses for you to command and companions to follow you, but only if you accumulated enough. You have a separate resource/influence/rank pool for each Faction, remember that!^Influence points are awarded for finishing quests and winning tough battles. They can later be spent on special items as a reward from the rulers of factions you got the influence with.^^Rank points allow you to rise up in the ranks of your faction - this will determine your max party size, weekly resource income and unlock other stuff.^Due to being true to lore, we have also disabled by default the option of the so called "cross-dressing": a Gondorian wouldn't likely ever wear looted orc armour, and vice-versa. After most battles, you will find few or no items in the loot which can be used directly. Instead, "metal scraps" are dropped, which represent salvageable equipment and can then be given to your smiths who require them, for Resource Points.
ip_war_of_the_ring|Válka o Prsten.
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (This does NOT depend on time spent playing, rather on how ready your character is for the war.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^The war itself can be won or lost, unlike in the original M&B. Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that player himself cannot initiate sieges in TLD. He can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement.^^(This is a design decision, not a bug. It's also something we want to tweak in future releases, so the option to siege is available, but very costly and difficult to obtain)^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the two towers will battle each other over total dominance.
ip_starting_tips|Začátečnické rady.
; ip_starting_tips_text|You choose your faction at the start and you can't change it later. You can also choose from different races: men, elves, dwarves, uruks, uruk-hais or orcs. Remember that both the faction and the race you choose will limit you in certain ways. Some factions provide excellent soldiers, but in small numbers. Some have weak troops, but you can hire many. Smaller orcs can't wear armors designed for big guys, but can ride some beasts instead. Dwarves have exceptional gear, but can't ride mounts.^^This is not designed to be fully (artificially) balanced. Playing weaker races or factions can be more challenging (as a first game, you might want to prefer options, in the starting menus, which are placed on top of the list of alternatives).^^You choose a faction and you fight for it until your side wins the great war, or until your faction gets wiped out. In that case you can still keep fighting for your allies.^^- wandering around aimlessly is not a great idea, the War requires purpose and intent on your part. Before the war starts, you're trying to assemble a party of warriors, get the low requirement companions and some gear to be ready. After the war starts, your strategies may vary. Remember, it's important to both help your allies AND bring down the enemy.^- doing missions for faction lords is a good way to rise up in rank and to get resource and influence points.^- take multiple missions/quests at the time, ask everyone! You can often "do the rounds" and have several others done while delivering a letter for instance. Don't waste time!
ip_rumours_and_legendary_places|Pověsti a Legendární místa.
ip_rumours_and_legendary_places_text|Když mluvíte s lidmi v osadách, můžete si přečíst komentáře z pohledu jejich frakce. Ti často obsahují zajímavou tradici a někdy i informace o odemykání speciálních míst na mapě světa. ^^ Některé z nich jsou jen pro průzkum a neslouží k jiním účelum, některé obsahují jedinečné ukoly a easter eggy. Když jeden odemknete, budete upozorněni zprávou
ip_trolls|Zlobři
ip_trolls_text|Trolové jsou velmi silní. Zlí hráči je nemohou jednoduše zrekrutovat, ale jsou tu i jiné cesty k získáni jednoho či dvou trollů. Neposlouchají rozkazy, takže držte své vojáky co nejdál od jejich devastujících útoků!^^ Pokud hledáte trolly kvůli misi, mohou být nalezeni jak se toulají kolem usedlostí, které terorizují (Někdy je spřátelené skupiny zaženou dál, nebo s nimi uzavřou dohodu dřív než vy), nebo vandrují Mlhavými Horami, především blízko jejich jeskyní.
ip_custom_camera|vlastní kamera
; ip_custom_camera_text|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (i.e Orcs and Dwarves). It is easy to use, but can take some time to get used to.^^There are 2 modes: Fixed Position and Free-Mode.^^Fixed position is the optimal position for all races, however it cannot be configured.^^Free-Mode Camera puts the character in the middle of the screen. This camera can be adjusted to player preference. When aiming during archery or throwing, it snaps back to default camera for better aiming (which can be quite hard in the beginning, but one can get accustomed to). Once the projectile is used, it goes back to the custom camera.^^^Controls:^^Press the Ctrl+End keys together to switch between the three different camera modes: Default Camera / Fixed Camera / Free-Mode Camera.^^When in "Free-Mode Camera", Press and hold Ctrl and Page Up (or Page Down) to adjust camera height (Tilt).^^When in "Free-Mode Camera", Press and hold Ctrl and Numpad + (or Numpad -) to adjust camera distance (Zoom).^^Additionally, you can also press Shift while moving/zooming the camera to enable smoothing.
ip_tactical_controls|Taktické ovládání
ip_tactical_controls_text|Pomocí klávesnice ČÍSLA vyberte dělení. Stisknutím tlačítka 0 vyberete celou svou sílu. ^^ Pomocí kláves F1-F4 objednejte vybrané divize. Chcete-li umístit vybrané divize, podržte klávesu F1. Pomocí tohoto mechanismu můžete zacílit na nepřátelskou divizi.
ip_division_placement|Umisťování divizí
; ip_division_placement_text|When ONE division is selected, the center of its front rank is placed at the spot indicated.^^When MANY divisions are selected, they are separated and spread out as if the player were standing at the spot indicated.^^One may memorize the placement of selected divisions relative to the player by pressing F2, F7. Default is infantry to the left, cavalry right, and ranged forward. Placement is overridden for any division the player chooses to personally head through the Formations Options menu.^^If the camp menu game option is set, divisions will rotate to face the enemy. Otherwise, they will maintain the facing that the player had when they were placed.
ip_formations|Formace
; ip_formations_text|The Complex Formations on the Battle Menu are:^^- RANKS with best troops up front^- SHIELD WALL, ranks with shields in front and longer weapons in back^- WEDGE with best troops up front^- SQUARE in no particular order^- NO FORMATION^^Even in the last case, the player can make formations up to four lines by ordering Stand Closer enough times.
