qstr_Received_{reg0}_dama|Obdrženo {reg0} poškození.
qstr_Gate_is_breached!|Brána je proražena!
qstr_Gate_opens..._You_ha|Brána se otvírá... Dostal ses na nejposvátnější místo ve Středozemi!
qstr_Secret_place_discove|Posvátné místo objeveno!
qstr_Next_Page|Další stránka
qstr_Action|Akce
qstr_Mount|Osedlat
qstr_Attack_Type|Typ útoku
qstr_Hold_This_Position|Držte tuto pozici
qstr_Follow_Me|Následujte mě
qstr_Charge|Útok!
qstr_Advance|Kupředu
qstr_Fall_Back|Ústup
qstr_Stand_Closer|Přiblížit se
qstr_Spread_Out|Rozptýlit se 
qstr_Stand_Ground|Stát
qstr_Dismount|Sesednout
qstr_Use_Any_Weapon|Použít libovolné zbraně
qstr_Use_Blunt_Weapons|Použít tupé zbraně
qstr_Hold_Your_Fire|Nestřílet
qstr_Fire_At_Will|Pálit dle uvážení
qstr_Us|My
qstr_Allies|Spojenci
qstr_Enemies|Nepřátelé
qstr_Ready|Připraven
qstr_Wounded|Zraněn
qstr_Dead|Mrtev
qstr_Routed|Rozprášen
qstr_Number_of_men_knocke|Počet vojáků v bezvědomí: {reg1}
qstr_Number_of_men_left:_|Počet zbývajících mužů: {reg1}
qstr_Opponents_Beaten:_{r|Protivníků poraženo: {reg1}
qstr_Opponents_Remaining:|Zbývajících protivníků: {reg1}
qstr_Gauntlet_wave:_1|Nepřátelská vlna: 1
qstr_Gauntlet_wave:_{reg1|Nepřátelská vlna: {reg1}
qstr_Remain_in_retirement|Zůstat v důchodu.
qstr_Go_back_to_the_adven|Vrátit se k dobrodružství.
qstr_A_peaceful_village_n|Mírumilovná vesnice nedaleko Západního úvalu...
qstr_The_War_is_upon_Roha|Válka je nad Rohanem!
qstr_Minas_Tirith___The_W|Minas Tirith - Bílé Město
qstr_The_White_Tree_stand|Bílý Strom stojí mrtev od pádu linie Králů
qstr_And_the_Shadow_grows|A stín na východě stále sílí.
qstr_Minas_Morgul___City_|Minas Morgul - Město Nazgûlů
qstr_Sauron_s_armies_marc|Sauronovo vojsko pochoduje do Války!
qstr_Adventurers_at_audie|Dobrodruzi na audienci se správcem Denethorem...
qstr___What_business_do_y|'Jakou záležitost tu máte, žadatelé?'
qstr___Your_Stewardship_w| 'Vaše správcovská milosti, přicházíme z dalekých krajin abychom... vyskočili!'
qstr___Enough_of_this_mad|'Dost tohoto šílenství! Stráže!!'
qstr___I_ve_had_enough_of| 'Už mám dost těchto srandiček... Příští skupina bude muset pokleknout!'
qstr_Chest|Truhla
qstr_Cape|Kápě
qstr_Arms|Zbraně
qstr_Thighs|Věci
qstr_Legs|Nohy
qstr_Rotate|Otočit
qstr_Close|Zavřít
qstr_Faction_Side:^^Campa|Strana frakce:^^Obtížnost kampaně:^^Hlavní město:^^Maršál:^^Nepřátelé:^^
qstr_Campaign_Difficulty_|Obtížnost hlavní kampaně se odvíjí od základní síly frakce, nepřátelském hlavním městě,^ a strom jednotek frakce a vybavení jednotek.
qstr_Rallies:|Přeskupení:
qstr_View_Keybinds__Press|Klávesové zkratky (Stiskni Insert)
qstr_What_do_you_fight_fo|^^^^^^^^^^Za co bojuješ?
qstr_Go_Back...|Jdi zpět...
qstr_Learn_about_the_diff|Nauč se o různých frakcích Středozemě
qstr_The_DAWN_of_a_New_Er|za ÚSVIT nového věku
qstr_The_TWILIGHT_of_Man|za SOUMRAK lidstva
qstr_Select_your_Race?|Zvol si svou rasu?
qstr_Man|Člověk
qstr_Elf|Elf
qstr_Dwarf|Trpaslík
qstr_Whom_Do_You_Serve?|Komu sloužíš?
qstr_SAURON_of_Mordor_The|SAURON z Mordoru, Pán Prstenů
qstr_SARUMAN_of_Isengard_|SARUMAN z  Železného pasu, Bílá Ruka
qstr_an_ORC^_serving_the_|SKŘET,^ sloužící Velkému Oku bez víčka
qstr_an_URUK^_the_new_bre|SKURUT,^ nové skřetí plémě
qstr_a_MAN^_subjugated_by|ČLOVĚK,^ podřízený Sauronovi
qstr_an_ORC^_serving_the_W|SKŘET,^ sloužící Bílé Ruce
qstr_one_of_the_URUK_HAI^|Jeden z URUK-HAI,^ vypěstován v Železném pasu.
qstr_a_MAN_of_Dunland^_th|ČLOVĚK z Vrchoviny,^ ze Západních plání
qstr_Click_the_center_but|Klikni na prostřední tlačítko k přepnutí frakce^Klikni na avatara k zobrazení detailů o postavě
qstr_Level:_{reg3}^Health|Úroveň: {reg3}^Životy: {reg4}
qstr_Attributes|Schopnosti
qstr_STR^AGI^INT^CHA|SIL^POH^INT^CHA
qstr_Skills|Vlastnosti
qstr_Ironflesh^Power_Stri|Odolnost^Síla úderu^Síla vrhu^Síla napnutí^Štít^Kondice^Jezdectví^Střelba z koně
qstr_Proficiencies|Dovednosti
qstr_1H_Weapons^2H_Weapon|Jednoruční zbraně^Obouruční zbraně^Dřevcové zbraně^Luky^Kuše^Házecí zbraně
qstr_Equipment|Vybavení
qstr_The_Last_Days_Mod_Op|The Last Days Mod Nastavení
qstr_War_Starts_at_Level:|Válka začne na úrovni:
qstr_Restrict_Player_Equi|Omezit hráčovo vybavení:
qstr_Battle_Formations_an|Bitevní formace a UI:
qstr_Native|Domorodec
qstr_TLD_FormAI__Original|TLD FormaUI (Originál)
qstr_TLD_New_FormAI|TLD Nová FormaUI
qstr_Siege_AI:__|Umělá inteligence při obléhání:
qstr_Basic__better_perfor|Základní (lepší výkon)
qstr_Advanced|Pokročilé
qstr_Campaign_difficulty:|Obtížnost kampaně:
qstr_Hard|Těžká
qstr_Default|Defaultní
qstr_Easy|Lehká
qstr_Town_NPCs_Always_Acc|Městské NPC vždy přístupné z Menu:
qstr_Cutscenes:__|Cutscény:
qstr_Injuries_for_compani|Zranění pro společníky:
qstr_Permanent_death_for_|Permanentní smrt pro lordy a hrdiny:
qstr_Permanent_death_for_p|Permanentní smrt pro hráče (to jsi TY):
qstr_Battle_morale_system|Bitevní systém morálky:
