skinkey_chin_size|Velikost brady
skinkey_chin_shape|Tvar brady
skinkey_chin_forward|Předsunutí brady
skinkey_jaw_width|Šířka čelisti
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|Spodní ret
skinkey_upper_lip|Horní ret
skinkey_mouth_nose_distance|Vzdálenost úst a nosu
skinkey_mouth_width|Šířka úst
skinkey_nostril_size|Velikost nosní dírky
skinkey_nose_height|Výška nosu
skinkey_nose_width|Šířka nosu
skinkey_nose_size|Velikost nosu
skinkey_nose_shape|Tvar nosu
skinkey_nose_bridge|Nosní můstek

skinkey_eye_width|Šířka očí
skinkey_eye_to_eye_dist|Vzdálenost očí
skinkey_eye_shape|Tvar očí
skinkey_eye_depth|Hloubka očí
skinkey_eyelids|Oční víčka
skinkey_cheeks|Tváře
skinkey_cheek_bones|Lícní kosti
skinkey_eyebrow_height|Výška obočí

skinkey_eyebrow_shape|Tvar obočí
skinkey_temple_width|Šířka spánku
skinkey_face_depth|Hloubka obličeje
skinkey_face_ratio|Poměr obličeje
skinkey_face_width|Šířka obličeje
skinkey_post_edit|Post-Editovat
skinkey_jaw_position|Pozice čelisti
skinkey_eyebrow_position|Pozice obočí
skinkey_eyebrow_depth|Hloubka obočí
skinkey_snout_height|Výška čenichu
skinkey_snout_width|Šířka čenichu
skinkey_snout_size|Velikost čenichu
skinkey_snout_shape|Tvar čenichu
skinkey_weight|Váha
skinkey_mouth_shape|Tvar úst
skinkey_eye_size|Velikost očí
skinkey_eye_slant|Sklon očí
skinkey_frawn|Zamračení
skinkey_mouth_vert_pos|Vertikální zakřivení úst
skinkey_mouth_to_nose_dist|Vzdálenost úst a nosu
skinkey_chin_width|Šířka brady
