trp_unarmed_troop|Neozbrojený voják
trp_unarmed_troop_pl|Neozbrojení vojáci
trp_tutorial_maceman|Voják s kyjem
trp_tutorial_maceman_pl|Vojáci s kyjem
trp_tutorial_archer|Lučištník
trp_tutorial_archer_pl|Lučištníci
trp_tutorial_swordsman|Šermíř
trp_tutorial_swordsman_pl|Šermíři
trp_novice_fighter|Bojovnik začátečník
trp_novice_fighter_pl|Bojovníci začátečníci
trp_regular_fighter|Řadový voják
trp_regular_fighter_pl|Řadoví vojáci
trp_veteran_fighter|Bojovník veterán
trp_veteran_fighter_pl|Bojovníci veteráni
trp_champion_fighter|Bojovník šampion
trp_champion_fighter_pl|Bojovníci šampioni
trp_arena_training_fighter_1|Bojovník začátečník
trp_arena_training_fighter_1_pl|Bojovníci začátečníci
trp_arena_training_fighter_2|Bojovník začátečník
trp_arena_training_fighter_2_pl|Bojovníci začátečníci
trp_arena_training_fighter_3|Řadový voják
trp_arena_training_fighter_3_pl|Řadoví vojáci
trp_arena_training_fighter_4|Řadový voják
trp_arena_training_fighter_4_pl|Řadoví vojáci
trp_arena_training_fighter_5|Řadový voják
trp_arena_training_fighter_5_pl|Řadoví vojáci
trp_arena_training_fighter_6|Bojovník veterán
trp_arena_training_fighter_6_pl|Bojovníci veteráni
trp_arena_training_fighter_7|Bojovník veterán
trp_arena_training_fighter_7_pl|Bojovníci veteráni
trp_arena_training_fighter_8|Bojovník veterán
trp_arena_training_fighter_8_pl|Bojovníci veteráni
trp_arena_training_fighter_9|Bojovník šampion
trp_arena_training_fighter_9_pl|Bojovníci šampioni
trp_arena_training_fighter_10|Bojovník šampion
trp_arena_training_fighter_10_pl|Bojovníci šampioni
trp_cattle|Dobytek
trp_cattle_pl|Dobytek
trp_farmer|Farmář
trp_farmer_pl|Farmáři
trp_townsman|Měšťan
trp_townsman_pl|Měšťané
trp_watchman|Měšťanka
trp_watchman_pl|Měšťanky
trp_i1_woodmen_man|Lesní osadník
trp_i1_woodmen_man_pl|Lesní osadníci
trp_i2_woodmen_forester|Lesní dřevorubec
trp_i2_woodmen_forester_pl|Lesní dřevorubci
trp_i3_woodmen_skilled_forester|Zkušený lesní dřevorubec
trp_i3_woodmen_skilled_forester_pl|Zkušení lesní dřevorubci 
trp_i4_woodmen_axemen|Lesní sekerník
trp_i4_woodmen_axemen_pl|Lesní sekerníci
trp_i5_woodmen_night_guard|Noční strážný z Temného hvozdu
trp_i5_woodmen_night_guard_pl|Noční strážní z Temného hvozdu
trp_a2_woodmen_tracker|Lesní stopař
trp_a2_woodmen_tracker_pl|Lesní stopaři
trp_a3_woodmen_scout|Lesní průzkumník
trp_a3_woodmen_scout_pl|Lesní průzkumnici
trp_a4_woodmen_archer|Lesní lučištník
trp_a4_woodmen_archer_pl|Lesní lučištníci
trp_a5_woodmen_night_stalker|Noční stopař z Temného hvozdu
trp_a5_woodmen_night_stalker_pl|Noční stopaři z Temného hvozdu
trp_i1_beorning_man|Meddědovec
trp_i1_beorning_man_pl|Meddědovci
trp_i2_beorning_warrior|Meddědovský válečník
