hint_1|Den Hvide Hånd skulle ikke stole på det det blottede øye så meget,heller ikke den anden vej rundt
hint_2|Hvem du kæmper mod, hvem du hjælper, og hvor en kamp finder sted, bestemmer hvilket allieret rige bemærker og måske værdsætter din indsats.
hint_3|Spejdere er en kilde til information til et rige, ligesom fanger der bliver slæbt til deres fangehuller for tortur og interogation. løsladelse af fanger og afsendelse af spejdere kan blinde fjenden.
hint_4|Husk, at du har en anden værdi af Resource Points inden for hvert Kongerige, hvilket giver dig ret til at blive forsynet med udstyr og tropper inden for dette Kongerige.
hint_5|Den militære sammenbrud et rige er irreversibel. Mordor kan aldrig lide sådan en skæbne, men krigen vil være forbi, hvis dens militære magt er indeholdt, og alle dets allierede er besejret.
hint_6|Det tager et køligt sind (INT) for at undgå at panikere til en Nazgul. Det tager en perfekt styring af ens hest til at undgå, at det går i panik.
hint_7|Du kan hvile på verdenskortet ved at holde mellemrumstasten. Sårede ledsagere vil dog helbrede hurtigere, mens de hviler i byer.
hint_8|For hurtigt at hente og give varer væk i lagervindue, skal du holde kontroltasten nede, mens du venstre cliker.
hint_9|Du kan forlade ethvert sted øjeblikkeligt ved at trykke på tasten tab og trykke på Backspace-tasten under kampe for at bringe kommandolinjen.
hint_10|Dyr kan går i panik nær trolde og olog-hais. Pas på!
hint_11|Manpower repræsenterer en afgørende ressource i et rige: At tage og holde tropper under din kommando vil forbruge Resource Points af den respektive rige.
hint_12|Du kan give ordrer til dine soldater mens du er i kamp. Du kan holde skift nede for at zoome ind, mens du sigter på fjerner på afstand.
