ip_battle_formations|Schlachtformationen: TLD FormAI
ip_battle_formations_text|Deine Truppen positionieren sich und halten zu Beginn jeder Schlacht, anstatt einfach anzugreifen. Nur die großen Fraktionen (alle 18) verwenden Formationen (+Deserteure), Banditen greifen einfach an. Es gibt einen kleinen Unterschied zwischen guten und bösen Fraktionen, die Infanterie der guten Seite bildet Schildwälle (normalerweise defensiv - Truppen mit Schilden zuerst, aber mit Pikenieren kann auch eine Phalanx gebildet werden), während die Infanterie der bösen Seite Reihen bildet (die besten Truppen voraus). Formationen funktionieren nur in Feldschlachten (d. h. nicht in benutzerdefinierten Schlachten und Belagerungen).^^Jedes Mal, wenn im Spiel eine Formation gebildet oder "gehalten" wird, wird sie sich in der Nähe der Position aufstellen, die der Spieler hatte, als der Befehl erteilt wurde: Infanterie links, Kavallerie rechts und Bogenschützen vorne. Deine Truppen beginnen jede Schlacht in Formation.^^Formationstasten sind:^"J" für Reihen,^"K" für waffenbasierte Reihen (Schildwall, Phalanx),^"L" für Keil (der Spieler sollte das "L" für "Log" neu zuordnen)^";" für Quadrat,^"U" für keine Formation (Formation aufheben).^^^Der "Reihen"-Befehl für Bogenschützen stellt sie in eine gestaffelte Linie. Kavallerie bildet nur die Keilformation.^^Der Befehl "Angriff" (und "Absitzen" für Kavallerie) hebt die Formation auf. Du kannst mehrmals vorrücken lassen, um eine Formation in Richtung der durchschnittlichen Position des Feindes zu bewegen. Oder du kannst die Befehlsübersicht oder die Taste F1 benutzen, um sie zu platzieren (oder sie über den Feind hinwegfegen zu lassen, wenn es sich um einen Kavalleriekeil handelt).^^Wenn du Probleme mit Formationen hast, kannst du auf die Native AI zurückwechseln.
ip_battle_formations_newformai|Schlachtformationen: NewFormAI
ip_battle_formations_newformai_text|NewFormAI ermöglicht es dir, über das Befehlsmenü Formationen aufzurufen und deinen Formationen zu befehlen, bestimmte feindliche Formationen über den Befehl "dort halten" (F1 halten) anzugreifen. Diese Funktion ist jedoch noch nicht vollständig getestet.^^ Benutze die ZIFFERN auf der Tastatur, um eine Abteilung auszuwählen. Drücke 0, um deine gesamte Armee auszuwählen.^^Benutze F1-F4, um ausgewählte Abteilungen zu befehligen. Halte die F1-Taste gedrückt, um ausgewählte Abteilungen zu platzieren. Hiermit kannst du auch eine gegnerische Abteilung angreifen."^^Die komplexen Formationen im Schlachtmenü sind:^- REIHEN mit den besten Truppen vorne^- SCHILDWALL, Reihen mit Schilden vorne und längeren Waffen hinten^- KEIL mit den besten Truppen vorne^- QUADRAT in keiner bestimmten Reihenfolge^- KEINE FORMATION^Auch im letzten Fall kann der Spieler Formationen bis zu vier Reihen bilden, indem er oft genug "Näher stehen" anordnet. ^^Wenn EINE Abteilung ausgewählt wird, wird die Mitte ihrer vorderen Reihe an der angezeigten Stelle platziert.^^Wenn VIELE Abteilungen ausgewählt werden, werden sie getrennt und verteilt, als ob der Spieler an der angezeigten Stelle stehen würde.^^Du kannst die Platzierung der ausgewählten Abteilungen relativ zu deiner Position durch Drücken von F2, F7 speichern. Standardmäßig ist die Infanterie links, die Kavallerie rechts und die Fernkämpfer vorne. Die Platzierung wird für jede Division, die du im Menü "Formationen" selbst wählst, überschrieben.^^Wenn die entsprechende Option in den TLD-Optionen eingestellt ist, drehen sich die Abteilungen in Richtung des Feindes. Andernfalls behalten sie die ursprüngliche Ausrichtung bei.
ip_battle_morale|Schlachtmoral (Zusammenhalt)
ip_battle_morale_text|Die Kampfmoral wird als Zusammenhalt bezeichnet, um sie von der Moral deiner Truppe auf der Übersichtskarte zu unterscheiden. Die Truppmoral wirkt sich jedoch auch auf den Zusammenhalt während der Schlacht aus. Dies gilt auch für deine Anführerfähigkeit und die deiner Gefährten, die Anzahl der Hauptmänner und Bannerträger auf dem Feld, die durchschnittliche Erfahrungsstufe deiner Truppen und das Zahlenverhältnis zwischen beiden Seiten. Auch Schlachtfeldeffekte wie magische Nebel oder bestimmte Ereignisse können sich auf die Moral auswirken.^^ Je mehr Verluste deine Seite erleidet, desto mehr bröckelt ihre Moral. Wenn der Zusammenhalt sinkt, kann es sein, dass deine Truppen aus der Schlacht fliehen, was schließlich zu einer Massenflucht führt! Du kannst deine Truppen auf zwei Arten unterstützen:^^1. Das Töten von Feinden. Dadurch beeindruckst du deine Truppen und sie kämpfen härter und fliehen nicht. Wenn du feindliche Helden, Bannerträger oder hochrangige Truppen tötest, schadet das auch dem Zusammenhalt deines Gegners^^2. Truppen anfeuern. Drücke "V", um deine Truppen zu ermutigen und ihren Zusammenhalt zu erhöhen. Du hast auch die Möglichkeit, bereits fliehende Truppen zu sammeln. Du kannst nur eine begrenzte Anzahl von Anfeuerungen pro Schlacht durchführen! Die Anzahl, Stärke und Reichweite deiner Anfeuerungen wird durch dein Charisma und deine Anführerfähigkeit bestimmt. Deine Anfeuerungen werden von deinen Begleitern (wenn sie die Anführerfähigkeit haben) und Hauptmännern unterstützt^^ Es kann von Vorteil sein, wenn du den gegnerischen Befehlshaber besiegst, denn dadurch wird der Feind seines Anführers beraubt und kann nicht mehr angefeuert werden.
ip_economy|Ressourcenpunkte, Rang, Einfluss
ip_economy_text|In TLD gibt es kein Geld. Stattdessen baust du Beziehungen zu den Fraktionen auf - dargestellt durch Ressourcen, Einfluss und Rang.^^Ressourcen sind das, was benötigt wird, um die Fraktion im Krieg zu unterstützen - du kannst geplünderte Metallreste und Gegenstände dafür eintauschen, und du bekommst außerdem jede Woche eine bestimmte Menge an Ressourcen, abhängig von deinem Rang innerhalb einer Fraktion. Davon kannst du Soldaten, Ausrüstung, Reittiere und Gefährten anschaffen. Du hast für jede Fraktion ein eigenes Kontingent an Ressourcen/Einfluss/Rang, vergiss das nicht!^^Einflusspunkte erhältst du für das Abschließen von Quests und das Gewinnen harter Kämpfe. Sie können später für besondere Gegenstände als Belohnung bei den Anführern der Fraktion ausgegeben werden oder um anderen Helden und Parteien Befehle zu erteilen, wenn dein Rang hoch genug ist.^^Rangpunkte ermöglichen es dir, in den Rängen deiner Fraktion aufzusteigen - dies bestimmt deine maximale Gruppengröße, dein wöchentliches Ressourceneinkommen, schaltet Befehlsoptionen frei und macht höherwertige Gegenstände in den Läden verfügbar. Außerdem erhältst du durch den Aufbau von Beziehungen zu Siedlungen (repräsentiert durch den jeweiligen Ortsvorsteher) und verbündeten Anführern bestimmte Vorteile.^^Um der Welt von HdR treu zu bleiben, haben wir auch die Option des so genannten "Cross-Dressing" standardmäßig deaktiviert: ein Mensch von Gondor würde wahrscheinlich niemals eine geplünderte Ork-Rüstung tragen und umgekehrt. Nach den meisten Kämpfen findet man nur wenige oder gar keine Gegenstände in der Beute, die direkt verwendet werden können. Stattdessen werden "Metallreste" fallen gelassen, die wiederverwertbare Ausrüstung darstellen und für Ressourcenpunkte bei Schmieden eingetauscht werden können.
ip_war_of_the_ring|Der Ringkrieg
ip_war_of_the_ring_text|Am Beginn des Spiels hat der Krieg zwischen Gut und Böse noch nicht begonnen. Du wirst benachrichtigt, wenn dies geschieht. (Dies ist NICHT von der Spielzeit abhängig, sondern davon, wie bereit dein Charakter für den Krieg ist.) Während Mittelerde zu Beginn wie ein ziemlich leerer und ruhiger Ort erscheinen mag, füllt er sich sehr schnell mit feindlichen Trupps, sobald der Krieg beginnt. Sei bereit und nutze deine wenigen Tage des Friedens weise! Du kannst Aufgaben für Fürsten und Anführer aller verbündeten Fraktionen erledigen, Truppen ausheben und dich selbst in den Baracken trainieren!^^Der Krieg selbst kann, anders als im originalen M&B, gewonnen oder verloren werden. Jede Fraktion hat eine Stärkebewertung - die sich gemäß den Siegen und Niederlagen der Fraktion in Schlachten ändert. Wenn ihre Stärke niedrig genug ist, wird es ihren Feinden möglich, die Städte/Lager der Fraktion zu belagern. Wenn eine Fraktion auf den niedrigsten Status sinkt, ist es möglich, sie durch das Erstürmen ihrer Hauptstadt vollständig zu vernichten.^^Beachten Sie, dass du als Spieler nicht einfach selbst Belagerungen einleiten kannst. Du kannst deiner Fraktion und deinen Verbündeten nur dann in Belagerungsschlachten helfen, wenn deren Anführer beschließt, dass es an der Zeit ist, die feindliche Siedlung zu stürmen. Wenn du einen hohen Rang und genügend Einfluss bei einer Fraktion hast, kannst du ihrem Anführer jedoch vorschlagen, bestimmte Siedlungen anzugreifen. Mit dem höchsten Rang bei deiner Heimatfraktion kannst du auch das Recht erlangen, selbst einen Angriff auf eine Siedlung zu führen.^^Es gibt verschiedene Kriegsschauplätze in TLD, bestimmt durch die Geografie. Wenn eine Seite alle Feinde am gegenwärtigen Schauplatz ausschaltet, entsendet sie eine Expeditionsstreitmacht, um ihre Verbündeten an anderen Schauplätzen zu unterstützen. Expeditionsstreitmächte errichten ein Vormarschlager am anderen Schauplatz und operieren von dort aus. Wenn die guten Kräfte vollständig vernichtet wurden, aber Mordor und Isengart immer noch stark sind, werden die Zwei Türme um die Vorherrschaft kämpfen.
ip_starting_tips|Starttipps
ip_starting_tips_text|Du wählst am Anfang deine Fraktion und kannst sie später nicht ändern. Du kannst auch zwischen verschiedenen Völkern wählen: Menschen, Elben, Zwerge, Uruks, Uruk-hai oder Orks. Bedenke, dass dich sowohl die Fraktion als auch das Volk auf bestimmte Weise einschränkt. Einige Fraktionen liefern exzellente Soldaten, aber in kleiner Zahl. Einige haben schwache Truppen, aber du kannst viele anwerben. Kleinere Orks können keine Rüstungen tragen, die für große Kerle entworfen wurden, können dafür aber einige Bestien reiten. Zwerge haben außergewöhnliche Ausrüstung, können aber keine Pferde reiten.^^Dies ist nicht darauf ausgelegt völlig (künstlich) ausgeglichen zu sein. Schwächere Völker oder Fraktionen zu spielen, kann herausfordernder sein (in deinem ersten Spiel, solltest du in den Startmenüs Optionen bevorzugen, die am Anfang der Listen stehen).^^Du wählst eine Fraktion und kämpfst für sie bis deine Seite den großen Krieg gewonnen hat, oder bis sie ausgelöscht wird. In diesem Fall kannst du immer noch für deine Verbündeten weiterkämpfen.^^- Ziellos umher zu wandern ist keine gute Idee, der Krieg verlangt von dir planmäßiges Vorgehen. Bevor der Krieg startet, solltest du versuchen einen Trupp Krieger und Gefährten mit geringen Anforderungen um dich zu sammeln und etwas Ausrüstung zusammen zu stellen, um bereit zu sein. Nachdem der Krieg begonnen hat, können deine Strategien variieren. Bedenke, es ist wichtig deinen Verbündeten zu helfen UND den Feind niederzuringen^- Aufgaben für die Anführer deiner Fraktion zu erledigen, ist eine gute Möglichkeit in den Rängen aufzusteigen und Ressourcen und Einfluss zu gewinnen.^- Nimm mehrere Missionen/Aufgaben gleichzeitig an, frage jeden! Du kannst oft "die Runde machen" und verschiedene andere erledigen, während du beispielsweise einen Brief überbringst. Verschwende keine Zeit!
ip_rumours_and_legendary_places|Gerüchte und legendäre Orte
ip_rumours_and_legendary_places_text|Das Sprechen mit Leuten in Siedlungen ermöglicht dir, Kommentare aus der Perspektive ihrer Fraktion zu lesen. Diese enthalten oft interessantes Wissen und manchmal sogar Informationen, die spezielle legendäre Orte auf der Weltkarte freischalten.^^Einige dieser Orte können nur erkundet werden und haben ansonsten keinen Zweck, manche von ihnen beinhalten aber auch einzigartige Aufgaben oder Easter Eggs. Wenn du einen Ort freischaltest, erhältst du eine Nachricht.
ip_trolls|Trolle
