imod_plain|%s, einfach
imod_cracked|%s, gesprungen 
imod_rusty|%s, rostig
imod_bent|%s, verbogen 
imod_chipped|%s, schartig 
imod_battered|%s, ramponiert
imod_poor|%s, armselig 
imod_crude|%s, krud
imod_old|%s, alt
imod_cheap|%s, billig
imod_fine|%s, gut
imod_well_made|%s, wohlgefertigt
imod_sharp|%s, scharf
imod_balanced|%s, ausgewogen
imod_tempered|%s, veredelt
imod_deadly|%s, tödlich
imod_exquisite|%s, exquisit
imod_masterwork|%s, meisterhaft
imod_heavy|%s, schwer
imod_strong|%s, stark
imod_powerful|%s, mächtig
imod_tattered|%s, zerfetzt
imod_ragged|%s, zerlumpt
imod_rough|%s, grob
imod_sturdy|%s, solide
imod_thick|%s, dick
imod_hardened|%s, gehärtet
imod_reinforced|%s, verstärkt
imod_superb|%s, superb
imod_lordly|%s, fürstlich
imod_lame|%s, lahm
imod_swaybacked|%s, bucklig
imod_stubborn|%s, stur
imod_timid|%s, scheu
imod_meek|%s, sanftmütig
imod_spirited|%s, lebhaft
imod_champion|%s, heldenhaft
imod_fresh|%s, frisch
imod_day_old|%s, einen Tag alt
imod_two_day_old|%s, zwei Tage alt
imod_smelling|%s, übelriechend
imod_rotten|%s, verfault
imod_large_bag|Großer Sack mit %s
