qstr_Received_{reg0}_dama|{reg0} Schaden erlitten.
qstr_Gate_is_breached!|Das Tor ist durchbrochen!
qstr_Gate_opens..._You_ha|Das Tor öffnet sich... Du hast den heiligsten Ort Mittelerdes erreicht!
qstr_Secret_place_discove|Geheimen Ort entdeckt!
qstr_Next_Page|Nächste Seite
qstr_Action|Aktion
qstr_Mount|Aufsitzen
qstr_Attack_Type|Angriffsart
qstr_Hold_This_Position|Position halten!
qstr_Follow_Me|Mir nach!
qstr_Charge|Angreifen!
qstr_Advance|Vorrücken!
qstr_Fall_Back|Zurückfallen!
qstr_Stand_Closer|Zusammenrücken!
qstr_Spread_Out|Ausfächern!
qstr_Stand_Ground|Standhaft bleiben!
qstr_Dismount|Absitzen!
qstr_Use_Any_Weapon|Beliebige Waffe einsetzen!
qstr_Use_Blunt_Weapons|Stumpfe Waffen einsetzen!
qstr_Hold_Your_Fire|Beschuss einstellen!
qstr_Fire_At_Will|Nach Belieben schießen!
qstr_Us|Wir
qstr_Allies|Verbündete
qstr_Enemies|Feinde
qstr_Ready|Bereit
qstr_Wounded|Verwundet
qstr_Dead|Tot
qstr_Routed|Geflohen
qstr_Number_of_men_knocke|Anzahl der niedergeschlagenen Männer: {reg1}
qstr_Number_of_men_left:_|Anzahl der verbleibenden Männer: {reg1}
qstr_Opponents_Beaten:_{r|Geschlagene Gegner: {reg1}
qstr_Opponents_Remaining:|Verbleibende Gegner: {reg1}
qstr_Gauntlet_wave:_1|Gantelet: Welle 1
qstr_Gauntlet_wave:_{reg1|Gantelet: Welle {reg1}
qstr_Remain_in_retirement|Im Ruhestand bleiben.
qstr_Go_back_to_the_adven|Zurück ins Abenteuerleben.
qstr_A_peaceful_village_n|Ein friedliches Dorf nicht weit von der Westfold...
qstr_The_War_is_upon_Roha|Der Krieg kommt über Rohan!
qstr_Minas_Tirith___The_W|Minas Tirith - Die Weiße Stadt
qstr_The_White_Tree_stand|Der Weiße Baum ist tot, denn die Linie der Könige hat versagt
qstr_And_the_Shadow_grows|Und der Schatten im Osten wächst
qstr_Minas_Morgul___City_|Minas Morgul - Stadt der Nazgûl
qstr_Sauron_s_armies_marc|Saurons Armeen ziehen in den Krieg!
qstr_Adventurers_at_audie|Abenteurer in einer Audienz mit Truchsess Denethor...
qstr___What_business_do_y|"In welcher Sache tretet Ihr vor mich, Bittsteller?"
qstr___Your_Stewardship_w|"Truchsess, wir sind aus fernen Landen gekommen um zu... springen!"
qstr___Enough_of_this_mad|"Schluss mit diesem Wahnsinn! Wachen!!!"
qstr___I_ve_had_enough_of|"Ich habe genug von diesen Possen... Der nächste Haufen wird niederknien!"
qstr_Chest|Brust
qstr_Cape|Umhang
qstr_Arms|Arme
qstr_Thighs|Hüften
qstr_Legs|Beine
qstr_Rotate|Drehen
qstr_Close|Schließen
qstr_Faction_Side:^^Campa|Seite:^^Schwierigkeit*:^^Gegend:^^Heerführer:^^Feinde:^^
qstr_Campaign_Difficulty_|Die Schwierigkeit basiert auf der Fraktionsstärke, den Feinden,^sowie der Stärke der Truppen.
qstr_Rallies:|Sammelrufe:
qstr_View_Keybinds__Press|Tastenbelegungen (Einfg)
qstr_What_do_you_fight_fo|Wofür kämpfst du?
qstr_Go_Back...|Zurück...
qstr_Learn_about_the_diff|Lerne mehr über die Völker von Mittelerde
