skl_trade|Διαπραγματευτής
skl_trade_desc|Κάνει του σιδηρουργούς και τους έμπορους να είναι πιο συνεργάσιμοι και να προσφέρουν καλύτερα εφόδια. (Ομαδική Ικανότητα)
skl_leadership|Ηγεσία
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you (player only). (Cumulative skill)
skl_prisoner_management|Διαχείριση Κρατουμένων
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners. (Party skill)
skl_persuasion|Τέχνης της Φύσης
skl_persuasion_desc|Η ικανότητα να επιβιώνεις στην άγρια φύση και να την κάμπτεις υπό τη θέληση σου. Αυτή η ικανότητα επηρεάζει τη δυνατότητα της ομάδας να κρύβεται από τον εχθρό και τη ταχύτητα της ομάδας σε δασώδες έδαφος. (Ικανότητα Ομάδας)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Πρώτες Βοήθειες
skl_first_aid_desc|Οι Ήρωες ανακτούν 5 %% ανά επίπεδο ικανότητας πόντους υγείας που χάθηκαν κατά τη διάρκεια της μάχης. (Ομαδική Ικανότητα)
skl_surgery|Χειρουργική
skl_surgery_desc|Κάθε βαθμός σε αυτή την ικανότητα δίνει 4 %% πιθανότητα όταν κάποιο μέλος της ομάδας σου χτυπηθεί θανάσιμα θα τραυματιστεί αντί για να σκοτωθεί. (Ομαδική Ικανότητα)
skl_wound_treatment|Θεραπεία Πληγών
skl_wound_treatment_desc|Η ταχύτητα που η ομάδα θεραπεύεται αυξάνεται κατά 20 %% ανά επίπεδο αυτής της ικανότητας. (Ομαδική Ικανότητα)
; skl_inventory_management|Party Management
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption by 5%% and upkeep for troops in your party by 3%% per level. (Leader skill)
skl_spotting|Παρατηρητικότητα
skl_spotting_desc|Το εύρος το οποίο βλέπει η ομάδα αυξάνεται κατά 10%% ανά επίπεδο της ικανότητας. (Ομαδική Ικανότητα)
skl_pathfinding|Εύρεση διαδρομής
skl_pathfinding_desc|Η ταχύτητα της ομάδας αυξάνεται κατά 3%% ανά επίπεδο της ικανότητας. (Ομαδική Ικανότητα) 
skl_tactics|Τακτική
; skl_tactics_desc|Improves battle advantage. Decreases battle join range for enemy parties and increases battle join range for friendly parties by 3%% per level. (Leader skill)
skl_tracking|Ιχνηλασία
skl_tracking_desc|Τα ίχνη γίνονται πιο λεπτομερειακά. (Ομαδική Ικανότητα)
skl_trainer|Εκπαιδευτής
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30,38,46,55,65,80}. (Cumulative skill)
skl_looting|Λεηλασία
; skl_looting_desc|Increases amount and quality of loot gained after battles. (Cumulative skill)
skl_horse_archery|Έφιππη Τοξοβολία
skl_horse_archery_desc|Μειώνει ποινή ζημιάς και ακρίβειας για την τοξοβολία και την ρίψη όταν βρίσκεστε έφιππος. (Προσωπική Ικανότητα)
skl_riding|Ιππασία
skl_riding_desc|Σου δίνει την δυνατότητα να καβαλάς άλογα (ή άλλα ζώα) μεγαλύτερου επίπεδου δυσκολίας και σου αυξάνει την ταχύτητα και ευελιξία του καλπασμού. (Προσωπική Ικανότητα)
skl_athletics|Αθλητισμός
skl_athletics_desc|βελτιώνει το πόσο γρήγορα τρέχεις. (Προσωπική Ικανότητα)
skl_shield|Ασπίδα
skl_shield_desc|Μειώνει την ζημιά σε ασπίδες (κατά 8%% ανά επίπεδο της ικανότητας), βελτιώνει την ταχύτητα με την ασπίδα και την κάλυψη της, μειώνει την ποινή της ασπίδας όταν χρησιμοποιείται με τόξα. (Προσωπική Ικανότητα)
skl_weapon_master|Οπλαρχηγός
skl_weapon_master_desc|Κάνει την μάθηση ικανότητας όπλων πιο εύκολη και ανεβάζει το όριο ικανότητας. Τα όρια έχουν ως εξής: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Προσωπική Ικανότητα)
skl_power_draw|Δύναμη Τραβήγματος
skl_power_draw_desc|Επιτρέπει τον χαρακτήρα να χρησιμοποιεί πιο δυνατά τόξα. Κάθε πόντος στην ικανότητα (μέχρι και τέσσερα συν τις απαιτήσεις του τόξου) μεγαλώνει την ζημιά του τόξου κατά 14%%. (Προσωπική Ικανότητα)
skl_power_throw|Δύναμη Ρίψης
skl_power_throw_desc|Κάθε πόντος σε αυτή την ικανότητα αυξάνει τη ζημιά ρίψης κατά 10%%. (Προσωπική Ικανότητα)
skl_power_strike|Δύναμη Χτυπήματος
skl_power_strike_desc|Κάθε πόντος σε αυτή την ικανότητα αυξάνει την ζημιά εξ επαφής κατά 8%%. (Προσωπική Ικανότητα)
skl_ironflesh|Αντοχή
skl_ironflesh_desc|Κάθε πόντος σε αυτή την ικανότητα αυξάνει τους πόντους ζωής κατά +2, και σου επιτρέπει να αντέξεις μερική ζημιά χωρίς να τραυματιστείς. (Προσωπική Ικανότητα)
