fac_no_faction|Sin facción
fac_commoners|Plebeyos
fac_outlaws|Bandidos y salvajes
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlórien
fac_imladris|Imladris
fac_woodelf|El Reino del Bosque
fac_dale|Valle
fac_harad|Harad
fac_rhun|Rhûn
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Monte Gundabad
fac_dunland|Tierras Brunas
fac_beorn|El Valle del Anduin
fac_player_supporters_faction|Facción del jugador
fac_player_faction|Facción del jugador
fac_brigands|Saqueadores
fac_tribal_orcs|Orcos tribales
fac_innocents|Inocentes
fac_merchants|Mercaderes
fac_manhunters|Cazarecompensas
fac_deserters|Desertores
fac_mountain_bandits|Bandidos de la montaña
fac_forest_bandits|Bandidos del bosque
