menu_start_game_1|^^^^^^^^^^¿Por qué fin lucháis?
mno_start_good|Por el AMANECER de una nueva Era
mno_start_evil|Por el OCASO del Hombre
mno_faction_intros|Aprende más sobre las diferentes facciones de la Tierra Media
mno_go_bback|Volver atrás
menu_start_phase_2|^^^^^La Tierra Media: una sombra crece en el Este, ^y criaturas oscuras que llevaban mucho tiempo ocultas salen de sus escondites. ^Los pueblos libres se preparan para la guerra, una guerra como no se ha visto desde la última Edad. ^Hombres, Elfos, Enanos y Orcos; todos jugarán su papel. ^^Qué papel, sin embargo, todavía está por ver... 
mno_go_forth|Sigue adelante por el camino elegido...
mno_change_tld_options|Cambiar opciones de TLD.
menu_start_game_3|^^^^^^^^Elige tu escenario:
mno_custom_battle_scenario_1|Escaramuza, Facciones de Gondor contra Harad
mno_custom_battle_scenario_12|Elegir facciones para la batalla
mno_custom_battle_scenario_3|Escaramuza, Elfos contra Numenóreanos Negros
mno_custom_battle_scenario_4|Defensa del Abismo de Helm, Rohan contra Isengard
mno_custom_battle_scenario_5|Escaramuza, Facciones norteñas contra Rhûn
mno_custom_battle_scenario_6|Asedio, Orcos contra Enanos
mno_custom_battle_scenario_7|Emboscada, Orcos contra Bosque Negro
mno_custom_battle_scenario_8|La última defensa del Pueblo de Durin
mno_custom_battle_scenario_88|Persiguiendo una patrulla de exploradores orcos
mno_custom_battle_scenario_11|Batallas de prueba (¡Para equilibrar el juego!)
mno_custom_battle_scenario_10|Batalla de prueba de escenarios
mno_troll_battle_scenario|Batallas de prueba de trolls
mno_warg_battle_scenario|Batallas de prueba de huargos
mno_build_your_own_scene|** Construir tu propio escenario para TLD **
mno_go_back|Volver atrás
menu_tutorial|^^ Te damos la bienvenida al Tutorial de Combate de Mount & Blade. Aquí aprenderás las mecánicas básicas del combate, así como una breve introducción a comandar tropas en las batallas campales.
mno_tutorial_1|Tutorial #1: Movimientos básicos y selección de armas. {s1}
mno_tutorial_2|Tutorial #2: Luchar con escudo. {s2}
mno_tutorial_3|Tutorial #3: Luchar sin escudo. {s3}
mno_tutorial_3b_door|siguiente nivel
mno_tutorial_4|Tutorial #4: Montar a caballo o en huargo. {s4}
mno_tutorial_5|Tutorial #5: Dirigir a un grupo de soldados. {s5}
mno_go_back_dot|Volver atrás.
mno_action_view_troop_trees|Ver árboles de tropas.
mno_view_upkeep_costs|Ver costes de mantenimiento.
mno_view_character_report|Ver informe del personaje.
mno_view_party_size_report|Ver informe del tamaño del grupo.
mno_view_morale_report|Ver informe de la moral del grupo.
mno_view_character_report_02|Comprobar estado de los PNJ.
mno_view_faction_strengths_report|Ver informe de fuerza de facción.
mno_view_traits_report|Ver virtudes conseguidas.
mno_resume_travelling|Reanudar Viaje.
mno_custom_battle_go|Comenzar.
mno_leave_custom_battle_2|Cancelar.
menu_custom_battle_end|^^^^^^La batalla ha finalizado. {s1} Tu bando ha acabado con {reg5} enemigos y perdido {reg6} tropas en la batalla. Has matado personalmente a {reg7} oponentes.
mno_replay|Volver a jugar la batalla.
mno_continue_dot|Continuar.
menu_custom_battle_durin_end|^^^^^^Fue una defensa desesperada y admirable, pero la derrota era inevitable.^^ Tú y tus parientes matasteis a {reg5} enemigos.^Tú abatiste personalmente a {reg7} oponentes en el combate.
mno_replay_cbd|Volver a jugar la batalla.
mno_continue_dot_cbd|Continuar.
mno_dot_go_back|.                 Volver atrás
menu_start_good|^^^^^^^^^^Elige tu raza:
mno_start_ma|HOMBRE
mno_start_el|ELFO
mno_start_dw|ENANO
menu_start_evil|^^^^^^^^^^¿Quién será tu Señor?
mno_start_eye|SAURON de Mordor, el Señor de los Anillos
mno_start_hand|SARUMAN de Isengard, la Mano Blanca
menu_start_eye|^^^^^^^^^Tu señor es el Ojo Sin Párpado^Elige tu raza:
mno_start_or|un ORCO, servidor del Ojo Sin Párpado
mno_start_ur|un URUK, la nueva raza de orcos
mno_start_em|un HOMBRE, subyugado por Sauron
menu_start_hand|^^^^^^^^^Tu señor es la Mano Blanca^Elige tu raza:
mno_start_whor|un ORCO, servidor de la Mano Blanca
mno_start_isur|un URUK-HAI, engendrado en Isengard
mno_start_duma|un HOMBRE de las Tierras Brunas, en la llanura occidental
menu_start_good_man|^^^^^^^^^^Elige a tu pueblo:
mno_start_go|GONDOR, el Reino de la Torre Blanca
mno_start_ro|ROHAN, los Señores de los Caballos
