
str_yes|Sí.
str_no|No.
str_noone|nadie
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} y {s51}
str_s5_s_party|Grupo de {s5}
str_s5_s_host|Hueste de {s5}
str_given_by_s1_at_s2|Dada por {s1} en {s2}
str_given_by_s1_in_wilderness|Dada por {s1} en campaña
str_s7_raiders|Asaltantes {s7}
str_bandits_eliminated_by_another|Otro grupo se ha adelantado y ha acabado con los bandidos problemáticos.
str_msg_battle_won|¡Victoria! Pulsa Tab para salir...
str_tutorial_map1|Éste es el mapa de la Tierra Media. Haz clic izquierdo en el mapa para mover a tu grupo, entrar en una ciudad o seguir a otro grupo. El juego se pondrá en pausa cuando tu grupo no se esté moviendo, descansando o esperando. Para esperar solo tienes que mantener pulsada la barra espaciadora.
str_accept|Aceptar
str_charge|Carga
str_color|Color
str_flip_horizontal|Girar en horizontal
str_flip_vertical|Girar en vertical
str_hold_fire|Alto el fuego
str_blunt_hold_fire|Armas contundentes / Alto el fuego                
str_tutorial_ammo_refilled|Munición recargada.
str_tutorial_failed|Te han derrotado esta vez, pero no te preocupes. Sigue las instrucciones cuidadosamente y lo harás mejor la próxima vez. Pulsa Tab para volver al menú donde podrás reintentar este tutorial.
str_tutorial_1_msg_1|En este tutorial aprenderás los conceptos básicos de movimiento y combate. En Mount&Blade se usa el ratón para controlar hacia dónde miras, y las teclas WASD del teclado para moverte. Tu primer objetivo en el entrenamiento es localizar la bandera en esta habitación y moverte hasta ella. Puedes pulsar Tab en cualquier momento para salir de este tutorial o para salir de cualquier otra área del juego. Ahora ve hasta la bandera.
str_tutorial_1_msg_2|Bien hecho. Ahora aprenderemos a atacar con armas. Durante esta parte del tutorial, se te ha equipado con un arco y flechas, una espda y un escudo. Puedes desenvainar las distintas armas equipadas en tus ranuras de armas usando la rueda del ratón. En la configuración por defecto, mover la rueda hacia arriba te permite sacar el arma siguiente y moverla hacia abajo saca el escudo. Si ya estás sujetando un escudo, mover al rueda hacia abajo guardará el escudo. Intenta cambiar el armamento de tus manos usando la rueda. Cuando hayas termiando, ve hasta la bandera para pasar a la siguiente tarea.
