ip_battle_formations|Formaciones de batalla: TLD FormAI
ip_battle_formations_text|Tus tropas se posicionarán por si mismas al comienzo de cada batalla y mantendrán la posición. Sólo las facciones principales (las 18) utilizan formaciones, además de los desertores; los bandidos se limitan a cargar. Existe una ligera diferencia entre las facciones del bien y del mal, la infantería del bien formará muros de escudos (normalmente con las tropas defensivas, con escudos, delante, pero se puede convertir en una falange si tienes piqueros), mientras que la infantería del mal forma filas (con las mejores tropas delante). Las formaciones sólo funcionan en batallas a campo abierto (y no en batallas personalizadas o asedios).^^Cuando ordenes formar o "mantener posición", tus tropas se situaran cerca de la posición del jugador en el momento de dar la orden: infantería a tu izquierda, caballería a tu derecha, y arqueros al frente. Las tropas del jugador empiezan todas las batallas en formación. ^^Los atajos de teclas son: ^«J» para formar filas,^«K» para filas basadas en armas (muro de escudos, falange),^«L» para cuña (el jugador debería reasignar la «L» para el «Log», o registro del juego),^";" para formación en cuadro,^«U» para disolver la formación.^^La orden de formar filas hace que los arqueros formen una línea espaciada. La caballería no tendrá otra formación que la de cuña.^^La orden de Cargar (y Desmontar, para caballería) disolverá la formación. El jugador puede ordenar Avanzar varias veces para que la formación se mueva hacia la posición general del enemigo. O utiliza el panel de órdenes, o mantén presionado F1 para especificar una posición (o en el caso de la caballería formada en cuña para barrer a los enemigos).^^Si experimentas algún problema con las formaciones, puedes restaurar la IA del juego Native
ip_battle_formations_newformai|Formaciones de batalla: NewFormAI
ip_battle_formations_newformai_text|NewFormAI te permite acceder a las formaciones desde el menú de órdenes y ordenar a tus formaciones que ataquen formaciones enemigas concretas usando el comando "mantener posición"  (mantener pulsado F1). Pero no está completamente testado.^^Usa los NÚMEROS para seleccionar una división. Pulsa 0 para seleccionar a todas tus fuerzas.^^Usa F1-F4 para dar órdenes a las divisiones seleccionadas. Mantén pulsado F1 para posicionar las divisiones seleccionadas. Puedes usar esta mecánica para indicar a tus divisiones que ataquen una división enemiga."^^Las formaciones complejas en el menú de batalla son:^- FILAS con las mejoras tropas al frente^- MURO DE ESCUDOS, filas con escudos al frente y armas largas detrás^- CUÑA con las mejores tropas al frente^- CUADRO sin orden particular^- SIN FORMACIÓN^Incluso en el último caso, el jugador puede crear formaciones de hasta cuatro líneas ordenando "Manteneos juntos" repetidamente.^^Cuando se selecciona UNA división, el centro de su primera fila se sitúa en el punto indicado.^^Cuando se seleccionan VARIAS divisiones, se despliegan alrededor del punto indicado como si el jugador estuviera allí.^^Puedes memorizar el posicionamiento de las divisiones en relación al jugador pulsando F2, F7. La posición por defecto es infantería a la izquierda, caballería a la derecha y arqueros enfrente. Si el jugador dirige personalmente cualquier división mediante el menú de Opciones de Formación, esto sobreescribirá su posicionamiento.^^Si la opción correspondiente del menú de campamento está activada, las divisiones rotarán para mirar siempre al enemigo. Si no, mantendrán la orientación que tenía el jugador cuando dio la orden de posicionamiento.
ip_battle_morale|Moral en Batalla (Cohesión)
ip_battle_morale_text|La moral de batalla se llama coherencia para diferenciarla de la moral de tu grupo en el mapa principal. Sin embargo, la moral del grupo también afecta a la cohesión en batalla. Otros factores son la habilidad de Liderazgo de tus compañeros, la cantidad de capitanes y portaestandartes presentes en el campo, el nivel medio del grupo y la proporción numérica entre ambos bandos. Efectos del campo de batalla como nieblas mágicas o ciertos eventos también pueden afectar a la cohesión.^^Al aumentar el número de bajas en tu bando, la cohesión se desmorona. Si tu cohesión baja mucho, tus tropas huirán de la batalla, ¡lo que puede resultar en una desbandada general! Puedes apoyar a tus tropas de dos formas:^^1. Matando enemigos. Si te destacas en el combate, impresionarás a tus tropas, que lucharán con más ánimo y no huirán. Derrotar a héroes, portaestandartes o tropas enemigas de alto nivel reducirá la cohesión del enemigo.^^2. Arengar a tus tropas. Pulsa "V" para animar a tus tropas y aumentar la cohesión. También tendrás una posibilidad de reagrupar a soldados que ya estén huyendo. ¡Solo dispones de un número limitado de arengas por batalla! El número, potencia y alcance de tus arengas se ve afectado por tu Carisma y tu Liderazgo. Tu arenga será apoyada por tus compañeros (si poseen la habilidad de Liderazgo) y capitanes.^^Derrotar al comandante enemigo puede darte una gran ventaja porque, sin líder que las arengue, las tropas enemigas no pueden recuperar cohesión y reagruparse.
ip_economy|Puntos de Recursos, Rango, Influencia
ip_economy_text|No existe el dinero en TLD. En su lugar, desarrollas tu relación con las diversas facciones, lo que se representa mediante Recursos Influencia y Rango.^^Los Recursos son lo que se necesita para sostener el esfuerzo bélico de las facciones: puedes obtenerlos intercambiando los objetos y restos saqueados tras las batallas, y también recibes una asignación semanal de recursos dependiendo de tu rango dentro de cada facción. Puedes usar esta asignación para reclutar soldados, comprar equipo, caballos y compañeros para que te sigan, pero solo si has acumulado suficientes. Tus contadores de recursos/influencia/rango son independientes para cada facción. ¡No lo olvides!^^Los puntos de Influencia se reciben como premio por completar misiones y ganar batallas difíciles. Pueden gastarse en objetos especiales con los que te recompensa el líder de la facción, o usarse para dar órdenes a otros héroes o grupos de tropas si tu rango es lo bastante alto.^^Los puntos de Rango te permiten ascender en el escalafón de tu facción: esto determina el tamaño máximo de tu grupo y la asignación semanal de recursos, desbloquea opciones de órdenes y hace que las tiendas tengan a la venta objetos de mayor calidad.^^Además, mejorar tus relaciones con los asentamientos (representados por el líder local) y los comandantes aliados, te reportará ciertos beneficios.^^Para mantenernos fieles al trasfondo, hemos desactivado por defecto la opción de "travestirse": un gondoriano nunca llevaría armadura saqueada a los orcos y viceversa. Después de las batallas, encontrarás entre el botín pocos o ningún objeto que pueda usarse directamente. En su lugar, recibirás "restos de metal", que representan toda la chatarra que puede recogerse para ser luego entregada  a los herreros de tu facción, a cambio de puntos de recursos.
ip_war_of_the_ring|Guerra del Anillo
ip_war_of_the_ring_text|Al principio de la partida, la Guerra entre el bien y el mal todavía no ha empezado. Se te notificará cuando suceda. (Esto no depende del tiempo que pases jugando, sino de lo preparado que esté tu personaje para la guerra) Si bien la Tierra Media puede parecer en un principio bastante vacía y tranquila, se llena de grupos hostiles muy rápido cuando comienza la Guerra. ¡Prepárate y emplea sabiamente tus escasos días de paz! Puedes realizar misiones para los señores y líderes de facciones aliadas, reclutar tropas y entrenarte en el cuartel.^^La guerra en sí puede perderse o ganarse, al contrario que en el M&B original. Cada facción tiene una puntuación de fuerza, que cambia de acuerdo a sus éxitos y fracasos en el campo de batalla. Si su fuerza es lo suficientemente baja, es posible asediar sus ciudades y campamentos. Cuando la fuerza de una facción baja lo suficiente, es posible asediar sus ciudades y campamentos. Cuando una facción cae a la puntuación más baja, es posible derrotarla permanentemente marchando sobre su capital.^^Ten en cuenta que normalmente el jugador no puede iniciar asedios por sí mismo, sólo puede ayudar a su facción y aliados en los asedios que decidan emprender sus líderes. Sin embargo, con suficiente Rango e Influencia en una facción, puedes sugerir a su líder que ataque un asentamiento concreto. Al alcanzar el rango más alto en tu facción de origen, puedes ganarte el derecho de dirigir el asalto a un asentamiento enemigo por tu cuenta.^^Existen varios teatros o frentes de guerra en TLD, marcados por la geografía. Cuando un bando elimine a todos los enemigos de su frente inicial, enviará una fuerza expedicionaria con la cual ayudará a aliados en otros frentes. La fuerza expedicionaria construirá un campamento de avanzada en el nuevo frente y operará desde allí. Si las fuerzas del bien son completamente derrotadas, pero Mordor e Isengard siguen en pie, las dos torres lucharan la una contra la otra por la dominancia total y absoluta.
ip_starting_tips|Consejos iniciales
ip_starting_tips_text|Una vez que eliges una facción al comienzo de la partida, ya no puedes cambiarla. Puedes elegir entre varias razas: hombres, elfos, enanos, uruks, uruk-hais u orcos. Recuerda que tanto la facción como la raza que eliges te limitan de alguna forma. Algunas facciones te proporcionan unos soldados excelentes, pero en pequeños números. Otras tienen tropas débiles, pero puedes reclutar a muchas. Los orcos más pequeños no pueden llevar armaduras diseñadas para uruks, pero sí que pueden montar bestias. Los enanos tienen un equipo excelente, pero no usan monturas en combate. ^^El juego no se ha diseñado para estar (artificialmente) equilibrado. Jugar con razas más débiles puede suponer un reto mayor (para tu primera partida puede que quieras utilizar las primeras opciones de la lista en los menús iniciales en vez de otras alternativas).^^Eliges una facción y luchas por ella hasta que tu bando gane la gran guerra o tu facción sea aniquilada. En este último caso todavía puedes seguir luchando junto a tus aliados. ^^- Deambular sin rumbo fijo no es una buena idea, la Guerra necesita de toda tu iniciativa y dedicación. Antes de que estalle la Guerra, intenta hacerte con un grupo de guerreros, algunos de los compañeros de nivel más bajo y algo de equipamiento con el que estar preparado. Una vez que comience la guerra, tu estrategia a seguir puede variar. Recuerda, es importante que ayudes a tus aliados, a la vez que intentas derrotar al enemigo. ^- Hacer misiones para los señores de tu facción es una buena idea para subir de rango y conseguir puntos de recursos e influencia. ^-Realiza varias misiones de forma simultánea, y pregunta a todo el mundo. Puedes «hacer la ronda» y cumplir otras misiones mientras vas a entregar una carta, por ejemplo. ¡No pierdas el tiempo!
