itm_horse_meat|Carne de caballo
itm_practice_sword|Espada de entrenamiento
itm_arena_lance|Lanza de caballería
itm_practice_staff|Bastón de madera
itm_practice_bow|Arco de entrenamiento
itm_wooden_javelin|Jabalina de madera
itm_human_meat|Carne humana
itm_maggoty_bread|Pan con gusanos
itm_cram|Ración de cram
itm_lembas|Lembas
itm_smoked_fish|Pescado ahumado
itm_dried_meat|Carne seca
itm_cattle_meat|Carne de vaca
itm_grain|Trigo
itm_tools|Herramientas
itm_siege_supply|Suministros
itm_quest_wine|Vino
itm_quest_ale|Cerveza
itm_metal_scraps_bad|Restos de metal de baja calidad
itm_metal_scraps_medium|Restos de metal reutilizables
itm_metal_scraps_good|Restos de metal de buena calidad
itm_oliphant|Olifante
itm_sumpter_horse|Caballo de carga
itm_saddle_horse|Caballo de monta
itm_steppe_horse|Caballo estepario
itm_courser|Corcel
itm_hunter|Caballo de caza
itm_pony|Poney
itm_dunedain_warhorse|Caballo de guerra Dúnadan
itm_rohirrim_courser|Corcel Rohirrim
itm_rohirrim_hunter|Caballo de caza Rohirrim 
itm_rohirrim_courser2|Corcel Rohirrim con armadura
itm_rohan_warhorse|Caballo de guerra Rohirrim
itm_thengel_warhorse|Caballo de guerra de Eorl
itm_rhun_horse_a|Caballo de Rhûn
itm_rhun_horse_b|Caballo de Rhûn
itm_rhun_horse_d|Caballo de Rhûn
itm_rhun_horse_e|Caballo pesado de Rhûn
itm_rhun_horse_f|Caballo pesado de Rhûn
itm_rhun_horse_g|Caballo pesado de Rhûn
itm_rhun_horse_h|Caballo pesado de Rhûn
itm_dale_horse|Caballo de Rhovanion
itm_dale_warhorse|Caballo de guerra de Rhovanion
itm_riv_warhorse|Caballo de guerra de Rivendel
itm_riv_warhorse2|Corcel de Imladris
itm_mordor_warhorse|Caballo de guerra de Mordor
itm_mordor_warhorse2|Caballo de guerra siniestro de Mordor
itm_gondor_courser|Corcel de Gondor
itm_gondor_hunter|Caballo de caza de Gondor
itm_dol_amroth_warhorse|Caballo de guerra de Dol Amroth
itm_dol_amroth_warhorse2|Caballo de guerra pesado de Dol Amroth
itm_gondor_warhorse|Caballo de guerra de Gondor
itm_gondor_lam_horse|Caballo acorazado de Lamedon
itm_lorien_warhorse|Caballo de guerra de Lothlórien
itm_harad_horse|Caballo de Harad
itm_harad_warhorse|Caballo de guerra de Harad
itm_variag_pony|Poney de los Variag
itm_variag_kataphrakt|Caballo de guerra del Este
itm_warg_1b|Huargo
itm_warg_1c|Huargo
itm_warg_1d|Huargo
itm_wargarmored_1b|Huargo de Guerra
itm_wargarmored_1c|Huargo de Guerra
itm_wargarmored_2b|Huargo de Guerra
itm_wargarmored_2c|Huargo de Guerra
itm_wargarmored_3a|Huargo de Guerra
itm_warg_reward|Huargo enorme
itm_tree_trunk_club_a|Tronco de árbol
itm_giant_mace|Maza gigante
itm_troll_shield_a|Escudo de Troll
itm_arrows|Flechas
itm_gondor_arrows|Flechas de Gondor
itm_orc_javelin|Jabalina pesada orca
itm_khergit_arrows|Flechas Rohirrim
itm_harad_arrows|Flechas Haradrim
itm_corsair_arrows|Flechas corsarias
itm_ithilien_arrows|Flechas de Ithilien
itm_woodelf_arrows|Flechas de Elfo del Bosque
itm_elven_arrows|Flechas élficas
itm_orc_hook_arrow|Flechas de garfio orcas
itm_isengard_arrow|Flechas de Isengard
itm_leather_gloves|Guantes de cuero
itm_mail_mittens|Manoplas de malla
itm_leather_boots|Botas de cuero
itm_leather_boots_dark|Botas de jinete
itm_splinted_greaves|Grebas de láminas
itm_white_tunic_a|Atuendo de civil
itm_rohan_shoes|Zapatos de cuero
itm_furry_boots|Botas peludas
itm_black_tunic|Túnica negra
itm_hood_black|Capucha negra
itm_hood_green|Capucha verde
itm_hood_grey|Capucha gris
itm_hood_leather|Capucha de cuero
itm_mail_coif|Almófar
itm_axe_a|Hacha norteña
itm_axe_b|Hacha barbada norteña
itm_axe_c|Hacha norteña
itm_axe_d|Hacha norteña
itm_long_bearded_axe|Hacha larga barbada norteña
itm_2_handed_axe|Hacha larga norteña
itm_shortened_spear|Lanza corta
itm_spear|Lanza
itm_light_lance|Lanza ligera de caballería
itm_lance|Lanza de caballería
itm_tab_shield_small_round_b|Escudo redondo de caballería
itm_short_bow|Arco corto
itm_regular_bow|Arco
itm_nomad_bow|Arco nómada
itm_gondor_bow|Arco de Gondor
itm_strong_bow|Arco fuerte
itm_elven_bow|Arco élfico
itm_corsair_bow|Arco corsario
itm_dwarf_horn_bow|Arco enano de cuerno
itm_dwarf_short_bow|Arco corto enano
itm_harad_bow|Arco curvo de Harad
itm_lg_bow|Arco de la Guardia del Águila
itm_riv_bow|Arco de Rivendel
itm_rhun_bow|Arco Balchoth
itm_lorien_bow|Arco Galadhrim
itm_isengard_large_bow|Arco largo de Isengard
itm_dale_bow|Arco de Valle
itm_uruk_bow|Arco orco de cuerno
itm_mirkwood_bow|Arco del Bosque Negro
itm_dunland_javelin|Jabalinas dunlendinas
itm_orc_throwing_arrow|Dardos orcos
itm_heavy_throwing_spear|Lanza arrojadiza pesada
itm_javelin|Jabalina
itm_harad_javelin|Jabalina Haradrim
itm_gondor_javelin|Jabalina de Gondor
itm_rohirrim_throwing_axe|Hachas arrojadizas norteñas
itm_loss_throwing_axes|Hachas arrojadizas de Lossarnach
itm_arnor_helm_c|Casco decorado de Arnor
itm_arnor_helm_b|Casco de Arnor
itm_arnor_helm_a|Yelmo ligero de Arnor
itm_arnor_light_a|Jubón de Montaraz Dúnadan
itm_arnor_light_b|Cota de malla de Montaraz Dúnadan
itm_arnor_med_a|Abrigo de Montaraz Dúnadan
itm_arnor_med_b|Cota de malla Dúnadan
itm_arnor_heavy|Armadura de noble de Arnor
itm_arnor_greaves|Grebas de Arnor
itm_arnor_shield_c|Escudo de caballería de Arnor
itm_arnor_shield_a|Escudo redondo de Arnor
itm_arnor_sword_c|Espada de guerra de Arnor
itm_arnor_sword_a|Espada bastarda de Arnor
itm_arnor_sword_f|Espada corta de Arnor
itm_riv_helm_a|Cofia de Rivendel
itm_riv_helm_b|Casco de arquero de Rivendel
itm_riv_helm_c|Casco de Infantería de Rivendel
itm_tiara_reward|Tiara de Señor Elfo
itm_riv_shield_a|Escudo de Rivendel
itm_riv_shield_b|Escudo de Rivendel
itm_riv_bas_sword|Espada bastarda de Rivendel
itm_riv_1h_sword|Espada de Rivendel
itm_riv_riding_sword|Espada larga de Rivendel
itm_riv_archer_sword|Espada corta de Rivendel
itm_riv_spear|Lanza de Rivendel
itm_riv_light|Túnica de Rivendel
itm_riv_leather|Armadura de cuero de Rivendel
itm_riv_foot_mail|Cota de malla de Rivendel
itm_riv_foot_scale|Armadura de escamas de Rivendel
itm_riv_surcoat|Sobrevesta de Rivendel
itm_riv_knight|Armadura de caballero de Rivendel
itm_riv_armor_h_archer|Armadura pesada de arquero de Rivendel
itm_riv_boots|Botas de Rivendel
itm_gon_footman|Cota de malla de Gondor
itm_gon_jerkin|Jubón de Gondor
itm_gon_regular|Malla pesada de Gondor
itm_gon_bowman|Gambesón de Gondor
itm_gon_archer|Gambesón de Gondor con capa
itm_gon_noble_cloak|Jubón de noble de Gondor
itm_gon_squire|Malla de Gondor con capa
itm_gon_knight|Malla pesada de Gondor con capa
itm_gon_ranger_cloak|Capa de Montaraz de Gondor
itm_gon_ranger_skirt|Faldón de Montaraz de Gondor
itm_gon_steward_guard|Armadura de Guardia del Senescal de Gondor
itm_gon_tower_guard|Armadura de Guardia de la Torre de Gondor
itm_gon_tower_knight|Armadura de Caballero de la Torre de Gondor
itm_gon_leader_surcoat_cloak|Sobrevesta de Capitán de Gondor
itm_gondor_ranger_hood|Capucha verde
itm_gondor_ranger_hood_mask|Capucha de Montaraz de Gondor
itm_gondor_light_greaves|Grebas de cuero de Gondor
itm_gondor_med_greaves|Grebas medias de Gondor
itm_gondor_heavy_greaves|Grebas reforzadas de Gondor
itm_gondor_auxila_helm|Yelmo ligero de Gondor
