p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath Oeste
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Cuernavilla
p_town_east_emnet|Estemnet
p_town_westfold|el Folde Oeste
p_town_west_emnet|Oestemnet
p_town_eastfold|el Folde Este
p_town_morannon|La Puerta Negra
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Campamento de Rastreo Orco
p_town_east_osgiliath|Osgiliath Este
p_town_orc_sentry_camp|Campamento de Vigilancia Orco
p_town_isengard|Isengard
p_town_urukhai_outpost|Avanzada Uruk-Hai
p_town_urukhai_h_camp|Campamento de Caza Uruk-Hai
p_town_urukhai_r_camp|Campamento Uruk-Hai del río
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Salones de Thranduil
p_town_woodelf_camp|Campamento de los Elfos del Bosque
p_town_woodelf_west_camp|Campamento Oeste de los Elfos del Bosque
p_town_woodsmen_village|Pueblo de los Hombres del Bosque
p_town_beorning_village|Pueblo Beórnida
p_town_beorn_house|Casa de Beorn
p_town_moria|las Puertas de Moria
p_town_troll_cave|Cueva Troll
p_town_dale|Valle
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Campamento Dunlendino
p_town_harad_camp|Campamento Haradrim
p_town_khand_camp|Campamento de Khand
p_town_umbar_camp|Campamento Corsario
p_town_imladris_camp|Campamento de Rivendel
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Avanzada Norte de Dol Guldur
p_town_rhun_main_camp|Campamento Principal de Rhûn
p_town_rhun_south_camp|Avanzada Meridional de Rhûn
p_town_rhun_north_camp|Avanzada Septentrional de Rhûn
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Avanzada Noreste de Gundabad
p_town_gundabad_nw_outpost|Avanzada Noroeste de Gundabad
p_town_goblin_north_outpost|Avanzada Norte de los Trasgos
p_town_goblin_south_outpost|Avanzada Sur de los Trasgos
p_town_gundabad_m_outpost|Avanzada de Gundabad en el Bosque Negro
p_town_erebor|Erebor
p_town_ironhill_camp|Cantera de las Colinas de Hierro
p_advcamp_gondor|Campamento Avanzado de Gondor
p_advcamp_rohan|Campamento avanzado Rohirrim
p_advcamp_isengard|Campamento Avanzado de Isengard
p_advcamp_mordor|Campamento Avanzado de Mordor
p_advcamp_harad|Campamento Avanzado Haradrim
p_advcamp_rhun|Campamento Avanzado de Rhûn
p_advcamp_khand|Campamento Avanzado de Khand
p_advcamp_umbar|CAmpamento Avanzado de Umbar
p_advcamp_lorien|Campamento Avanzado de Lórien
p_advcamp_imladris|Campamento Avanzado de Imladris
p_advcamp_woodelf|Campamento Avanzado del Bosque Negro
p_advcamp_moria|Campamento avanzado de Moria
p_advcamp_guldur|Campamento Avanzado de Dol Guldur
p_advcamp_gundabad|Campamento Avanzado de Gundabad
p_advcamp_dale|Campamento Avanzado de Valle
p_advcamp_dwarf|Campamento Avanzado de Erebor
p_advcamp_dunland|Campamento Avanzado Dunledino
p_advcamp_beorn|Campamento Avanzado Beórnida
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Mano de Isengard
p_mount_doom|Monte del Destino
p_town_barad_dur|Barad Dûr
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Cauce de Plata
p_old_ford|Antiguo vado
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entaguas
p_ford_rohan2|Entaguas
p_ford_fangorn|Entaguas
p_ford_fangorn2|Limclaro
p_ford_moria|Cauce de Plata
p_ancient_ruins|Ruinas Antiguas
