skinkey_chin_size|Tamaño mentón
skinkey_chin_shape|Forma mentón
skinkey_chin_forward|Saliente mentón
skinkey_jaw_width|Anchura mandíbula
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|Labio inferior
skinkey_upper_lip|Labio superior
skinkey_mouth_nose_distance|Distancia boca-nariz
skinkey_mouth_width|Ancho boca
skinkey_nostril_size|Tamaño orificios nasales
skinkey_nose_height|Alto nariz
skinkey_nose_width|Ancho nariz
skinkey_nose_size|Tamaño nariz
skinkey_nose_shape|Forma nariz
skinkey_nose_bridge|Puente nariz

skinkey_eye_width|Ancho ojos
skinkey_eye_to_eye_dist|Dist. entre ojos
skinkey_eye_shape|Forma Ojos
skinkey_eye_depth|Profundidad ojos
skinkey_eyelids|Párpados
skinkey_cheeks|Mejillas
skinkey_cheek_bones|Pómulos
skinkey_eyebrow_height|Altura cejas

skinkey_eyebrow_shape|Forma cejas
skinkey_temple_width|Ancho sien
skinkey_face_depth|Profundidad cara
skinkey_face_ratio|Proporción cara
skinkey_face_width|Ancho cara
skinkey_post_edit|Post-edición
skinkey_jaw_position|Posición nandíbula
skinkey_eyebrow_position|Posición cejas
skinkey_eyebrow_depth|Profundidad cejas
skinkey_snout_height|Altura hocico
skinkey_snout_width|Ancho hocico
skinkey_snout_size|Tamaño hocico
skinkey_snout_shape|Forma hocico
skinkey_weight|Peso
skinkey_mouth_shape|Forma boca
skinkey_eye_size|Tamaño ojos
skinkey_eye_slant|Inclinación ojos
skinkey_frawn|Entrecejo
skinkey_mouth_vert_pos|Posición boca
skinkey_mouth_to_nose_dist|Dist. boca-nariz
skinkey_chin_width|Ancho mentón
