ui_texture_detail|Detalle de textura:
ui_max_frame_rate|FPS Máximos
ui_enable_bumpmap|Utilizar Bump Mapping
ui_disable_blood|Ocultar sangre
ui_disable_music|Desactivar música
ui_disable_sound|Desactivar sonido
ui_enable_cheats|Permitir trucos
ui_enable_edit_mode|Permitir Modo Editor (Aviso, esto ralentiza el juego)
ui_enable_pixel_shaders|Utilizar Píxel Shaders
ui_enable_sound_variation|Permitir Variaciones de Sonido
ui_enable_vertex_shaders|Método de Renderización:
ui_shadow_quality|Calidad de Sombras
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Mostrar FPS
ui_start_windowed|Comenzar en Modo Ventana
ui_trialmode_caption|Activación
ui_trialmode|Por favor, activa Mount&&Blade introduciendo el código. Tu código único de, 16 dígitos está incluido dentro de la caja del juego.\nSi no quieres activar el juego en estos momentos, puedes jugar en modo de prueba, aunque no podrás avanzar más allá de nivel 8.
ui_launch_buy|Comprar una licencia en TaleWorlds.com
ui_launch_faq|FAQ de las Ventas Online
ui_trialmode2|Para activar el juego ahora...
ui_trialmode3|O también puedes...
ui_trialmode4|Si tienes preguntas sobre el proceso de activación, puedes leer...
ui_serial_key_caption|Número de Serie
ui_notification_serial_input|Introducir tu número de serie debajo (puedes copiarlo y pegarlo) y hacer click en el botón Activar
ui_activate|Activar
ui_paste|Pegar
ui_notification_serial_internet_connection|¡La activación requiere conexión a Internet!
ui_notification_serial_offline|Si este ordenador no tiene acceso a Internet, también puedes usar:
ui_manual_activation|Activación manual
ui_manual_activation_caption|Activación manual
ui_cancel2|Cancelar
ui_ok2|OK
ui_activation_successful|¡Mount&&Blade activado con éxito!
ui_activation_successful2|Por favor, guarda tu número de serie para referencia futura. Puede que lo vuelvas a necesitar si quieres instalar Mount&Blade en un nuevo ordenador.
ui_activation_denied|¡Activación denegada!
ui_notification_serial_already_used|Este número de serie ya se está utilizando en otro ordenador. Tendrás que esperar unas semanas antes de reactivarlo en este ordenador.
ui_notification_unable_to_connect_to_activation_server|¡Imposible conectar con el servidor de activación!
ui_notification_unable_to_connect_to_activation_server2|Por favor, confirma que tu conexión a Internet está activa y funciona correctamente, e inténtalo de nuevo. Si estás utilizando un cortafuegos, deberás dar permiso al juego para acceder a internet. Si falla, siempre puedes utilizar la activación manual.
ui_incorrect_serial_number|¡Número de serie incorrecto!
ui_incorrect_hardware_hash|¡Hardware Hash incorrecto!
ui_incorrect_activation_code|¡Código de activación incorrecto!
ui_cant_write_to_registry|¡No se puede modificar el registro!
ui_video|Vídeo
ui_audio|Audio
ui_game|Juego
ui_advanced|Avanzado
ui_mount_and_blade_is_ready|Mount&&Blade está preparado.
ui_notification_trial_mode|Mount&&Blade se encuentra actualmente en versión de prueba. En esta versión puedes jugar libremente hasta que tu personaje llegue al nivel 6. Para continuar, por favor adquiere una licencia en TaleWorlds.com. Comprar una licencia online es muy rápido y con ello desbloqueas el resto del juego.
ui_there_are_no_modules_installed|There are no modules installed!
ui_notification_new_version|Se ha encontrado una versión nueva de Mount&Blade.\nLa versión instalada actualmente es %d.%d%d%d.\nLa última versión de Mount&Blade es %d.%d%d%d.\nPuedes descargar la última versión de www.taleworlds.com.
ui_new_version_found|¡Se ha encontrado una versión nueva!
ui_notification_unable_to_retreive_new_version|Imposible recuperar la información de la nueva versión. Por favor, inténtalo más tarde.
ui_new_version|Nueva Versión:
ui_notification_latest_version|La Versión instalada de Mount&Blade es la última disponible.
ui_mount_and_blade_is_up_to_date|¡Mount&Blade ya está actualizado!
ui_off|Off
ui_continue_playing_the_trial_mode|Continuar jugando en modo prueba.
ui_faq_caption|FAQ
