menu_start_game_1|^^^^^^^^^Minkä puolesta taistelet?
mno_start_good|uuden aikakauden KOITE
mno_start_evil|ihmisen HÄMÄRÄ
mno_faction_intros|Opi eri Keski-Maan ryhmistä
mno_go_bback|Mene takaisin
menu_start_phase_2|^^^^^ Keski-Maa. Varjo kasvaa idässä^ ja esiin tulevat pimeät asiat, jotka ovat pitkän aikaa olleet piilossa. ^ Vapaat ihmiset valmistautuvat sotaan, jonka kaltaista ei olla nähty sukupolveen. ^ Ihmiset, haltiat, kääpiöt ja örkit; kaikki haluavat esittää heidän osaansa. ^^ Mitä osaa, kuitenkin jää nähtäväksi...
mno_go_forth|Mene eteenpäin valitsemaasi polkua...
mno_change_tld_options|Vaihda TLD asetuksia.
menu_start_game_3|^^^^^^^^^Valitse sinun käsikirjoitus:
mno_custom_battle_scenario_1|Yhteenotto, Gondorin ryhmittymä vs Harad
mno_custom_battle_scenario_12|Valitse ryhmittymät taisteluun
mno_custom_battle_scenario_3|Yhteenotto, haltiat vs mustat Númenórilaiset
mno_custom_battle_scenario_4|Helmin syvänteen puolustus, Rohan vs Isengard
mno_custom_battle_scenario_5|Yhteenotto, pohjoisen ryhmittymät vs Rhûn
mno_custom_battle_scenario_6|Piirityshyökkäys, örkit vs kääpiöt
mno_custom_battle_scenario_7|Väijytys, örkit vastaan Mirkwood
mno_custom_battle_scenario_8|Durinin väen viimeinen asema
mno_custom_battle_scenario_88|Jahtaa örkkitiedustelijaseuruetta
mno_custom_battle_scenario_11|Testitaistelut (Säädön tasapainottamista)
mno_custom_battle_scenario_10|Maisemien testitaistelu
mno_troll_battle_scenario|Testi peikkotaistelut
mno_warg_battle_scenario|Testi villisusitaistelut
mno_build_your_own_scene|** Rakenna oma taistelupaikkasi TLD:tä varten **
mno_go_back|Mene takaisin
menu_tutorial|^^ Tervetuloa taistelualkuoppaaseen Mount & Bladessa. Tässä opit perusteet taistelemisesta ja hiukan joukkojen komentamisesta taistelun aikana.
mno_tutorial_1|Alkukurssi #1: Perusliike ja aseen valitsiminen. {s1}
