hint_1|Valkoisen käden ei pitäisi luottaa paljaaseen silmään niin paljoa, eikä toisin päinkään.
; hint_2|Whom you are battling against, who you are helping, and where a battle takes place determine which allied kingdom notice and maybe appreciate your efforts.
hint_3|Tiedustelijat ovat informaation lähde valtakunnalle, kuten myös vangit jotka on vedetty vankityrmiinsä kidutettaviksi ja kuulusteltaviksi. Vankien vapauttaminen ja tiedustelijoiden tappaminen saattaa sokaista vihollisen.
; hint_4|Remember that you have a different value of Resource Points within each Kingdom, which entitle you to get resupplied with equipment and troops within that Kingdom.
; hint_5|The military collapse of a kingdom is irreversible. Mordor can never suffer such a fate, but the war will be over if its military power is contained and all its allied are defeated.
hint_6|Vaatii kylmähermoisuutta (INT) olla panikoimatta Nazgulin ilmaantuessa. Vaatii täydellistä hevosen kontrollointikykyä, jotta hevonen ei panikoisi.
hint_7|Voit levätä ollessasi maailman kartalla pitämällä pohjassa spacebaria. Haavoittuneet miehistön jäsenet kuitenkin paranevat nopeammin lepäämällä kaupungeissa.
; hint_8|To quickly claim and give items away in inventory window, hold down control key while you left click.
; hint_9|You can leave any location instantly by pressing the tab key, and press Backspace key during battle to bring the command interface.
hint_10|Eläimet saattavat panikoida, jos lähistöllä on peikkoja tai olog-haita. Ole varovainen!
; hint_11|Manpower represents a crucial resource of a kingdom: taking and keeping troops under your command will consume Resource Points of the respective faction.
hint_12|Voit käskyttää miehiäsi taistelun aikana. Kaukana olevia vihollisia tähdätessäsi voit zoomata pitämällä shift-näppäintä pohjassa.
