skinkey_chin_size|Leuan koko
skinkey_chin_shape|Leuan muoto
skinkey_chin_forward|Leuan eteenpäin suuntautuneisuus
skinkey_jaw_width|Leuan leveys
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|Alempi huuli
skinkey_upper_lip|Ylempi huuli
skinkey_mouth_nose_distance|Suun ja nenän välinen matka
skinkey_mouth_width|Suun leveys
skinkey_nostril_size|Sierain koko
skinkey_nose_height|Nenän korkeus
skinkey_nose_width|Nenän leveys
skinkey_nose_size|Nenän koko
skinkey_nose_shape|Nenän muoto
skinkey_nose_bridge|Nenäsilta

skinkey_eye_width|Silmän leveys
skinkey_eye_to_eye_dist|Silmien kaukaisuus toisistaan
skinkey_eye_shape|Silmien muoto
skinkey_eye_depth|Silmien syvyys
skinkey_eyelids|Silmäluomet
skinkey_cheeks|Posket
skinkey_cheek_bones|Poskiluut
skinkey_eyebrow_height|Kulmakarvojen korkeus

skinkey_eyebrow_shape|Kulmakarvojen muoto
skinkey_temple_width|Ohimon leveys
skinkey_face_depth|Naaman syvyys
skinkey_face_ratio|Kasvojen suhde
skinkey_face_width|Naaman leveys
skinkey_post_edit|Jälkeenpäinmuokkaus
skinkey_jaw_position|Leukaperän asento
skinkey_eyebrow_position|Kulmakarvojen asento
skinkey_eyebrow_depth|Kulmakarvojen syvyys
skinkey_snout_height|Kuonon korkeus
skinkey_snout_width|Kuonon leveys
skinkey_snout_size|Kuonon koko
skinkey_snout_shape|Kuonon muoto
skinkey_weight|Paino
skinkey_mouth_shape|Suun muoto
skinkey_eye_size|Silmän koko
skinkey_eye_slant|Silmän vinous
skinkey_frawn|Kulmien rypistys
skinkey_mouth_vert_pos|Suun korkeussijainti
skinkey_mouth_to_nose_dist|Suun ja nenän välinen matka
skinkey_chin_width|Alaleuan leveys
