ui_at_learning_limit|(oppimisraja tälle rodulle)
ui_not_enough_skill_points_to_learn|(ei tarpeeksi taitopisteitä oppiaksesi)
ui_not_enough_attributetype_to_learn_this_skill|(ei tarpeeksi %s tämän taidon oppimiseen)
ui_explanation_agility|Liikkuminen: Jokainen piste antaa viisi asepistettä ja parantaa aseen nopeutta 0.5%. Seuraavat taidot eivät voi kehittyä enemmän kuin 1/3 Liikkumispistettä: Asemestari, Kilpi, Urheilu, Jousiammunta ratsailta ja Ryöstely.
ui_retreated_battle|%s on ajettu pakoon.
ui_riding_skill_not_adequate_to_mount|(Ratsastus-taito liian alhainen)
ui_camp|Toimet
ui_tutorial_inventory|The Last Days-modissa tarvitset resurssipisteitä saadaksesi varusteita. Resurssipisteet mittaavat miten haluava ryhmä on pitää sinut varusteltuna ja miten paljon ryhmän resursseja olet oikeutettu käyttämään.
ui_you_dont_have_value|Ei omista: %s
ui_merchant_cant_afford_value|%s: Annat meille enemmän kuin tarvitsemme! Ehkä voisit pitää enemmän itselläsi (olet antamassa tavaroita %s, tarvitsemme vain %s).
ui_merchant_pay_whatever|En tarvitse mitään noista, pidä ne.
ui_horse|Ratsaille
ui_reclaim_your_sold_goods|Lunasta tavarat, jotka annoit ennen tämän antamista!
ui_return_your_bought_goods|Palauta tavarat, jotka otit ennen tämän ottamista!
ui_return_price|jos palaantuu: + %d Res.P.
ui_sell_price|jos annettuna: %dRes.P.
ui_reclaim_price|uudelleenvaltaukseen: -%d Res.P.
ui_buying_price|valtaukseen: -%d Res.P.
ui_notification_riding_skill_not_enough|Ratsastustaitosi ei ole tarpeeksi korkea ratsastaaksesi tällä.
ui_notification_payment_value|Kuluttaa %s
ui_notification_payment_receive_value|Saa %s
ui_weekly_cost_value|Ylläpito: %s
ui_sell|Anna
ui_hire|Värvätä
ui_notification_cant_hire|(ei tarpeeksi R.P. värvätäksesi)
ui_joining_cost_weekly_wage|Värvää: %dRes.Pst. -- Ylläpito: %d Res.Pst.
ui_weekly_wage|Ylläpito: %dRes.P.
ui_price|Arvo: %dRes.P.
ui_cant_reload_this_weapon_on_horseback|Ei voi ladata asetta ratsastaessa.
ui_delivered_number_damage_to_horse|Annettu %d vahinkoa osuttuun ratsuun.
ui_horse_charged_for_number_damage|Ratsu ryntäsi %dvahingon arvosta
ui_horse_received_number_damage|Ratsu sai %d vahinkoa
ui_horse_fell_dead|Ratsu kaatui kuolleena
ui_horse_crippled|Ratsu rampa...
ui_you_got_value|%s ansaittu.
ui_has_deserted_the_party|on jättänyt seurueen.
ui_have_deserted_the_party|ovat jättäneet seurueen.
ui_loading_textures|Ladataan tekstuureja (ole kärsivällinen)...
ui_order_hold_fire_toggle|Älä ammu/Ammu oman mielen mukaan (vaihtaminen)
ui_order_dismount_toggle|käske nousta ratsaille/jalkautua ratsulta (vaihtaminen)
ui_mount_horses_e_|%s, nouse ratsaille!
ui_hold_fire_e_|%s, älkää ampuko!
ui_fire_at_will_e_|%s, ampukaa oman mielen mukaan!
ui_recent_messages|Viimeiset viestit
ui_value_denars|%d resurssipisteitä
ui_cannot_be_used_on_horseback|Ei voi käyttää ratsastaessa
ui_upgrade_to_value|Päivitä %s
ui_notification_cant_upgrade|(Ei voi päivittää antaessa joukkoja)
ui_lance_control|Peitsikontrollit:
ui_manual_easy|Käsikirja (helppo)
ui_manual_hard|Käsikirja (vaikea)
ui_campaign_ai|Kampanja-AI (ei käytössä):
ui_crouch|Polvistu (ei käytössä)
