dlga_start:mutiny_pretalk_1|Hé, {playername}, faut qu'on vous le dise... ^Les gars sont mécontents ! On veut plus d'amusement et moins de marches forcées.
dlga_mutiny_pretalk_1:mutiny_pretalk_2|Retourne dans le rang, vermine ! Nous sommes en guerre et c'est moi qui commande !
dlga_mutiny_pretalk_2:close_window|Comme vous voulez, commandant. Comme vous voulez...
dlga_start:mutiny_talk_1|Hé, commandant. Vous savez quoi.... Les hommes ne sont pas contents, pas contents du tout. ^Pas assez de chair humaine, pas assez d'amusement. ^Les hommes disent que vous n'êtes pas assez bon, commandant !
dlga_mutiny_talk_1:mutiny_talk_2|Quoi ? Une mutinerie en temps de guerre ? ^C'est puni de mort, microbe !
dlga_mutiny_talk_2:close_window|Vous savez quoi... ^Les gars pensent que je serai un meilleur commandant pour eux quand je vous aurai tué{/e} !
dlga_start:troll_introduce_1|Problème ?
dlga_start:troll_talk_1|Vous colère ?
dlga_troll_introduce_1:troll_goodbye|Ouah ! Un troll qui parle ?
dlga_troll_introduce_1:close_window|Je possède un cheval.
dlga_troll_talk_1:troll_talk_2|Trolle-moi, troll.
dlga_troll_talk_1:close_window|Je possède un cheval.
dlga_troll_talk_2:troll_talk_3|Défi accepté !^^{s4}
dlga_troll_beaten:troll_talk_1|Je m'incline devant votre sagesse, Maître des trolls !
dlga_troll_goodbye:close_window|TROLLOLOLOLOLOLOLOLOLOL !
dlga_start:hobbit_merry_talk_met|Re-bonjour {playername}.
dlga_start:hobbit_pippin_talk_met|Re-bonjour {playername} !
dlga_start:hobbit_general_talk_1|Bonjour, {monsieur/madame} ! Mon nom est Meriadoc Brandibouc, mais vous pouvez m'appeler Merry !
dlga_start:hobbit_general_talk_1.1|Bonjour, {monsieur/madame} ! Mon nom est Peregrin Touque, mais vous pouvez m'appeler Pippin !
dlga_hobbit_general_talk_1:close_window|Je n'ai pas le temps pour le moment.
dlga_hobbit_general_talk_1:hobbit_general_talk_first_met|Je pense n'avoir jamais rencontré quelqu'un dans votre genre.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met|Il me semble avoir rencontré une personne comme vous à Edoras.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met.1|Il me semble avoir rencontré une personne comme vous a Minas Tirith.
dlga_hobbit_general_talk_first_met:hobbit_general_talk_3|Je sais. Je vient de loin ! Je suis un hobbit, {monsieur/madame}, du Comté.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask|Oh, ce devait être mon cher cousin ! Peregrin Touque, ou Pippin, pour les intimes. Nous sommes des hobbits, {monsieur/madame}, et nous venons tous deux du Comté ! Ce bon vieux Pippin, je me demande comment il va à Minas Tirith.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask.1|Oh, ce devait être mon cher cousin ! Meriadoc Brandibouc, ou Merry comme on l'appelle. Nous sommes des hobbits, {monsieur/madame}, et nous venons tous deux du Comté ! Ce bon vieux Merry, je me demande ce qu'il fait à Edoras.
dlga_hobbit_general_talk_ask:hobbit_general_talk_ask_1|Puis je vous demander une faveur, {monseigneur/madame}.
dlga_hobbit_general_talk_ask_1:hobbit_general_talk_ask_2|Bien sûr, {s1}. De quoi s'agit-il ?
dlga_hobbit_general_talk_ask_2:hobbit_general_talk_ask_3|Pourriez vous transmettre un message à mon cousin, {s1} ? Il est dans {s2} à {s3}, au service de {s4}.
dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_accept|Je compte passer par {s1}, je serai heureux de transmettre ce message à votre cousin.
dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_reject|Je suis désolé{/e}, {s1}, mais je n'ai pas le temps.
dlga_hobbit_general_talk_ask_accept:close_window|Merci ! {s1}
dlga_hobbit_general_talk_ask_reject:hobbit_general_talk_3|Je comprends. Je le ferais parvenir à {s1} par la prochaine caravane dans ce cas.
dlga_hobbit_general_talk_3:close_window|Eh bien... Je vais y aller maintenant.
dlga_start:hobbit_merry_talk_met.1|Bon retour parmi nous, {playername} !
dlga_start:hobbit_pippin_talk_met.1|Bon retour parmi nous, {playername} !
dlga_hobbit_merry_talk_met:hobbit_deliver_message|Bonjour messire Merry. J'ai un message à vous transmettre de la part de votre cousin Pippin, à Minas Tirith.
dlga_hobbit_pippin_talk_met:hobbit_deliver_message|Bonjour messire Pippin. J'ai un message à vous transmettre de la part de votre cousin Merry, à Edoras.
dlga_hobbit_deliver_message:close_window|Merci {playername}, c'est aimable de votre part de m'avoir apporté ceci.
dlga_hobbit_merry_talk_met:close_window|Bonjour, messire Merry.
dlga_hobbit_pippin_talk_met:close_window|Bonjour, messire Pippin.
dlga_start:hd_defense_01|C'est bien que vous soyez ici, {playername}. Je m'appelle Aragorn, fils d'Arathorn, et je suis un Héritier d'Isildur. Voici Anduril, la Flamme de l'Ouest, que je porte au combat. L’Épée qui fut Brisée brille à nouveau ! Les forces de Saruman ne tarderont pas à atteindre ces murs. Je vous demande maintenant de me prêter main forte et de défendre les Rohirrim, pour l'honneur du Seigneur de la Marque. Que ce soit l'heure où nous tirons l'épée ensemble !
