menu_start_game_1|^^^^^^^^^^Pour quoi vous battez-vous ?
mno_start_good|L'AUBE d'une nouvelle ère
mno_start_evil|Le CRÉPUSCULE des hommes
mno_faction_intros|En apprendre plus à propos des différentes factions de la Terre du Milieu
mno_go_bback|Retour
menu_start_phase_2|^^^^^La Terre du Milieu.^Une Ombre grandit à l'est et d'obscures créatures surgissent de l'ombre où elles furent tapies jadis.^Les peuples libres se préparent à la guerre, une guerre comme nul n'en a vue depuis l'Âge précédent.^Les hommes, les elfes, les nains et les orques, tous joueront leur rôle.^^Lequel, cependant ? Le temps nous le dira...
mno_go_forth|Continuer sur la voie que vous avez choisie...
mno_change_tld_options|Changer les options de TLD.
menu_start_game_3|^^^^^^^^Choisissez votre scénario :
mno_custom_battle_scenario_1|Embuscade, Gondor contre Harad
mno_custom_battle_scenario_12|Choisissez les factions pour la bataille
mno_custom_battle_scenario_3|Embuscade, Elfes contre Númenóréens noirs
mno_custom_battle_scenario_4|Défense de la Gorge de Helm, Rohan contre Isengard
mno_custom_battle_scenario_5|Embuscade : factions du Nord contre Rhûn
mno_custom_battle_scenario_6|Attaque de siège, orques contre nains
mno_custom_battle_scenario_7|Embuscade, Orques contre Grand'Peur
mno_custom_battle_scenario_8|Le dernier combat du peuple de Durin
mno_custom_battle_scenario_88|Pourchasser un groupe d'éclaireurs orques
mno_custom_battle_scenario_11|Batailles de test (équilibrage)
mno_custom_battle_scenario_10|Bataille de test de scène
mno_troll_battle_scenario|Test de batailles de trolls
mno_warg_battle_scenario|Test de batailles de wargs
mno_build_your_own_scene|** Construisez votre propre scène pour TLD **
mno_go_back|Retour
menu_tutorial|^^Bienvenue dans le tutoriel de combat. Ici vous apprendrez les bases du combat ainsi qu'un aperçu du commandement des troupes sur le champ de bataille.
mno_tutorial_1|Tutoriel #1 : Mouvements basiques et sélection d'arme. {s1}
mno_tutorial_2|Tutoriel #2 : Combattre avec bouclier. {s2}
mno_tutorial_3|Tutoriel #3 : Combattre sans bouclier. {s3}
mno_tutorial_3b_door|niveau suivant
mno_tutorial_4|Tutoriel #4 : Chevaucher un cheval ou un warg. {s4}
mno_tutorial_5|Tutoriel #5 : Commander un groupe de soldats. {s5}
mno_go_back_dot|Retour.
mno_action_view_troop_trees|Voir l'arbre des troupes.
mno_view_upkeep_costs|Voir les coûts d'entretien.
mno_view_character_report|Voir les détails du personnage.
mno_view_party_size_report|Voir le rapport sur la taille du groupe.
mno_view_morale_report|Voir le rapport sur le moral des troupes.
mno_view_character_report_02|Voir le statut des compagnons.
mno_view_faction_strengths_report|Voir le rapport de force des factions.
mno_view_traits_report|Voir les traits de caractère.
mno_resume_travelling|Reprendre le voyage.
mno_custom_battle_go|Commencer.
mno_leave_custom_battle_2|Annuler.
menu_custom_battle_end|^^^^^^La bataille est terminée. {s1} Votre camp a tué {reg5} ennemis et perdu {reg6} soldats dans les combats.^Vous avez personnellement tué {reg7} opposants durant la bataille.
mno_replay|Jouer à nouveau cette bataille.
mno_continue_dot|Continuer.
menu_custom_battle_durin_end|^^^^^^C'était un dernier combat admirable, mais finalement voué à l'échec.^^ Vous et vos compagnons avez défait {reg5} ennemis.^Vous avez personnellement vaincu {reg7} adversaires au combat.
mno_replay_cbd|Jouer à nouveau cette bataille.
mno_continue_dot_cbd|Continuer.
mno_dot_go_back|. Retour
menu_start_good|^^^^^^^^^^Choisissez votre race :
mno_start_ma|HOMME
mno_start_el|ELFE
mno_start_dw|NAIN
menu_start_evil|^^^^^^^^^^Qui sera votre maître ?
mno_start_eye|SAURON du Mordor, le Seigneur des anneaux
mno_start_hand|SARUMAN d'Isengard, la Main Blanche
menu_start_eye|^^^^^^^^^Votre Maître est l'Oeil sans paupière^Choisissez votre race
mno_start_or|Un Orque, servant l'Oeil sans paupière
mno_start_ur|Un Uruk, la nouvelle race des orques
mno_start_em|Un Homme, corrompu par Sauron
menu_start_hand|^^^^^^^^^Votre Maître est la Main blanche^Choisissez votre race
mno_start_whor|Un orque, servant la Main Blanche
mno_start_isur|Un des Uruk-Hai, élevé en Isengard
mno_start_duma|Un homme de la Dunlande, les plaines de l'ouest
menu_start_good_man|^^^^^^^^^^Sélectionnez votre peuple :
