ip_battle_formations|Formations de combat : FormAI de TLD
ip_battle_formations_text|Vos troupes se positionneront et tiendront la position au début de chaque bataille au lieu de charger à l'aveuglette. Seules les factions majeures (18) utilisent des formations (plus les déserteurs), les bandits chargent simplement. Il y a une légère différence entre les factions du Bien et du Mal. L'infanterie du Bien formera des murs de boucliers (d'habitude avec les unités défensives avec boucliers à l'avant, mais elle peut former des phalanges si vous avez des piquiers), alors que l'infanterie du Mal formera des lignes avec ses meilleures troupes à l'avant. Les formations ne fonctionnent que dans les batailles ouvertes (c'est à dire pas en batailles personnalisées, ni en siège).^^À partir du moment où vous ordonnez une formation ou de tenir la position, les troupes se déploieront à proximité de la position du joueur au moment où l'ordre a été donné : infanterie à gauche, cavalerie à droite, archers devant. Les troupes du joueur commencent chaque bataille en formation.  À moins d'être modifiés par le joueur, les raccourcis de formations sont « J » pour la ligne, « K » pour des lignes basés sur l'armement (mur de bouclier, phalange), « L » pour la pointe de flèche (le joueur devrait assigner le L pour Log à une autre clé), « ; » pour le carré et « U » pour aucune formation (briser la formation).^^La commande de « ligne » pour les archers les déploie en ligne décalée. La cavalerie ne prendra d'autre formation que la pointe.^^L'ordre « chargez » et « démontez » pour la cavalerie brisera la formation. Le joueur pourra utiliser l'ordre « Avancez » plusieurs fois pour faire avancer une formation vers la position de l'ennemi. Vous pouvez aussi utiliser le panneau de commande ou maintenir F1 pour les placer (ou les envoyer au milieu des ennemis pour la pointe de cavalerie).^^Si vous avez des problèmes avec les formations, vous pouvez revenir à l'IA de Native.
ip_battle_formations_newformai|Formations de combat : NewFormAI
ip_battle_formations_newformai_text|NewFormAI vous permet d'accéder aux formations à partir du menu des ordres, et d'ordonner à vos formations d'attaquer des formations ennemies spécifiques via la commande "tenir là" (F1). mais ce n'est pas totalement testé.^^Utilisez les chiffres du clavier pour sélectionner une division et appuyez sur 0 pour sélectionner l'ensemble de vos forces.^^Utilisez F1 à F4 pour ordonner les divisions sélectionnées. Maintenez la touche F1 enfoncée pour placer les divisions sélectionnées. Vous pouvez cibler une division ennemie grâce à ce mécanisme.^^Les formations complexes du menu de bataille sont les suivantes:^- EN RANGS avec les meilleures troupes à l'avant^- MUR DE BOUCLIERS, des rangs avec des boucliers à l'avant et des armes plus longues à l'arrière^- POINTE avec les meilleures troupes à l'avant^- CARRE sans ordre particulier^- PAS DE FORMATION^Même dans le dernier cas, le joueur peut créer des formations allant jusqu'à quatre lignes en ordonnant Restez proches suffisamment de fois. ^^Lorsque UNE division est sélectionnée, le centre de son premier rang est placé à l'endroit indiqué.^^Lorsque PLUSIEURS divisions sont sélectionnées, elles sont séparées et étalées comme si le joueur se tenait à l'endroit indiqué.^^On peut mémoriser le placement des divisions sélectionnées par rapport au joueur en appuyant sur F2, F7. Par défaut, l'infanterie est placée à gauche, la cavalerie à droite et les troupes à distance à l'avant. Le placement est annulé pour toute division que le joueur choisit de diriger personnellement par le biais du menu Options de formation.^^Si l'option de jeu du menu Camp est activée, les divisions pivoteront pour faire face à l'ennemi. Sinon, elles conserveront l'orientation que le joueur avait lorsqu'elles ont été placées.
ip_battle_morale|Moral de bataille (Cohérence)
ip_battle_morale_text|Le moral de bataille est appelé cohérence par souci de différenciation avec le moral de votre groupe sur la carte principale. Cependant, le moral du groupe affecte également la cohérence de votre groupe au combat. Il en va de même pour votre compétence de commandement et celle de vos compagnons, le nombre de capitaines et de porte-bannières sur le champ de bataille, le niveau moyen de votre groupe et le rapport numérique entre les deux camps. Les effets du champ de bataille, comme les brumes magiques ou certains événements, peuvent également affecter la cohérence.^^Plus votre camp subit de pertes, plus son moral s'effrite. Si votre cohérence est faible, vos troupes risquent de fuir la bataille, ce qui peut entraîner une déroute massive ! Vous pouvez soutenir vos troupes de deux façons :^^1. En tuant des ennemis. Si vous vous débrouillez bien, vous impressionnez vos hommes et ils se battent plus fort et ne s'enfuient pas. Tuer les héros ennemis, les porte-bannières ou les troupes de haut niveau nuira également à leur cohérence.^^2. Les rallier. Appuyez sur "V" pour encourager vos troupes et augmenter votre cohérence. Vous avez également la possibilité de rallier des troupes qui sont déjà en train de fuir. Le nombre de ralliements par bataille est limité ! La quantité, la force et la portée de votre ralliement sont affectées par votre Charisme et votre Commandement. Votre ralliement est soutenu par vos compagnons (s'ils ont la compétence de commandement) et vos capitaines.^^Il peut être très avantageux de vaincre le commandant ennemi, car cela prive les ennemis de leur chef, ils ne peuvent pas être ralliés.
ip_economy|Points de ressources, Rang, Influence
ip_economy_text|Il n'y a pas d'argent dans TLD. À la place, vous développez des relations avec les factions, représentées par les Ressources, l'Influence et le Rang.^^Les ressources représentent ce qui est nécessaire pour soutenir les factions en guerre ; vous pouvez échanger les débris et les objets pillés en échange de points de ressources. Il vous est également alloué chaque semaine un certain nombre de ces points en fonction de votre rang dans une faction donnée. Vous pouvez les utiliser pour obtenir des soldats, de l'équipement et des chevaux pour vous et vos compagnons, mais seulement si vous en avez suffisamment accumulé. Souvenez-vous qu'il existe des points de ressources, d'influence et de rang séparés pour chaque faction.^^Les points d'influence sont des récompenses de quêtes ou de victoires au combat. Ils peuvent être utilisés pour réclamer des objets spéciaux auprès des chefs de factions ou pour donner des ordres aux autres groupes et héros.^^Les points de rang vous permettent de progresser dans les rangs de la faction. Ceci déterminera la taille de votre groupe, vos ressources hebdomadaires, débloquera des options de commandes et donnera de meilleurs objets disponibles dans les boutiques.^^de plus, gagner des relations avec les colonies (représentées par leur ancien) et des chefs alliés vous amènera certains bénéfices.^^Afin de rester fidèle au légendaire, nous avons désactivé le « travestissement » : un Gondorien ne porterait vraisemblablement jamais une armure d'orque, et vice-versa. Après la plupart des batailles, vous ne trouverez que peu d'objets ou même pas du tout. À la place, vous obtiendrez des débris métalliques qui représentent l'équipement récupérable, et vous pourrez l'échanger avec les forgerons contre des points de ressources.
ip_war_of_the_ring|La Guerre de l'Anneau
ip_war_of_the_ring_text|Au début du jeu, la guerre entre le Bien et le Mal n'a pas encore commencé. Vous recevrez un message lorsqu'elle débutera. (Cela NE DÉPEND PAS du temps passé à jouer, mais du niveau de votre personnage). Alors que la Terre du Milieu peut sembler relativement vide et calme au départ, elle sera remplie de groupes hostiles une fois la guerre éclatée. Préparez-vous et utilisez vos quelques jours de paix avec sagesse ! Vous pouvez accomplir des quêtes pour les seigneurs et les chefs des factions alliées, recruter des troupes et vous entraîner dans les casernes.^^La guerre elle-même peut être gagnée ou perdue, à la différence de Native. Chaque faction a un rapport de force qui évolue suivant ses victoires ou défaites au combat. Si la force d'une faction diminue trop, il devient possible pour ses ennemis d'assiéger ses camps et ses villes. Lorsqu'une faction tombe au statut le plus bas, il est possible de la vaincre complètement en conquérant sa capitale.^^Notez que le joueur ne peut pas lancer de sièges dans TLD. Il ne peut qu'aider sa faction et ses alliés dans les attaques de siège si les dirigeants décident qu'il est temps de conquérir une communauté ennemie. Au rang le plus haut dans votre faction natale, vous pouvez aussi gagner le droit de conduire vous-même un assaut contre une colonie.^^Il existe plusieurs théâtres de guerre géographiques dans TLD. Lorsqu'un camp élimine tous les ennemis dans son théâtre, il enverra une force expéditionnaire pour aider ses alliés dans les autres théâtres. Les forces expédiées construiront un camp avancé dans l'autre théâtre et opéreront depuis cet endroit. Si les factions du Bien sont toutes vaincues mais que le Mordor et l'Isengard demeurent tout deux puissants, les deux tours se combattront l'une l'autre pour la domination totale.
ip_starting_tips|Astuces de démarrage
