itm_horse_meat|Viande de cheval
itm_practice_sword|Épée d'entraînement
itm_arena_lance|Lance
itm_practice_staff|Bâton en bois
itm_practice_bow|Arc d'entraînement
itm_wooden_javelin|Javelot de bois
itm_human_meat|Chair humaine
itm_maggoty_bread|Pain pourri
itm_cram|Ration de cram
itm_lembas|Lembas
itm_smoked_fish|Poisson fumé
itm_dried_meat|Viande séchée
itm_cattle_meat|Bœuf
itm_grain|Blé
itm_tools|Outils
itm_siege_supply|Matériel
itm_quest_wine|Vin
itm_quest_ale|Bière
itm_metal_scraps_bad|Débris de métal de mauvaise qualité
itm_metal_scraps_medium|Débris de métal utilisables
itm_metal_scraps_good|Débris de métal de bonne qualité
itm_oliphant|Oliphant
itm_sumpter_horse|Cheval de bât
itm_saddle_horse|Cheval de selle
itm_steppe_horse|Cheval des steppes
itm_courser|Coursier
itm_hunter|Chasseur
itm_pony|Poney
itm_arnor_warhorse|Cheval de guerre arnorien
itm_dunedain_warhorse|Cheval de guerre dúnadan
itm_rohirrim_courser|Coursier rohirrim
itm_rohirrim_hunter|Chasseur rohirrim
itm_rohirrim_courser2|Coursier rohirrim
itm_rohan_warhorse|Cheval de guerre rohirrim
itm_thengel_warhorse|Cheval de guerre de la garde de Thengel
itm_rhun_horse_a|Cheval de Rhûn
itm_rhun_horse_b|Cheval de Rhûn
itm_rhun_horse_d|Cheval de Rhûn
itm_rhun_horse_e|Cheval lourd de Rhûn
itm_rhun_horse_f|Cheval lourd de Rhûn
itm_rhun_horse_g|Cheval lourd de Rhûn
itm_rhun_horse_h|Cheval lourd de Rhûn
itm_dale_horse|Cheval de Dale
itm_dale_warhorse|Cheval de guerre de Dale
itm_riv_warhorse|Cheval de guerre de Fondcombe
itm_riv_warhorse2|Coursier d'Imladris
itm_mordor_warhorse|Cheval de guerre du Mordor
itm_mordor_warhorse2|Cheval de guerre sinistre du Mordor
itm_gondor_courser|Coursier du Gondor
itm_gondor_hunter|Chasseur du Gondor
itm_dol_amroth_warhorse|Cheval de guerre de Dol Amroth
itm_dol_amroth_warhorse2|Cheval de guerre lourd de Dol Amroth
itm_gondor_warhorse|Cheval de guerre du Gondor
itm_gondor_lam_horse|Cheval en armure du Lamedon
itm_lorien_warhorse|Cheval de guerre de la Lothlórien
itm_harad_horse|Cheval du Harad
itm_harad_warhorse|Cheval de guerre du Harad
itm_variag_pony|Poney variag
itm_variag_kataphrakt|Cheval de guerre oriental
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Warg en armure
itm_wargarmored_1c|Warg en armure
itm_wargarmored_2b|Warg en armure
itm_wargarmored_2c|Warg en armure
itm_wargarmored_3a|Warg en armure
itm_warg_reward|Warg gigantesque
itm_troll_feet_boots|Pieds de Troll
itm_troll_head_helm|Tête de Troll
itm_troll_head_helm_b|Tête de Troll
itm_troll_head_helm_c|Tête de Troll
itm_tree_trunk_club_a|Tronc d'arbre
itm_tree_trunk_club_b|Tronc d'arbre
itm_tree_trunk_invis|Tronc d'arbre
itm_giant_hammer|Marteau géant
itm_giant_mace|Masse d'arme géante
itm_giant_mace_b|Masse d'arme géante à pointes
itm_olog_feet_boots|Pieds d'Olog-hai
itm_olog_head_helm|Tête d'Olog-hai
itm_olog_head_helm_b|Tête d'Olog-hai
itm_olog_head_helm_c|Tête d'Olog-hai
itm_olog_body|Armure d'Olog-hai
itm_olog_body_b|Armure d'Olog-hai
itm_olog_hands|Mains d'Olog-hai
itm_arrows|Flèches
itm_gondor_arrows|Flèches du Gondor
itm_gondor_auxila_arrows|Flèches gondoriennes
itm_khergit_arrows|Flèches acérées
itm_rohan_arrows_2|Flèches rohirrim
itm_harad_arrows|Flèches haradrim
itm_corsair_arrows|Flèches corsaires
itm_ithilien_arrows|Flèches de l'Ithilien
itm_woodelf_arrows|Flèches d'Elfes sylvains
itm_elven_arrows|Flèches elfiques
itm_orc_hook_arrow|Flèches orques barbelées
itm_isengard_arrow|Flèches de l'Isengard
itm_pilgrim_disguise|Déguisement de pèlerin
itm_leather_gloves|Gants en cuir
itm_mail_mittens|Mitaines de mailles
itm_leather_boots|Bottes en cuir
itm_black_dress|Robe noire
itm_blackwhite_dress|Robe de dame
itm_white_tunic_a|Tunique blanche
