pt_rescued_prisoners|Prisonniers secourus
pt_enemy|Ennemi
pt_hero_party|Groupe du héros
pt_cattle_herd|Bétail
pt_ruins|Ruines
pt_legendary_place|Lieu légendaire
pt_mound|Tertre de héros
pt_pyre|Bûcher de héros
pt_wild_troll|Troll sauvage
pt_raging_trolls|Trolls enragés
pt_looters|Orques tribaux
pt_forest_bandits|Traînards orques
pt_mountain_bandits|Gobelins sauvages
pt_steppe_bandits|Parias dunlandais
pt_sea_raiders|Corsaires renégats
pt_deserters|Déserteurs
pt_merchant_caravan|Caravane
pt_troublesome_bandits|Gobelins gênants
pt_fangorn_orcs|Orques bûcherons 
pt_village_farmers|Fermiers
pt_spy_partners|Voyageurs méfiants
pt_spy_partners_evil|Voyageurs méfiants
pt_runaway_serfs|Esclaves en fuite
pt_spy|Cavalier solitaire
pt_spy_evil|Cavalier solitaire
pt_ents|Ents
pt_gandalf|Cavalier solitaire
pt_nazgul|Cavalier solitaire
pt_gondor_scouts|Éclaireurs gondoriens
pt_blackroot_auxila|Auxiliaires du Val de Sourcenoire
pt_lamedon_auxila|Auxiliaires du Lamedon
pt_lossarnach_auxila|Auxiliaires de Lossarnach
pt_pinnath_gelin_auxila|Auxiliaires de Pinnath Gelin
pt_ranger_scouts|Éclaireurs Coureurs
pt_rohan_scouts|Éclaireurs rohirrim
pt_lorien_scouts|Éclaireurs de la Lothlórien
pt_woodelf_scouts|Éclaireurs elfes de Grand'Peur
pt_imladris_scouts|Éclaireurs dúnedain
pt_dale_scouts|Éclaireurs du Val
pt_esgaroth_scouts|Éclaireurs d'Esgaroth
pt_dwarf_scouts|Guetteurs nains
pt_beorn_scouts|Éclaireurs béorniens
pt_woodmen_scouts|Éclaireurs forestiers
pt_mordor_scouts|Éclaireurs du Mordor
pt_morgul_scouts|Éclaireurs de Minas Morgul
pt_isengard_scouts|Éclaireurs de l'Isengard
pt_isengard_scouts_warg|Éclaireurs chevaucheurs de wargs de l'Isengard
pt_harad_scouts|Éclaireurs haradrim
pt_dunland_scouts|Éclaireurs dunlandais
pt_umbar_scouts|Éclaireurs corsaires
pt_khand_scouts|Éclaireurs orientaux
pt_moria_scouts|Éclaireurs de la Moria
pt_guldur_scouts|Éclaireurs de Dol Guldur
pt_gundabad_scouts|Éclaireurs de Gundabad
pt_rhun_scouts|Éclaireurs de Rhûn
pt_gondor_raiders|Fourrageurs du Gondor
pt_rohan_raiders|Fourrageurs rohirrim
pt_imladris_raiders|Fourrageurs de Fendeval
pt_lorien_raiders|Fourrageurs de la Lothlórien 
pt_woodelf_raiders|Fourrageurs de Grand'Peur
pt_dale_raiders|Fourrageurs du Val
pt_dwarf_raiders|Fourrageurs nains
pt_ranger_raiders|Pillards Coureurs
pt_morgul_raiders|Pillards de Morgul
pt_mordor_raiders|Pillards du Mordor
pt_isengard_raiders|Pillards de l'Isengard
pt_dunland_raiders|Pillards dunlandais
pt_harad_raiders|Pillards haradrim
pt_khand_raiders|Pillards du Khand
pt_umbar_raiders|Pillards de l'Umbar
pt_moria_raiders|Pillards de la Moria
pt_guldur_raiders|Pillards de Dol Guldur
pt_gundabad_raiders|Pillards de Gundabad
pt_rhun_raiders|Pillards de Rhûn
pt_gondor_patrol|Patrouille du Gondor
pt_rohan_patrol|Patrouille rohirrim
pt_imladris_patrol|Patrouille de Dúnedain
pt_lorien_patrol|Patrouille de la Lotlórien
pt_woodelf_patrol|Patrouille de Grand'Peur
pt_dale_patrol|Patrouille du Val
pt_esgaroth_patrol|Patrouille d'Esgaroth
pt_dwarf_patrol|Patrouille de nains
pt_ranger_patrol|Patrouille de Coureurs
pt_amroth_patrol|Patrouille de Dol Amroth
pt_pelargir_patrol|Patrouille de Pelargir
pt_lossarnach_patrol|Patrouille du Lossarnach
pt_brv_patrol|Patrouille du Val de Sourcenoire
pt_pinnath_patrol|Patrouille de Pinnath Gelin
pt_lamedon_patrol|Patrouille du Lamedon 
pt_mordor_war_party|Armée du Mordor
pt_isengard_war_party|Armée de l'Isengard
pt_harad_war_party|Armée du Harad
pt_dunland_war_party|Armée dunlandaise
pt_khand_war_party|Armée de Variags
pt_moria_war_party|Armée orque de la Moria
pt_guldur_war_party|Groupe de guerre de Dol Guldur
pt_rhun_war_party|Armée de Rhûn
pt_gondor_company|Patrouille de Minas Tirith
pt_rohan_company|Compagnie du Rohan
pt_imladris_company|Compagnie de Fendeval
pt_lorien_company|Compagnie de la Lothlórien
pt_woodelf_company|Compagnie de Grand'Peur
pt_dale_company|Compagnie du Val
pt_dwarf_company|Compagnie de nains
pt_gondor_elite_company|Compagnie d'élite du Gondor
pt_rohan_elite_company|Compagnie d'élite du Rohan
pt_imladris_elite_company|Compagnie d'élite de Fendeval
pt_lorien_elite_company|Compagnie d'élite de la Lothlórien
pt_woodelf_elite_company|Compagnie d'élite de Grand'Peur
pt_dale_elite_company|Compagnie d'élite du Val
pt_dwarf_elite_company|Compagnie d'élite naine
pt_gondor_caravan|Caravane du Gondor
pt_rohan_caravan|Caravane du Rohan
pt_imladris_caravan|Caravane de Fendeval
pt_lorien_caravan|Caravane de la Lothlórien
pt_woodelf_caravan|Caravane de Grand'Peur
pt_dale_caravan|Caravane du Val
pt_dwarf_caravan|Caravane naine 
pt_mordor_caravan|Convoi d'approvisionnement du Mordor
pt_isengard_caravan|Convoi d'approvisionnement de l'Isengard
pt_gunda_caravan|Convoi d'approvisionnement de Gundabad
pt_gondor_p_train|Convoi de prisonniers du Gondor
pt_rohan_p_train|Convoi de prisonniers du Rohan
pt_imladris_p_train|Convoi de prisonniers de Fendeval
pt_lorien_p_train|Convoi de prisonniers de la Lothlórien
pt_woodelf_p_train|Convoi de prisonniers de Grand'Peur
pt_dale_p_train|Convoi de prisonniers du Val
pt_dwarf_p_train|Convoi de prisonniers des nains
pt_mordor_p_train|Convoi de prisonniers du Mordor
pt_isengard_p_train|Convoi de prisonniers de l'Isengard
pt_kingdom_hero_party|Compagnie militaire
pt_caravan_survivors|Survivants d'une caravane
pt_routed_allies|Alliés en déroute
pt_routed_enemies|Ennemis en déroute
pt_legion_minas_morgul|Légion de Minas Morgul
pt_legion_udun|Légion d'Udun
pt_legion_gorgoroth|Légion de Gorgoroth
pt_legion_barad_dur|Légion de Barad-Dûr
pt_beorn_messenger|Messager béornien
pt_village|Village
pt_ring_hunters|Chasseurs d'anneau
pt_scout_camp_small|Camp d'éclaireurs
