qst_deliver_message|Porter un message à {s13}
qst_deliver_message_text|{s9} vous a demandé d'apporter un message pour {s13}. {s13} était à {s4} quand cette quête vous a été donnée.
qst_deliver_message_to_enemy_lord|Porter un message à {s13}
qst_deliver_message_to_enemy_lord_text|{s9} vous a demandé d'apporter un message pour {s13} de {s15}. {s13} était à {s4} quand cette quête vous a été donnée.
qst_raise_troops|Former {reg1} {s14}
qst_raise_troops_text|{s9} vous a demandé de former {reg1} {s14} et de les lui apporter.
qst_escort_messenger|Escorter le messager à {s14}
qst_escort_messenger_text|Aucun
qst_hunt_down_fugitive|Traquer {s4}
qst_hunt_down_fugitive_text|{s9} vous a demandé de traquer le fugitif nommé {s4}. Il est actuellement à {s3}.
qst_bring_back_runaway_serfs|Ramener des esclaves en fuite.
qst_bring_back_runaway_serfs_text|{s9} vous a demandé de ramener les trois groupes d'esclaves en fuite à {s2}. Il a dit que les trois groupes devaient avoir fui dans la direction de {s3}.
qst_follow_spy|Suivre l'espion jusqu'à son lieu de rendez-vous
qst_follow_spy_text|{s11} vous a demandé de suivre l'espion qui va partir de {s12}. Vous devez être sûr{/e} de ne pas vous faire voir par l'espion pendant ce voyage, sinon il pourrait devenir méfiant et s'échapper. Dès que l'espion aura rencontré son complice, vous devrez vous embusquer, les capturer et les ramener tous les deux à {s11}.
qst_capture_enemy_hero|Capturer un commandant ennemi.
qst_capture_enemy_hero_text|{s11} vous a demandé de capturer un commandant ennemi.
qst_lend_companion|Prêter votre compagnon {s3} à {s9}
qst_lend_companion_text|{s9} vous a demandé de lui prêter votre compagnon {s3} pour une semaine.
qst_capture_prisoners|Apporter {reg1} prisonniers ennemis
qst_capture_prisoners_text|{s9} voudrait que vous lui apportiez {reg1} prisonniers ennemis.
qst_investigate_fangorn|Enquêter dans la Forêt de Fangorn.
qst_investigate_fangorn_text|{s9} vous a demandé de découvrir ce qui se passe dans la forêt de Fangorn et de lui faire un rapport.
qst_capture_troll|Capturer un troll
qst_capture_troll_text|{s9} vous a demandé de ramener un troll sauvage pour l'utiliser dans son armée.
qst_kill_troll|Tuer un troll enragé
qst_kill_troll_text|{s9} vous a demandé de libérer {s13} de la menace d'un troll enragé dans ses environs.
qst_mirkwood_sorcerer|Tuer un sorcier dans la forêt de Grand'Peur.
