ui_at_learning_limit|(Limite d'apprentissage atteinte)
ui_not_enough_skill_points_to_learn|(Manque de points)
ui_not_enough_attributetype_to_learn_this_skill|(%s, manque de compétence)
ui_explanation_agility|Agilité : chaque point donne cinq points d'arme et augmente la vitesse de 0,5 %. Les compétences suivantes ne peuvent pas être développées au-delà de 1/3 de l'Agilité : Maître d'arme, Bouclier, Athlétisme, Équitation, Archerie montée, Pillage. 
ui_retreated_battle|L'itinéraire de %s a été défini.
ui_riding_skill_not_adequate_to_mount|(compétence Équitation trop faible)
ui_camp|Actions
ui_tutorial_inventory|Dans The Last Days, vous avez besoin de points de ressources pour obtenir de l'équipement. Les points de ressources mesurent la volonté d'une faction de vous équiper et combien de ressources de la faction vous pouvez utiliser.
ui_you_dont_have_value|Vous n'avez pas : %s
ui_merchant_cant_afford_value|%s : Vous nous donnez plus que ce dont nous avons besoin ! Gardez donc certaines choses pour vous (vous donnez des biens pour %s, nous ne pouvons en utiliser que %s).
ui_merchant_pay_whatever|Non, je n'ai pas besoin de ça, gardez tout.
ui_horse|Monter
ui_reclaim_your_sold_goods|Reprenez les articles que vous avez donnés avant de donner celui-là !
ui_return_your_bought_goods|Rendez les articles que vous avez pris avant de donner cela !
ui_return_price|Si retour : +%d p. ress.
ui_sell_price|Si donné : +%d p. ress.
ui_reclaim_price|pour reprendre : -%d p. ress.
ui_buying_price|pour demander : -%d p. ress.
ui_notification_riding_skill_not_enough|Votre compétence d'Équitation n'est pas suffisante pour cette monture.
ui_notification_payment_value|Vous utilisez %s
ui_notification_payment_receive_value|Vous recevez %s
ui_weekly_cost_value|Entretien : %s
ui_sell|Donner
ui_hire|Recruter
ui_notification_cant_hire|(Manque d'argent pour recruter)
ui_joining_cost_weekly_wage|Recrutement : %d p.ress. - Entretien : %d p.ress.
ui_weekly_wage|Entretien : %d p. Ress.
ui_price|Valeur : %d p. ress.
ui_cant_reload_this_weapon_on_horseback|Impossible de recharger cette arme sur le cheval.
ui_delivered_number_damage_to_horse|%d de dégâts infligés à la monture.
ui_horse_charged_for_number_damage|Monture chargée pour %d de dégâts.
ui_horse_received_number_damage|%d de dégâts reçus par la monture.
ui_horse_fell_dead|La monture est morte.
ui_horse_crippled|Monture paralysée...
ui_you_got_value|Vous avez obtenu %s.
ui_has_deserted_the_party| a quitté le groupe.
ui_have_deserted_the_party| ont quitté le groupe.
ui_loading_textures|Chargement des textures (patience...)
ui_order_hold_fire_toggle|Ne tirez pas/Feu à volonté (Basculer)
ui_order_dismount_toggle|Ordonnez de démonter/monter (Basculer)
ui_mount_horses_e_|%s, montez !
ui_hold_fire_e_|%s, cessez le feu !
ui_fire_at_will_e_|%s, feu à volonté !
ui_recent_messages|Messages
ui_value_denars|%d points de ressources
ui_cannot_be_used_on_horseback|Impossible à utiliser sur monture
ui_upgrade_to_value|Améliorer en %s
ui_notification_cant_upgrade|(Promotion impossible quand on donne des troupes)
ui_lance_control|Contrôle de la lance :
ui_manual_easy|Manuelle (Facile)
ui_manual_hard|Manuelle (Difficile)
ui_campaign_ai|IA de campagne (non utilisée dans TLD) :
ui_crouch|S'accroupir

# swy: added from this spreadsheet, as requested by our translators:
#      https://docs.google.com/spreadsheets/d/1_zpuLL5iCwybkPCiJLOuyXTdZDm1_zxoToTroJRbtp4/edit?usp=sharing
ui_are_you_sure_you_want_to_import_the_character|Êtes-vous certain de vouloir importer ce personnage ?
ui_explanation_strength|Force : Chaque point ajoute 1 point de vie. Les compétences suivantes ne peuvent pas être augmentées au delà d'1/3 de la Force : Vigueur, Puissance de frappe, Puissance de jet, Puissance de tension.
ui_explanation_intelligence|Intelligence : Chaque point en intelligence octroie 1 point de compétence supplémentaire et augmente parfois un peu les gains d'XP. Les compétences suivantes ne peuvent pas être augmentées au delà d'1/3 de l’intelligence : Mentor, Pistage, Tactique, Marche forcée, Repérage, Gestion de l’inventaire, Soins, Chirurgie, Premiers secours.
