fac_no_faction|חסר ממלכה 
fac_commoners|אזרחים פשוטים 
fac_outlaws|ברברים ופושעים 
fac_gondor|גונדור 
fac_dwarf|ארבור 
fac_rohan|רואן 
fac_mordor|מורדור 
fac_isengard|איזנגרד
fac_lorien|לותאלורין 
fac_imladris|אימלדריס
; fac_woodelf|The Woodland Realm
; fac_dale|Dale
; fac_harad|Harad
; fac_rhun|Rhun
; fac_khand|Khand
; fac_umbar|Umbar
fac_moria|מוריה 
; fac_guldur|Dol Guldur
; fac_gundabad|Mt. Gundabad
; fac_dunland|Dunland
; fac_beorn|The Vale of Anduin
fac_player_supporters_faction|ממלכתו של השחקן
fac_player_faction|ממלכתו של השחקן
; fac_brigands|Brigands
; fac_tribal_orcs|Tribal Orcs
fac_innocents|חפים מפשע 
; fac_merchants|Merchants
; fac_manhunters|Manhunters
; fac_deserters|Deserters
fac_mountain_bandits|בנדיטים הרריהם  
fac_forest_bandits|בנדיטי יער 
