skinkey_chin_size|גדול סנטר 
skinkey_chin_shape|צורת הסנטר 
skinkey_chin_forward|קדמת הסנטר 
skinkey_jaw_width|רוחב הלסת 
; skinkey_jaw_definition|Jaw Definition
; skinkey_lower_lip|Lower Lip
; skinkey_upper_lip|Upper Lip
skinkey_mouth_nose_distance|המרחק בין הפה לאף 
skinkey_mouth_width|רוחב הפה 
; skinkey_nostril_size|Nostril Size
skinkey_nose_height|גובה האף
skinkey_nose_width|רוחב האף 
skinkey_nose_size|גודל האף
skinkey_nose_shape|צורת האף 
skinkey_nose_bridge|גשר האף

skinkey_eye_width|רוחב העניים
skinkey_eye_to_eye_dist|המרחק בין העניים
skinkey_eye_shape|צורת העין
skinkey_eye_depth|עומק העין 
skinkey_eyelids|עפעפיים
skinkey_cheeks|לחיים 
skinkey_cheek_bones|עצמות הלחיים 
skinkey_eyebrow_height|גובהם של הגבות 

skinkey_eyebrow_shape|צורת הגבות 
skinkey_temple_width|רוחב הרקה 
skinkey_face_depth|עומק הפנים
skinkey_face_ratio|סידור הפנים 
skinkey_face_width|רוחב הפנים 
skinkey_post_edit|לפני עריכה 
skinkey_jaw_position|מקומה של הלסת 
skinkey_eyebrow_position|מקומם של הגבות 
skinkey_eyebrow_depth|עומק הגבות 
skinkey_snout_height|גובה החוטם 
skinkey_snout_width|רוחב החוטם
skinkey_snout_size|גודל החוטם 
skinkey_snout_shape|צורת החוטם 
skinkey_weight|משקל
skinkey_mouth_shape|צורת הפה 
skinkey_eye_size|גודל העין 
skinkey_eye_slant|אלכסון העין 
; skinkey_frawn|Frawn
; skinkey_mouth_vert_pos|Mouth Vert Pos
; skinkey_mouth_to_nose_dist|Mouth to Nose Dist
skinkey_chin_width|רוחב הסנטר 
