ip_formations_and_morale|Raspored postrojbi  i Moral
ip_formations_and_morale_text|Tvoji vojnici će se poredat i stajati na početku svake bitke umjesto da jurišaju u bitku. Sve glavne fakcije (svih 18) koriste formacije (+dezerteri), banditi će samo jurišat na početku bitke. Postoje male razlike između dobrih i zlih fakcija, vojnici dobrih fakcija radit će zidove od štita ( defenzivne jedinice prve, ali ako imaš kopljanike oni ce bit prvi u redu), a vojnici zlih fakcija formiraju rankove (najjači/najbolji vojnici idu prvi). Formacije funkcioniraju samo na bitkama koje nisu opsade ili custom bitke.^^Bilo kada tokom igre kada formiras formaciju, nastat će pokarj pozicije igrača u trenutku zadavanja naredbe. Pješadija na lijevom konjicana desno a strijelci u sredinu. U ponekim verzijama igre vojnici ce se formirat u istom SMIJERU u kojem gleda igrač. Kada god neka jedinica ide u pojedinu formaciju raširit će se da im bude lakše. Vojska od igrača uvijek počinje bitku u formaciji. Osim ako nije promijenjeno, tipke za formacije su: "J" za rankove, "K" za rankove poput zida štita i kopljanika, "L" za formaciju klina, ",(zarez)" za formaciju kvadrata i "U" za poništit formaciju. Naredba rankova će strijece stavit u istegnutu liniju. Konjica može samo radit klin. Jurišanje ( i silaženje sa konja za konjanike) će obustavit formaciju. Igrač može dat narebu da vojnici krenu napijed u formaciji prema neprijateljima. Može koristit i ploču za naredbe ili držat F1 i sam ih posložit. Kao vođa tvoje vojske tvoja je dužnost da vodiš brigu o svojim vojnicima tokom bitke. Što više umre tvojih vojnika, više će im padat moral. Gledaj poruke o tome! Možeš podupirat svoje vojnike na više načina:^^1. Ubijaući neprijatelje. Ako ih dovoljno ubiješ to će ohrabrit tvoje vojnike i neće pobojeći.^^2. Gumb "V" ti dalje sposobnost da ohrabriš svoju vojsku tako da pušeš u rog. Broj puta kolko možeš to napravit ovisi o tvojoj karizmi i vodstvu.^^Ako ubiješ vođu neprijateljkse vojske znatno će im past moral i više ih nema tko ohrabrit. Počet će bježat u velikom broju.
ip_economy|Ekonomija
ip_economy_text|U TLD ne postoji novac. Umjesto toga gradiš reputaciju sa fakcijama - predstavljena u Resursima, Utjecaju i Rankovima.^^Resursi su potrebni da održiš fakciju dulje u ratu - možeš mjenjat ratni plijen kojeg nađeš za njih. Svaki tjedan dobiješ određen broj resursa ovisno o tvom rangu sa fakcijom. Sa time možes si kupit opremu, vojnike i konje za tebe i tvoje sljedbenike. Za svaku fakciju postoji zasebni resursi,utjecaj i rank.^Bodovi za utjecaj dobivaš tako da radiš zadatke za generale fakcija i pobjedom u teškim bitkama. Kasnije ti se bodovi mogu trampat za posebne magićne predmete ovisno o ranku sa fakcijom.^^Bodovi za Rank služe za bolje stajanje u fakciji - o tome ovisi veličina tvoje vojske, tjedni dohot resursa i druge stvari.^Pošto se želimo držat lore-a isključili smo opciju "cross-dressinga". Netko ko pripada Gondoru ne može nosit oklop od orka. Nakon većine bitaka naći ćeš malo stvari za uzet koje se mogu koristit. Umjesto toga "metalni komadići" će biti jedino što ćes moć uzet, oni predstavljaju uništenu opremu koju ćeš moći dat kovačima u zamjenu za Resurse.
ip_war_of_the_ring|Rat Prstena
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (This does NOT depend on time spent playing, rather on how ready your character is for the war.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^The war itself can be won or lost, unlike in the original M&B. Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that player himself cannot initiate sieges in TLD. He can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement.^^(This is a design decision, not a bug. It's also something we want to tweak in future releases, so the option to siege is available, but very costly and difficult to obtain)^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the two towers will battle each other over total dominance.
ip_starting_tips|Početni savjetni
; ip_starting_tips_text|You choose your faction at the start and you can't change it later. You can also choose from different races: men, elves, dwarves, uruks, uruk-hais or orcs. Remember that both the faction and the race you choose will limit you in certain ways. Some factions provide excellent soldiers, but in small numbers. Some have weak troops, but you can hire many. Smaller orcs can't wear armors designed for big guys, but can ride some beasts instead. Dwarves have exceptional gear, but can't ride mounts.^^This is not designed to be fully (artificially) balanced. Playing weaker races or factions can be more challenging (as a first game, you might want to prefer options, in the starting menus, which are placed on top of the list of alternatives).^^You choose a faction and you fight for it until your side wins the great war, or until your faction gets wiped out. In that case you can still keep fighting for your allies.^^- wandering around aimlessly is not a great idea, the War requires purpose and intent on your part. Before the war starts, you're trying to assemble a party of warriors, get the low requirement companions and some gear to be ready. After the war starts, your strategies may vary. Remember, it's important to both help your allies AND bring down the enemy.^- doing missions for faction lords is a good way to rise up in rank and to get resource and influence points.^- take multiple missions/quests at the time, ask everyone! You can often "do the rounds" and have several others done while delivering a letter for instance. Don't waste time!
ip_rumours_and_legendary_places|Glasine i legendarna mjesta
ip_rumours_and_legendary_places_text|Razgovarajući s ljudima u naseljima, možeš pročitati kometar s pogleda njihove frakcije. Često će biti riječi o predajama, a ponekad  čak i informacija koja će otključati posebne Legendarne Lokacije na karti.\nNeke od njih su isljučivo namijenjene istraživnju i nemaju nikakvu drugu svrhu, neke od njih sadrže jedinsvene izazove i uskršnja jaja . Kad otključaš jednu, dobit ćeš poruku.
ip_trolls|Trolovi
