itm_horse_meat|Konjsko meso
itm_practice_sword|Mač za vježbu
itm_arena_lance|Koplje
itm_practice_staff|Drveni štap
itm_practice_bow|Luk za vježbu
itm_wooden_javelin|Drveno koplje za bacanje
itm_human_meat|Ljudsko meso
itm_maggoty_bread|Crvljiv kruh\n
itm_cram|Porcija Crama 
itm_lembas|Lembas
itm_smoked_fish|Dimljena riba
itm_dried_meat|Suho meso
itm_cattle_meat|Govedina
itm_grain|Pšenica
itm_tools|Alati
itm_siege_supply|Zalihe
itm_quest_wine|vino
itm_quest_ale|Pivo
itm_metal_scraps_bad|Metalni otpad male vrijednosti
itm_metal_scraps_medium|Korisni metalni otpad
itm_metal_scraps_good|Metalni otap dobre kvalitete
itm_oliphant|Oliphaunt (divovska životinja slična slonu)
itm_sumpter_horse|Tegelći konj
itm_saddle_horse|Jahaći konj
itm_steppe_horse|Stepski konj
itm_courser|Bojni konj
itm_hunter|Lovac
itm_pony|Poni
itm_arnor_warhorse|Arnorijski ratni konj
itm_dunedain_warhorse|Dunedijski ratni konj
itm_rohirrim_courser|Rohirrimski  brzi bojni konj
itm_rohirrim_hunter|Rohirrimski Lovac
itm_rohirrim_courser2|Rohirrimski  brzi bojni konj
itm_rohan_warhorse|Rohirrimski ratni konj
; itm_thengel_warhorse|Rohirrim Heavy Warhorse
itm_rhun_horse_a|Rhunski konj
itm_rhun_horse_b|Rhunski konj
itm_rhun_horse_d|Rhunski konj
itm_rhun_horse_e|Rhunski Oklopljeni konj
itm_rhun_horse_f|Rhunski oklopljeni konj
itm_rhun_horse_g|Rhunski oklopljeni konj
itm_rhun_horse_h|Rhunski oklopljeni konj
; itm_dale_horse|Rhovanion Horse
; itm_dale_warhorse|Rhovanion Warhorse
itm_riv_warhorse|Rivendelski ratni konj
itm_riv_warhorse2|Imladriški Pastuh
itm_mordor_warhorse|Mordorski ratni konj
itm_mordor_warhorse2|Mordorski zlokobni ratni konj
itm_gondor_courser|Gondorski brzi bojni konj
itm_gondor_hunter|Gondorski Lovac
itm_dol_amroth_warhorse|Dol Amrothski ratni konj
itm_dol_amroth_warhorse2|Dol Amrothski teško oklopljeni konj
itm_gondor_warhorse|Gondorski ratni konj
itm_gondor_lam_horse|Lamedonski oklopljeni konj
itm_lorien_warhorse|Lothlorienski ratni konj
itm_harad_horse|Haradski konj
itm_harad_warhorse|Haradski ratni konj
itm_variag_pony|Variaški poni
itm_variag_kataphrakt|Easterlingški ratni konj
itm_warg_1b|Worg
itm_warg_1c|Worg
itm_warg_1d|Worg
itm_wargarmored_1b|Oklopnji Worg
itm_wargarmored_1c|Oklopljeni Worg
itm_wargarmored_2b|Oklopljeni Worg
itm_wargarmored_2c|Oklopljeni Worg
itm_wargarmored_3a|Oklopljeni Worg
itm_warg_reward|Golemi Worg
; itm_axe_a|Northmen Axe
; itm_axe_b|Northmen Bearded Axe
; itm_axe_c|Northmen Axe
; itm_axe_d|Northmen Axe
itm_tree_trunk_club_a|Deblo drveta
; itm_long_bearded_axe|Northmen Bearded Longaxe
; itm_2_handed_axe|Northmen Longaxe
itm_free_giant_hammer|Divovski čekić
itm_giant_mace|Divovski buzdovan
; itm_troll_shield_a|Troll Shield
itm_arrows|Strijele
itm_gondor_arrows|Gondor Strijele
; itm_orc_javelin|Orc Heavy Javelin
; itm_khergit_arrows|Barbed Arrows
; itm_rohan_arrows_2|Rohirrim Arrows
; itm_harad_arrows|Haradrim Arrows
; itm_corsair_arrows|Corsair Arrows
; itm_ithilien_arrows|Ithilien Arrows
; itm_woodelf_arrows|Woodelf Arrows
; itm_elven_arrows|Elven Arrows
; itm_orc_hook_arrow|Orc Hook Arrows
; itm_isengard_arrow|Isengard Arrows
; itm_leather_gloves|Leather Gloves
; itm_mail_mittens|Mail Mittens
itm_leather_boots|kožne čizme
; itm_white_tunic_a|Civilian Outfit
itm_black_tunic|Crna tunika
itm_shortened_spear|Kratko koplje
itm_spear|Koplje
itm_light_lance|Lagano koplje
itm_lance|Koplje 
itm_tab_shield_small_round_b|Okrugli štit za konjanika
itm_short_bow|kratki luk
itm_regular_bow|Luk
itm_nomad_bow|Nomadski luk
itm_gondor_bow|Gondorski Luk
itm_strong_bow|Jaki Luk
itm_elven_bow|Vilenjački Luk
itm_corsair_bow|Korsarski Luk
; itm_dwarf_horn_bow|Dwarf Horn Bow
; itm_dwarf_short_bow|Dwarf Short Bow
; itm_harad_bow|Harad Curved Bow
; itm_lg_bow|Eagle Guard Bow
; itm_riv_bow|Rivendell Bow
; itm_glorfi_bow|Glorfindel Bow
; itm_lorien_bow|Galadhrim Bow
; itm_isengard_large_bow|Isengard Large Bow
; itm_dale_bow|Dale Bow
; itm_uruk_bow|Strong Orc Bow
; itm_mirkwood_bow|Mirkwood Bow
; itm_dunland_javelin|Dunland Javelins
; itm_orc_throwing_arrow|Orc Darts
; itm_heavy_throwing_spear|Heavy Throwing Spear
; itm_javelin|Javelin
; itm_harad_javelin|Harad Javelin
; itm_gondor_javelin|Gondor Javelin
; itm_rohirrim_throwing_axe|Rohirrim Throwing Axes
; itm_loss_throwing_axes|Lossarnach Throwing Axes
; itm_arnor_helm_a|Arnor Helm
; itm_arnor_helm_b|Arnor Helm
; itm_arnor_helm_c|Arnor Helm
; itm_dunedain_helm_a|Dunedain Hood
; itm_dunedain_helm_b|Arnor Decorated Helm
; itm_arnor_armor_a|Arnorian Armor
; itm_arnor_armor_b|Arnorian Armor
; itm_arnor_armor_c|Dunedain Ranger Leather
; itm_arnor_armor_d|Dunedain Ranger Leather
; itm_arnor_armor_e|Arnorian Reinforced Jerkin
; itm_arnor_armor_f|Arnorian High Armor
; itm_arnor_greaves|Arnorian Greaves
; itm_arnor_splinted|Arnorian Splinted Greaves
; itm_arnor_shield_a|Arnor Shield
; itm_arnor_shield_c|Arnor Cavalry Shield
; itm_arnor_shield_b|Arnor Shield
; itm_arnor_shield_d|Arnor Cavalry Shield
; itm_arnor_sword_a|Arnor Bastard Sword
; itm_arnor_sword_c|Arnor Bastard Sword
; itm_arnor_sword_f|Arnor Shortsword
; itm_riv_helm_a|Rivendell Coif
; itm_riv_helm_b|Rivendell Archer Helm
; itm_riv_helm_c|Rivendell Infantry Helm
; itm_riv_tiara|Elf Lord Tiara
; itm_riv_shield_a|Rivendell Shield
; itm_riv_shield_b|Rivendell Shield
; itm_riv_bas_sword|Rivendell Bastard Sword
; itm_riv_1h_sword|Rivendell Sword
; itm_riv_riding_sword|Rivendell Cavalry Sword
; itm_riv_archer_sword|Rivendell Archer Sword
; itm_riv_spear|Rivendell Spear
; itm_riv_armor_light|Rivendell Armor
; itm_riv_armor_light_inf|Rivendell Armor
; itm_riv_armor_archer|Rivendell Armor
; itm_riv_armor_m_archer|Rivendell Armor
; itm_riv_armor_med|Rivendell Armor
; itm_riv_armor_heavy|Rivendell Armor
; itm_riv_armor_h_archer|Rivendell Armor
; itm_riv_armor_leader|Rivendell Leader Armor
