ip_battle_formations|Csataformációk: TLD FormAI
ip_battle_formations_text|A csapataid minden csata elején pozícióba állnak és tartják helyüket, ahelyett hogy vakon rohannának előre. Csak a fő frakciók (mind a 18) használják a formációkat (+ dezertőrök), a banditák egyszerűen rohamoznak. Van apró különbség a jó és gonosz frakciók között: a jó gyalogság pajzsfalat formál (általában védekező – pajzsos egységek elöl, de ha van lándzsásod, falanx alakulhat), míg a gonosz gyalogság sorokat formál (a legjobb egységek elöl). A formációk csak mezőn zajló csatákban működnek (tehát nem az egyéni csatákban és ostromoknál).^^Bármikor a játékban, amikor formációt alakítasz ki vagy “Tartsd” parancsot adsz, az az aktuális játékos pozíciójához igazodik: gyalogság balra, lovasság jobbra, íjászok elöl. A játékos egységei minden csatát formációban kezdik.^^A formációk billentyűparancsai:^"J" sorok,^"K" fegyvertípus alapú sorok (pajzsfal, falanx),^"L" ék (a játékosnak érdemes átállítani az "L"-t a “Fatönk” funkcióról),^";" négyzet,^"U" nincs formáció (formáció visszavonása).^^Az íjászoknál a “sorok” parancs lépcsőzetes vonalat alakít ki. A lovasság nem használ más formációt, csak az éket.^^A roham (és a leszállás a lovasságnál) visszavonja a formációt. A játékos többször is használhatja az “Előre” parancsot, hogy a formáció az ellenség átlagos pozíciója felé haladjon. Vagy az utasítás panelt / tart-F1-et használja, hogy oda helyezze őket (vagy a lovasság ékét söpörje végig az ellenségen).^^Ha bármilyen problémát tapasztalsz a formációkkal, visszaállhatsz a Natív AI-ra.
ip_battle_formations_newformai|Csata Formációk: NewFormAI
ip_battle_formations_newformai_text|NewFormAI lehetővé teszi, hogy a parancsok menüből elérd a formációkat, és a „tarts ott” parancson (Hold F1) keresztül utasítsd a formációidat, hogy támadjanak konkrét ellenséges formációkat. De még nincs teljesen tesztelve.^^Használd a BILLENTYŰZET SZÁMAIT a zászlóalj kiválasztásához. A 0 gomb a teljes hadsereg kiválasztására szolgál.^^Használd az F1–F4 gombokat a kiválasztott zászlóaljak irányítására. Tartsd lenyomva az F1-et a kiválasztott zászlóaljak elhelyezéséhez. Ezzel a módszerrel egy ellenséges zászlóaljat is megcélozhatsz.^^A Csata menü Komplex Formációi a következők:^- SOROK, a legjobb egységek elöl^- PÁNCÉLOS FAL, sorokban a pajzsok elöl és a hosszabb fegyverek hátul^- ÉK, a legjobb egységek elöl^- NÉGYZET, tetszőleges sorrendben^- NINCS FORMÁCIÓ^Még az utolsó esetben is a játékos akár négy vonalig képezhet formációkat, ha elégszer használja az „Állj közelebb” parancsot.^^Ha EGY zászlóaljat választanak ki, annak első sorának középpontja a kijelölt helyre kerül.^^Ha TÖBB zászlóaljat választanak ki, akkor szétoszlanak és szétterülnek, mintha a játékos a kijelölt helyen állna.^^A kiválasztott zászlóaljak elhelyezését a játékos F2 vagy F7 megnyomásával memorizálhatja a játékoshoz viszonyítva. Alapértelmezés szerint a gyalogság balra, a lovasság jobbra, a távolsági egységek előre kerülnek. Az elhelyezést felülírhatja bármely zászlóalj számára, amelyet a játékos személyesen irányít a Formációk Opciók menüben.^^Ha a tábor menü beállítás be van kapcsolva, a zászlóaljak az ellenség felé fordulnak. Ellenkező esetben megtartják a játékos által kiválasztott irányt.
ip_battle_morale|Csata Morál (Összhang)
ip_battle_morale_text|A csata morált az „összhang” névvel különböztetjük meg a fő térképen látható párt-moráltól. Azonban a párt morálja is hatással van a párt csatabeli összhangjára. Ugyanez érvényes rád és társaidra a Vezetés képesség, a csatatéren lévő kapitányok és zászlótartók számára, a párt átlagos szintjére és a két fél létszámviszonyára. A csatatéri hatások, például varázslatos ködök vagy bizonyos események szintén befolyásolhatják az összhangot.^^Minél több veszteséget szenved az oldalad, annál inkább gyengül a moráljuk. Ha az összhang alacsony, a katonáid menekülhetnek a csatából, ami végül tömeges meneküléshez vezethet!^^Két módon támogathatod a katonáidat:^^1. Ellenségek megölése. Ha jól teljesítesz, lenyűgözöd a katonáidat, akik keményebben harcolnak és nem futnak el. Az ellenséges hősök, zászlótartók vagy magas szintű egységek legyőzése szintén gyengíti az ellenség összhangját.^^2. Ösztönzés. Nyomd meg a „V” gombot, hogy bátorítsd a katonáidat és növeld az összhangot. Ezzel a menekülő katonákat is visszahívhatod a harcba. Minden csatában csak korlátozott számú ösztönzésre van lehetőség! Az ösztönzés erejét, hatótávolságát és mértékét a Karizma és a Vezetés képesség határozza meg. Az ösztönzésben részt vesznek társaid (ha nekik is van Vezetés képességük) és a kapitányok.^^Nagy előnyt jelenthet, ha sikerül legyőznöd az ellenség parancsnokát, mert ezzel megfosztod az ellenséget vezetőjétől, akit így nem lehet ösztönözni.
ip_economy|Erőforrás pontok, Rang, Befolyás
ip_economy_text|A TLD-ben nincs pénz. Ehelyett a frakciókkal való kapcsolatokat fejleszted – ezt Erőforrások, Befolyás és Rang jelzi.^^Az erőforrások a frakció fenntartásához szükségesek háborúban – a zsákmányolt tárgyakat és cuccokat beválthatod erre, és minden héten kapsz egy bizonyos erőforrás-keretet is a rangodtól függően a frakción belül. Ezt a keretet felhasználhatod katonák, felszerelés, lovak beszerzésére, valamint követőid toborzására, de csak ha elegendőt gyűjtöttél. Minden frakciónak külön erőforrás/befolyás/rang készlete van, ne felejtsd el!^^A befolyás pontokat küldetések teljesítéséért és nehéz csaták megnyeréséért kapod. Később speciális tárgyakra költheted, ha elég magas a rangod a frakcióban, vagy más hősök és csapatok irányítására adhatod ki parancsokat.^^A rangpontok lehetővé teszik, hogy előrelépj a frakción belül – ez meghatározza a maximális seregméreted, a heti erőforrás-bevételed, új parancsopciókat nyit meg, és jobb minőségű tárgyak lesznek elérhetők a boltokban.^^Emellett a településekkel való kapcsolatok (a helyi idős vezetőn keresztül) és szövetséges vezetők előnyöket biztosítanak.^^A lore-hűség miatt alapértelmezés szerint ki van kapcsolva az úgynevezett „átöltözés” lehetősége: egy gondori valószínűleg sosem hordana zsákmányolt ork páncélt, és fordítva. A legtöbb csata után csak kevés vagy egyáltalán nem találsz közvetlenül használható tárgyakat a zsákmányban. Ehelyett „fémhulladék” esik, ami a hasznosítható felszerelést jelképezi, és ezt adhatod kovácsaidnak, akik Erőforrás pontokat kapnak érte.
ip_war_of_the_ring|A Gyűrű Háborúja
ip_war_of_the_ring_text|A játék elején a jó és a rossz közötti háború még nem kezdődött el. Értesítést kapsz, amikor elindul. (Ez NEM a játékban eltöltött időtől függ, hanem attól, mennyire készült fel a karaktered a háborúra.) Bár Középfölde kezdetben elég üresnek és csendesnek tűnhet, a háború kezdete után nagyon gyorsan tele lesz ellenséges csapatokkal. Legyél felkészülve, és használd ki bölcsen a néhány napnyi békét! Küldetéseket teljesíthetsz a szövetséges frakciók urai és vezetői számára, toborozhatsz sereget, és edzheted magad a laktanyában.^^Magát a háborút meg lehet nyerni vagy elveszíteni, ellentétben az eredeti M\\&B-vel. Minden frakciónak van egy erősségi értéke – ami a frakció sikereinek vagy kudarcainak megfelelően változik a csaták során. Ha az erősség elég alacsonyra esik, az ellenség képes lesz ostromolni a frakció városait vagy táborait. Ha egy frakció a legalacsonyabb állapotba kerül, teljesen legyőzhetővé válik a fővárosának bevételével.^^Fontos, hogy a játékosként nem indíthatsz ostromokat önállóan. Csak akkor segíthetsz a frakciónak és szövetségeseinek az ostromokban, ha a vezetőik úgy döntenek, hogy eljött az ideje megtámadni az ellenséges települést. Ha magas a rangod és elegendő befolyásod van egy frakcióban, javasolhatod a vezetőjüknek, hogy támadjanak konkrét településeket. A legmagasabb rangnál a saját frakciódban jogot szerezhetsz arra is, hogy te magad vezess egy támadást egy település ellen.^^A TLD-ben több hadszíntér van, földrajzi elhelyezkedés szerint. Amikor az egyik fél az adott hadszíntéren legyőzi az összes ellenséget, expedíciós erőt küld a szövetségesek támogatására más hadszíntereken. Az expedíciós erő előretolt tábort épít a másik hadszíntéren, és onnan működik. Ha a jó erőket teljesen legyőzik, de Mordor és Vasudvar még erősek maradnak, a két torony egymással küzd a teljes dominancia megszerzéséért.
ip_starting_tips|Kezdő tippek
