fac_no_faction|Tidak ada fraksi
fac_commoners|Orang biasa
fac_outlaws|Begal Dan Bandit
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Iladris
fac_woodelf|Mirkwood Elf
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Gunung Gundabad
fac_dunland|Dunlendings
fac_beorn|Beornings
fac_player_supporters_faction|Partai sang karakter
fac_player_faction|Partai Sang Karakter
fac_brigands|Perampok
fac_tribal_orcs|Suku Orc
fac_innocents|Tidak Bersalah
fac_merchants|Penjual
fac_manhunters|Pemburu
fac_deserters|Perampok 
fac_mountain_bandits|Bandit Gunung
fac_forest_bandits|Bandit Hutan
