ip_battle_formations|Formasi Pertempuran: TLD FormAI
ip_battle_formations_text|Pasukan Anda akan memposisikan diri dan bertahan di awal setiap pertempuran, alih-alih menyerang secara membabi buta. Hanya faksi besar (semuanya 18) yang menggunakan formasi (+deserter), bandit hanya akan menyerang. Ada sedikit perbedaan antara faksi baik dan jahat, infanteri yang baik akan membentuk dinding perisai (biasanya pasukan yang dilindungi pertahanan terlebih dahulu, tetapi dapat membentuk barisan jika Anda memiliki pikemen), sedangkan infanteri jahat akan membentuk barisan (pasukan terbaik terlebih dahulu). Formasi hanya berfungsi dalam pertempuran lapangan (artinya tidak dalam pertempuran dan pengepungan khusus).^^Setiap kali dalam game Anda memiliki bentuk formasi atau "Tahan", formasi itu akan diatur di dekat posisi yang dimiliki pemain saat perintah dikeluarkan : infanteri di kiri, kavaleri di kanan, dan pemanah di depan. Pasukan pemain memulai setiap pertempuran dalam formasi.^^ Ikatan kunci formasi adalah:^"J" untuk peringkat,^"K" untuk peringkat berbasis senjata (dinding perisai, phalanx),^"L" untuk baji (pemain harus menugaskan kembali "L" untuk pemetaan "Log")^";" untuk kotak,^"U" untuk tanpa formasi (batalkan formasi).^^Perintah "peringkat" untuk pemanah menempatkan mereka dalam garis terhuyung-huyung. Kavaleri tidak akan membuat formasi apa pun selain irisan.^^Charge (dan Dismount untuk kavaleri) akan membatalkan formasi. Pemain dapat Maju beberapa kali agar formasi bergerak menuju posisi rata-rata musuh. Atau gunakan panel perintah atau tahan-F1 untuk menempatkannya (atau sapukan ke seluruh musuh untuk mendapatkan irisan kavaleri).^^Jika Anda mengalami masalah dengan formasi, Anda dapat kembali ke AI Asli.
ip_battle_formations_newformai|Formasi Pertempuran: NewFormAI
ip_battle_formations_newformai_text|NewFormAI memungkinkan Anda mengakses formasi dari menu perintah, dan memerintahkan formasi Anda untuk menyerang formasi musuh tertentu melalui perintah "tahan di sana" (Tahan F1). Tapi itu belum sepenuhnya diuji.^^Gunakan keyboard ANGKA untuk memilih divisi. Tekan 0 untuk memilih seluruh kekuatan Anda.^^Gunakan F1-F4 untuk mengurutkan divisi yang dipilih. Tahan tombol F1 untuk menempatkan divisi yang dipilih. Anda dapat menargetkan divisi musuh melalui mekanisme ini."^^Formasi Kompleks pada Menu Pertempuran adalah:^- PERINGKAT dengan pasukan terbaik di depan^- SHIELD WALL, peringkat dengan perisai di depan dan senjata yang lebih panjang di belakang^- WEDGE dengan yang terbaik pasukan di depan^- KOTAK tanpa urutan tertentu^- TANPA FORMASI^Bahkan dalam kasus terakhir, pemain dapat membuat formasi hingga empat baris dengan memerintahkan Stand Closer secukupnya.^^Ketika SATU divisi dipilih, bagian tengah depannya peringkat ditempatkan di tempat yang ditunjukkan.^^Ketika BANYAK divisi yang dipilih, mereka dipisahkan dan disebar seolah-olah pemain sedang berdiri di tempat yang ditunjukkan.^^Seseorang dapat mengingat penempatan divisi yang dipilih relatif terhadap pemain dengan menekan F2 , F7. Defaultnya adalah infanteri di kiri, kavaleri di kanan, dan jarak jauh di depan. Penempatan diganti untuk divisi mana pun yang dipilih pemain untuk dipimpin secara pribadi melalui menu Opsi Formasi.^^Jika opsi permainan menu kamp diatur, divisi akan dirotasi ke menghadapi musuh. Jika tidak, mereka akan mempertahankan wajah pemain saat ditempatkan.
ip_battle_morale|Semangat Pertempuran (Koherensi)
; ip_battle_morale_text|Battle morale is called coherence for sake of differentiation from your party's morale on the main map. However, party morale also affects your party's coherence in battle. So does your and your companions' Leadership skill, the amount of captains and banner carriers on the field, your party's averaqge level and the numerical relation between both sides. Battle field effects like magical mists or certain events may also affect coherence.^^The more casualties your side suffers, the more their morale crumbles. If your coherence falls low, your troops may flee from battle, eventually resulting in a mass rout! You can support your troops in two ways:^^1. Killing enemies. If you do well, you impress your men and they fight harder and don't flee. Killing enemy heroes, banner carriers or high level troops will also hurt their coherence.^^2. Rallying them. Press "V" to encourage your troops and increase your coherence. You also have a chance to rally troops that are already fleeing. You get only a limited amount of rallies per battle! The amount, strength, and range of your rally is affected by your Charisma and Leadership. Your rally is supported by your companions (if they have the leadership skill) and captains.^^It can be quite the advantage if you manage to defeat the enemy commander, because that robs enemies of their leader, so they cannot be rallied.
ip_economy|Poin Sumber Daya, Peringkat, Pengaruh
ip_economy_text|Tidak ada uang di TLD. Sebaliknya, Anda mengembangkan hubungan dengan faksi - yang diwakili oleh Sumber Daya, Pengaruh, dan Pangkat.^^Sumber daya adalah apa yang dibutuhkan untuk mempertahankan faksi dalam perang - Anda dapat menukarkan sisa dan barang yang dijarah untuk itu dan Anda juga diberikan sejumlah tunjangan sumber daya tertentu untuk masing-masing faksi. minggu tergantung pada peringkatmu dalam faksi. Anda dapat menggunakan tunjangan ini untuk mendapatkan tentara, perlengkapan, kuda untuk Anda perintahkan dan teman untuk mengikuti Anda, tetapi hanya jika Anda mengumpulkan cukup banyak. Anda memiliki kumpulan sumber daya/pengaruh/peringkat terpisah untuk setiap Fraksi, ingatlah itu!^^Poin pengaruh diberikan untuk menyelesaikan misi dan memenangkan pertempuran yang sulit. Poin tersebut nantinya dapat digunakan untuk item khusus sebagai hadiah dari penguasa faksi atau untuk memberi perintah kepada pahlawan dan party lain, jika peringkat Anda cukup tinggi.^^ Poin peringkat memungkinkan Anda untuk naik peringkat di faksi Anda - ini akan menentukan ukuran pesta maksimum Anda, pendapatan sumber daya mingguan, membuka opsi perintah, dan menyediakan barang-barang berkualitas lebih tinggi di toko.^^Selain itu, menjalin hubungan dengan pemukiman (diwakili oleh tetua kota setempat) dan pemimpin sekutu akan memberi Anda keuntungan tertentu.^^ Jatuh tempo agar sesuai dengan pengetahuan, kami juga telah menonaktifkan secara default opsi yang disebut "cross-dressing": seorang Gondorian kemungkinan besar tidak akan pernah memakai baju besi orc yang dijarah, dan sebaliknya. Setelah sebagian besar pertempuran, Anda akan menemukan sedikit atau tidak ada item dalam jarahan yang dapat digunakan secara langsung. Sebaliknya, "potongan logam" dijatuhkan, yang mewakili peralatan yang dapat diselamatkan dan kemudian dapat diberikan kepada pandai besi Anda yang membutuhkannya, untuk Poin Sumber Daya.
ip_war_of_the_ring|Perang Cincin
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (Depending on the setting you chose at the start of the campaign, this may depend on time spend or your character's level.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that as the player, you cannot simply initiate sieges yourself. You can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement. If you have a high rank and enough influence with a faction, you may however suggest their leader to attack specific settlements. At the highest rank with your home faction, you can also gain the right to lead an assault on a settlement yourself.^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the Two Towers will battle each other over total dominance.
ip_starting_tips|Tip Memulai
