menu_start_game_1|^^^^^^^^^^Per cosa combatti ?
mno_start_good|L'alba di una nuova Era
mno_start_evil|Il tramonto degli Uomini
mno_faction_intros|Scopri le diverse fazioni della Terra di Mezzo
mno_go_bback|Torna Indietro
menu_start_phase_2|Terra di Mezzo. Un'ombra cresce a oriente, ^ oscure entità da lungo tempo nascoste, emergono  nuovamente. ^ I popoli liberi si preparano alla guerra, di una portata tale come non se n'era vista da un'era. ^ Uomini, Elfi, Nani e Orchi; tutti ne saranno parte. ^^ Cosa avverrà, comunque, è tutto da vedere... 
mno_go_forth|Prosegui per il sentiero che hai scelto...
mno_change_tld_options|Cambia le opzioni di TLD.
menu_start_game_3|^^^^^^^^Scegli il tuo scenario:
mno_custom_battle_scenario_1|Schermaglia, Fazioni di Gondor vs Harad
mno_custom_battle_scenario_12|Scegli le fazioni per la battaglia
mno_custom_battle_scenario_3|Schermaglia, Elfi vs Númenóreani Neri 
mno_custom_battle_scenario_4|Difesa del Fosso di Helm, Rohan vs Isengard
mno_custom_battle_scenario_5|Schermaglia, Fazioni del Nord vs Rhûn
mno_custom_battle_scenario_6|Assedio, Orchi vs Nani
mno_custom_battle_scenario_7|Imboscata, Orchi vs Bosco Atro
mno_custom_battle_scenario_8|L'ultima difesa del Popolo di Durin
mno_custom_battle_scenario_88|All'inseguimento di una compagnia di Orchi
mno_custom_battle_scenario_11|Testa Battaglie (Bilanciamento !)
mno_custom_battle_scenario_10|Testa Scenario Battaglia
mno_troll_battle_scenario|Testa Battaglie con Troll
mno_warg_battle_scenario|Testa Battaglie con Mannari
mno_build_your_own_scene|** Costruisci il tuo personale scenario per TLD **
mno_go_back|Torna Indietro
menu_tutorial|^^ Ti diamo il benvenuto alle lezioni di combattimento di TLD. Qui apprenderai le basi del combattimento, oltre ad una panoramica sui comandi da impartire alle truppe sul campo di battaglia.
mno_tutorial_1|Lezione #1: Movimenti di base e selezione dell'arma. {s1}
mno_tutorial_2|Lezione #2: Combattimento con lo scudo. {s2}
mno_tutorial_3|Lezione #3: Combattimento senza scudo. {s3}
mno_tutorial_3b_door|livello successivo
mno_tutorial_4|Lezione #4: Cavalcare un animale. {s4}
mno_tutorial_5|Lezione #5: Comandare un gruppo di soldati. {s5}
mno_go_back_dot|Torna Indietro
mno_action_view_troop_trees|Visualizza alberi truppe.
mno_view_upkeep_costs|Controlla i costi di mantenimento
mno_view_character_report|Consulta il rapporto sul personaggio
mno_view_party_size_report|Consulta il rapporto sulle dimensioni della compagnia
mno_view_morale_report|Consulta il rapporto sul morale della compagnia
mno_view_character_report_02|Controlla stato dei PNG
mno_view_faction_strengths_report|Consulta il resoconto sulla potenza delle fazioni
mno_view_traits_report|Consulta i tratti personali.
mno_resume_travelling|Riprendi il viaggio
mno_custom_battle_go|Inizia
mno_leave_custom_battle_2|Annulla
menu_custom_battle_end|^^^^^^La battaglia è terminata. {s1} I tuoi alleati hanno ucciso {reg5} nemici e perso {reg6} truppe durante la battaglia.^Hai ucciso personalmente {reg7} avversari durante lo scontro.
mno_replay|Combatti nuovamente la battaglia
mno_continue_dot|Continua
menu_custom_battle_durin_end|^^^^^^È stata una mirabile ultima resistenza, ma infine era destinata a cadere.^^ Tu e i tuoi avete ucciso {reg5} nemici.^Tu personalmente hai abbattuto {reg7} avversari in combattimento.
mno_replay_cbd|Combatti nuovamente questa battaglia
mno_continue_dot_cbd|Continua
mno_dot_go_back|Torna Indietro
menu_start_good|^^^^^^^^^^Seleziona la tua razza:
mno_start_ma|UOMO
mno_start_el|ELFO
mno_start_dw|NANO
menu_start_evil|^^^^^^^^^^Chi servi ?
mno_start_eye|Sauron di Mordor, il Signore degli Anelli
mno_start_hand|Saruman di Isengard, la Mano Bianca
menu_start_eye|^^^^^^^^^Il tuo Padrone è il Grande Occhio^Scegli la tua razza
mno_start_or|Un Orco, servendo il Grande Occhio
mno_start_ur|Un Uruk-Hai, la nuova razza di Orchi
mno_start_em|Un Uomo, corrotto da Sauron
menu_start_hand|^^^^^^^^^Il tuo Padrone è la Mano Bianca^Scegli la tua razza
mno_start_whor|Un Orco, servendo la Mano Bianca
mno_start_isur|uno degli Uruk-Hai, cresciuto ad Isengard
mno_start_duma|Un Uomo di Dunland, delle Pianure Occidentali
menu_start_good_man|^^^^^^^^^^Seleziona la tua gente:
mno_start_go|Gondor, il Regno della Torre Bianca
mno_start_ro|Rohan, i Signori dei Cavalli
mno_start_du|Dúnedain, l'antica dinastia degli Uomini
mno_start_be|Beorniani, gli Uomini-Orso
mno_start_wo|Boscaioli, dai margini di Bosco Atro
mno_start_da|Il Regno di Dale
menu_start_good_elf|^^^^^^^^^^In quale foresta vivi, Elfo ?
mno_start_ri|Gran Burrone, di Lord Elrond
mno_start_lo|Lothlórien, di Lady Galadriel
mno_start_mi|Bosco Atro, terre degli Elfi Silvani
menu_start_good_dwarf|^^^^^^^^^^Seleziona il tuo Lignaggio:
mno_start_er|Un abitante di Erebor
mno_start_ih|Un minatore dei Colli Ferrosi
menu_start_gondor|^^^^^^^^^^Da quale parte di Gondor provieni ?
mno_start_mt|Minas Tirith, la Capitale
mno_start_ls|Lossarnach, il feudo della Valle dei Fiori
mno_start_la|Lamedon, il feudo degli uomini della Montagna
mno_start_pg|Pinnath Gelin, il feudo delle Verdi Colline
mno_start_do|Dol Amroth, il feudo dei Cavalieri del Cigno
mno_start_pe|Pelargir, il feudo Costiero
mno_start_bl|La Valle Cepponero, il feudo degli Arcieri
menu_start_eye_man|^^^^^^^^^^Seleziona la tua gente:
mno_start_hr|Haradrim, il popolo del deserto del Sud
mno_start_bn|Númenóreani Neri, i rinnegati dell'Ovest
mno_start_um|Umbar, i Corsari dei Mari del Sud
mno_start_rh|Rhûn, i barbari dell'Est
mno_start_kh|Khand, i selvaggi popoli del Sud-Est
menu_start_eye_uruk|^^^^^^^^^^Dove ti nascondi ?
mno_start_arm_uruk|Nelle armate ammassate a Mordor
mno_start_cav_uruk|nelle caverne di Dol Guldur
menu_start_eye_orc|^^^^^^^^^^Dove ti nascondi ?
mno_start_arm|Nelle armate ammassate a Mordor
mno_start_cav|nelle caverne di Dol Guldur
menu_start_hand_orc|^^^^^^^^^^Dove ti nascondi ?
mno_start_armis|Nelle armate ammassate a Isengard
mno_start_minmo|Nelle miniere di Moria
mno_start_cliff|Tra le rocce del monte Gundabad
