
str_yes|Si.
str_no|No.
str_noone|nessuno
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} e {s51}
str_s5_s_party|Compagnia di {s5}
str_s5_s_host|Armata di {s5}
str_given_by_s1_at_s2|Dato da {s1} a {s2}
str_given_by_s1_in_wilderness|Dato da {s1} nella zona
str_s7_raiders|{s7} Predoni
str_bandits_eliminated_by_another|I banditi sono stati eliminati da un'altra Compagnia.
str_msg_battle_won|La battaglia è vinta ! Premi il tasto tab per procedere...
str_tutorial_map1|Stai osservando la mappa strategica. Click-sinistro sulla mappa per muovere la tua Compagnia verso quella locazione, entrare nella città selezionata o seguire un'altra Compagnia. Il gioco entrerà in pausa nella mappa strategica se la tua Compagnia non si muove, aspetta o si ferma. Puoi mettere il gioco in pausa semplicemente premendo la barra spaziatrice.
str_accept|Accetta
str_charge|Carica !
str_color|Colore
str_flip_horizontal|Flip Orizzontale
str_flip_vertical|Flip Verticale
str_hold_fire|Non tirate
str_blunt_hold_fire|Brusco / Non tirate
str_tutorial_ammo_refilled|Munizioni Ricaricate.
str_tutorial_failed|Hai subito una sconfitta questa volta, ma non preoccuparti. Segui le istruzioni attentamente e farai meglio la prossima volta. Premi il tasto Tab per tornare al menu da dove potrai ritentare con questa lezione.
str_tutorial_1_msg_1|In questa lezione apprenderai le basi del movimento e del combattimento. Bisogna far uso del mouse per controllare la direzione in cui si guarda e i tasti WASD per il movimento. Il tuo primo compito nell'addestramento è quello di individuare la bandiera nella stanza e muoverti verso di essa. Puoi premere il tasto Tab in qualunque momento per interrompere questa lezione o per uscire da qualsiasi altra area del gioco. Ora va verso la bandiera.
str_tutorial_1_msg_2|Ben fatto. Successivamente ci occuperemo dell'attacco con armi diverse. Per gli scopi di questa lezione hai ricevuto un equipaggiamento composto da arco e frecce, una spada e uno scudo. Puoi estrarre le varie armi dagli slot usando la rotellina del mouse. Nella configurazione classica, scorrendo la rotellina verso l'alto ti farà estrarre l'arma, mentre scorrendola verso il basso ti farà brandire lo scudo. Se stai già impugnando lo scudo, scorrere verso il basso lo farà riporre. Prova a cambiare il tuo equipaggiamento con la rotellina adesso. Quando vuoi, spostati sulla bandiera per affrontare il tuo prossimo compito.
str_tutorial_1_msg_3|Eccellente. La parte successiva di questa lezione riguarda l'attacco con armi ravvicinate. Attacchi con l'arma che impugni attualmente usando il tasto sinistro del mouse. Premi e tieni premuto il pulsante per approntare un attacco, poi rilascia il pulsante per colpire. Se tieni premuto il tasto sinistro del mouse per un certo tempo prima di rilasciarlo, il tuo attacco sarà più potente. Ora estrai la tua spada e distruggi i quattro manichini nella stanza.
str_tutorial_1_msg_4|Bel lavoro ! Hai distrutto tutti e quattro i manichini. Ora puoi spostarti nella prossima stanza.
