itm_horse_meat|Carne di cavallo
itm_practice_sword|Spada d'addestramento
itm_arena_lance|Lancia
itm_practice_staff|Bastone di legno
itm_practice_bow|Arco d'addestramento
itm_wooden_javelin|Giavellotto di legno
itm_human_meat|Carne umana
itm_maggoty_bread|Pane putrido
itm_cram|Rimpinzimonio
itm_lembas|Pan di via
itm_smoked_fish|Pesce affumicato
itm_dried_meat|Carne essiccata
itm_cattle_meat|Carne di bue
itm_grain|Grano
itm_tools|Strumenti
itm_siege_supply|Rifornimenti
itm_quest_wine|Vino
itm_quest_ale|Birra
itm_metal_scraps_bad|Metallo di bassa qualità
itm_metal_scraps_medium|Metallo di buona qualità
itm_metal_scraps_good|Metallo di ottima qualità
itm_oliphant|Olifante
itm_sumpter_horse|Palafreno
itm_saddle_horse|Palafreno
itm_steppe_horse|Cavallo delle steppe
itm_courser|Corsiero
itm_hunter|Cacciatore
itm_pony|Pony
itm_dunedain_warhorse|Destriero Dúnedain
itm_rohirrim_courser|Corsiero Rohirrim
itm_rohirrim_hunter|Cacciatore Rohirrim
itm_rohirrim_courser2|Corsiero Rohirrim Corazzato
itm_rohan_warhorse|Destriero Rohirrim
itm_thengel_warhorse|Destriero di Eorl
itm_rhun_horse_a|Cavallo di Rhûn
itm_rhun_horse_b|Cavallo di Rhûn
itm_rhun_horse_d|Cavallo di Rhûn
itm_rhun_horse_e|Cavallo pesante di Rhûn
itm_rhun_horse_f|Cavallo pesante di Rhûn
itm_rhun_horse_g|Cavallo pesante di Rhûn
itm_rhun_horse_h|Cavallo pesante di Rhûn
itm_dale_horse|Cavallo del Rhovanion
itm_dale_warhorse|Destriero del Rhovanion
itm_riv_warhorse|Destriero di Gran Burrone
itm_riv_warhorse2|Destriero di Imladris
itm_mordor_warhorse|Destriero di Mordor
itm_mordor_warhorse2|Destriero Malvagio di Mordor
itm_gondor_courser|Corsiero di Gondor
itm_gondor_hunter|Cacciatore di Gondor
itm_dol_amroth_warhorse|Destriero di Dol Amroth
itm_dol_amroth_warhorse2|Destriero Pesante di Dol Amroth
itm_gondor_warhorse|Destriero di Gondor
itm_gondor_lam_horse|Cavallo corazzato del Lamedon
itm_lorien_warhorse|Destriero di Lothlórien
itm_harad_horse|Cavallo dell'Harad
itm_harad_warhorse|Destriero dell'Harad
itm_variag_pony|Pony Variago
itm_variag_kataphrakt|Destriero Easterling
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Warg corazzato
itm_wargarmored_1c|Warg corazzato
itm_wargarmored_2b|Warg corazzato
itm_wargarmored_2c|Warg corazzato
itm_wargarmored_3a|Warg corazzato
itm_warg_reward|Gigantesco Warg
itm_tree_trunk_club_a|Tronco d'albero
itm_giant_mace|Mazza gigante
itm_troll_shield_a|Scudo di Troll
itm_arrows|Frecce
itm_gondor_arrows|Frecce di Gondor
itm_orc_javelin|Giavellotto Pesante Orchesco
itm_khergit_arrows|Frecce Rohirrim
itm_harad_arrows|Frecce Rohirrim
itm_corsair_arrows|Frecce corsare
itm_ithilien_arrows|Frecce dell'Ithilien
itm_woodelf_arrows|Frecce degli Elfi Silvani
itm_elven_arrows|Frecce elfiche
itm_orc_hook_arrow|Frecce orchesche uncinate 
itm_isengard_arrow|Frecce di Isengard
itm_leather_gloves|Guanti di Cuoio
itm_mail_mittens|Guanti di Maglia
itm_leather_boots|Stivali di Cuoio
itm_leather_boots_dark|Stivali da Cavallerizzo
itm_splinted_greaves|Gambali Steccati
itm_white_tunic_a|Vesti Civili
itm_rohan_shoes|Scarpe di Pelle
itm_furry_boots|Stivali di Pelliccia
itm_black_tunic|Tunica nera
itm_hood_black|Cappuccio Nero
itm_hood_green|Cappuccio Verde
itm_hood_grey|Cappuccio Grigio
itm_hood_leather|Cappuccio di Cuoio
itm_mail_coif|Cotta di Maglia
itm_axe_a|Ascia Nordica
itm_axe_b|Ascia Barbuta Nordica
itm_axe_c|Ascia Nordica
itm_axe_d|Ascia Nordica
itm_long_bearded_axe|Ascia Barbuta Lunga Nordica
itm_2_handed_axe|Ascia Lunga Nordica
itm_shortened_spear|Lanciola
itm_spear|Lancia
itm_light_lance|Lancia leggera
itm_lance|Lancia
itm_tab_shield_small_round_b|Scudo rotondo da cavalleria
itm_short_bow|Arco corto
itm_regular_bow|Arco
itm_nomad_bow|Arco nomade
itm_gondor_bow|Arco di Gondor
itm_strong_bow|Arco potente
itm_elven_bow|Arco elfico
itm_corsair_bow|Arco corsaro
itm_dwarf_horn_bow|Arco nanico
itm_dwarf_short_bow|Arco corto nanico
itm_harad_bow|Arco curvato dell'Harad
itm_lg_bow|Arco da vigilante
itm_riv_bow|Arco di Gran Burrone
itm_rhun_bow|Arco Balchoth
itm_lorien_bow|Arco Galadhrim 
itm_isengard_large_bow|Arco grande di Isengard
itm_dale_bow|Arco di Dale
itm_uruk_bow|Arco di Corno Orchesco
itm_mirkwood_bow|Arco di Bosco Atro
itm_dunland_javelin|Giavellotto di Dunland
itm_orc_throwing_arrow|Dardi orcheschi
itm_heavy_throwing_spear|Aste pesanti da lancio
itm_javelin|Giavellotto
itm_harad_javelin|Giavellotto dell'Harad
itm_gondor_javelin|Giavellotto di Gondor
itm_rohirrim_throwing_axe|Asce da Lancio degli Uomini del Nord
itm_loss_throwing_axes|Asce da lancio del Lossarnach
itm_arnor_helm_c|Elmo Decorato di Arnor
