imod_plain|%s
imod_cracked|%s Spaccato
imod_rusty|%s Arruginito
imod_bent|%s Curvato
imod_chipped|%S Scheggiata 
imod_battered|%s Malconcio
imod_poor|%s Povero
imod_crude|%s Rozzo
imod_old|%s Vecchio 
imod_cheap|%S Economico
imod_fine|%s Bene
imod_well_made|%s Ben Fatto
imod_sharp|%s Affilato
imod_balanced|%s Bilanciato
imod_tempered|%s Temperato
imod_deadly|%s Letale
imod_exquisite|%s Squisito
imod_masterwork|%s Capolavoro
imod_heavy|%s Pesante
imod_strong|%s Forte
imod_powerful|%s Potente
imod_tattered|%s Malandato
imod_ragged|%s Logoro
imod_rough|%s Rozzo
imod_sturdy|%s Robusto
imod_thick|%s Spesso
imod_hardened|%s Indurito
imod_reinforced|%s Rinforzato
imod_superb|%s Superbo
imod_lordly|%s Signorile
imod_lame|%s Azzoppato
imod_swaybacked|%s Sfiancato
imod_stubborn|%s Testardo
imod_timid|%s Timido
imod_meek|%s Mite
imod_spirited|%s Vigoroso
imod_champion|%s Campione
imod_fresh|%s Fresco
imod_day_old|%s Di Ieri
imod_two_day_old|%s Vecchio di Due Giorni
imod_smelling|%s Puzzolente
imod_rotten|%s Marcio
imod_large_bag|Sacco Grande di %s
