p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelagir
p_town_linhir|Linhir 
p_town_dol_amroth|Dol Amroth 
p_town_edhellond|Edhellond 
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin 
p_town_west_osgiliath|Sponda Ovest di Osgiliath 
p_town_henneth_annun|Henneth Annun 
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel 
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Fosso di Helm
p_town_east_emnet|Emnet Est
p_town_westfold|Ovestfalda
p_town_west_emnet|Emnet Ovest
p_town_eastfold|Estfalda
p_town_morannon|Cancelli di Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Campo di Pattuglia degli Orchi 
p_town_east_osgiliath|Sponda Est di Osgiliath 
p_town_orc_sentry_camp|Accampamento di Sentinella degli Orchi
p_town_isengard|Isengard
p_town_urukhai_outpost|Avamposto degli Uruk-Hai
p_town_urukhai_h_camp|Accampamento di Caccia degli Uruk-Hai
p_town_urukhai_r_camp|Accampamento sul Fiume degli Uruk-Hai
p_town_caras_galadhon|Caras Galadhon 
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth 
p_town_thranduils_halls|Caverne di Thranduil 
p_town_woodelf_camp|Accampamento Orientale degli Elfi Silvani
p_town_woodelf_west_camp|Accampamento Occidentale degli Elfi Silvani
p_town_woodsmen_village|Villaggio dei Boscaioli 
p_town_beorning_village|Villaggio della Gente di Beorn
p_town_beorn_house|Casa di Beorn
p_town_moria|Porte di Moria
p_town_troll_cave|Caverna dei Troll
p_town_dale|Dale
p_town_esgaroth|Esgaroth 
p_town_dunland_camp|Accampamento dei Dunlandiani
p_town_harad_camp|Accampamento degli Haradrim 
p_town_khand_camp|Accampamento degli uomini di Khand
p_town_umbar_camp|Accampamento dei Corsari
p_town_imladris_camp|Accampamento di Gran Burrone
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Avamposto Nord di Dol Guldur
p_town_rhun_main_camp|Campo Centrale di Rhun
p_town_rhun_south_camp|Accampamento Meridionale di Rhun
p_town_rhun_north_camp|Accampamento Settentrionale di Rhun
p_town_gundabad|Gundabad 
p_town_gundabad_ne_outpost|Avamposto Nord-Est di Gundabad 
p_town_gundabad_nw_outpost|Avamposto Nord-Ovest di Gundabad
p_town_goblin_north_outpost|Avamposto Settentrionale dei Goblin 
p_town_goblin_south_outpost|Avamposto Meridionale dei Goblin
p_town_gundabad_m_outpost|Avamposto di Gundabad nel Bosco Atro
p_town_erebor|Erebor
p_town_ironhill_camp|Cava Dei Colli Ferrosi
p_advcamp_gondor|Accampamento Avanzato di Gondor
p_advcamp_rohan|Accampamento Avanzato di Rohan 
p_advcamp_isengard|Accampamento Avanzato di Isengard 
p_advcamp_mordor|Accampamento Avanzato di Mordor
p_advcamp_harad|Accampamento Avanzato degli Haradrim 
p_advcamp_rhun|Accampamento Avanzato di Rhun
p_advcamp_khand|Accampamento Avanzato degli uomini di Khand
p_advcamp_umbar|Accampamento Avanzato dei Corsari di Umbar 
p_advcamp_lorien|Accampamento Avanzato di Lorien 
p_advcamp_imladris|Accampamento Avanzato di Gran Burrone
p_advcamp_woodelf|Accampamento Avanzato degli Elfi di Bosco Atro
p_advcamp_moria|Accampamento Avanzato di Moria
p_advcamp_guldur|Accampamento Avanzato di Dol Guldur
p_advcamp_gundabad|Accampamento Avanzato di Gundabad 
p_advcamp_dale|Accampamento Avanzato di Dale
p_advcamp_dwarf|Accampamento Avanzato di Erebor
p_advcamp_dunland|Accampamento Avanzato dei Dunlandiani
p_advcamp_beorn|Accampamento Avanzato Della Gente di Beorn
p_argonath|Argonath 
p_argonath2|Argonath
p_hand_isen|Insegna di Insengard 
p_mount_doom|Monte Fato
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silverlode
p_old_ford|Vecchio Guado
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entalluvio
p_ford_rohan2|Entalluvio
p_ford_fangorn|Entalluvio
p_ford_fangorn2|Limterso
p_ford_moria|Argentaroggia
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Paludi Morte
p_legend_mirkwood|Bosco Atro
p_legend_fangorn|Ent-consiglio di Fangorn
p_ring_hunter_lair|Tana dei Cacciatori dell'Anello
p_ancient_ruins|Antiche Rovine
