skl_trade|Commercio
skl_trade_desc|Rende i fabbri e gli empori più cooperativi e con equipaggiamenti migliori (Abilità di Gruppo)
skl_leadership|Comando
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you (player only). (Cumulative skill)
skl_prisoner_management|Gestione Prigionieri
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners. (Party skill)
skl_persuasion|Mimetismo
skl_persuasion_desc|La capacità di sopravvivere nella natura selvaggia e piegarla alla tua volontà. Questa abilità influisce sulla capacità della compagnia di nascondersi dal nemico e sulla velocità del gruppo mentre si trova in un terreno boscoso. (Abilità di gruppo)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Primo Soccorso
skl_first_aid_desc|Per ogni punto in questa abilità gli eroi recuperano il 5%% di salute persa in battaglia. (Abilità di Gruppo)
skl_surgery|Chirurgia
skl_surgery_desc|Ogni punto in questa abilità aumenta del 4%% la probabilità che un membro della Compagnia, colpito violentemente, venga ferito anzichè ucciso. (Abilità di Gruppo)
skl_wound_treatment|Trattamento Ferite
skl_wound_treatment_desc|Per ogni punto in questa abilità la velocità di guarigione dei membri della Compagnia aumenta del 20%%. (Abilità di Gruppo)
; skl_inventory_management|Party Management
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption by 5%% and upkeep for troops in your party by 3%% per level. (Leader skill)
skl_spotting|Avvistamento
skl_spotting_desc|Per ogni punto in questa abilità la capacità visiva della Compagnia aumenta del 10%%. (Abilità di Gruppo)
skl_pathfinding|Orientamento
skl_pathfinding_desc|Per ogni punto in questa abilità la velocità della Compagnia sulla mappa aumenta del 3%%. (Abilità di Gruppo)
skl_tactics|Tattica
; skl_tactics_desc|Improves battle advantage. Decreases battle join range for enemy parties and increases battle join range for friendly parties by 3%% per level. (Leader skill)
skl_tracking|Seguire Tracce
skl_tracking_desc|Le orme sul terreno forniscono più informazioni. (Abilità di Gruppo)
skl_trainer|Addestramento
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30,38,46,55,65,80}. (Cumulative skill)
skl_looting|Saccheggiare
; skl_looting_desc|Increases amount and quality of loot gained after battles. (Cumulative skill)
skl_horse_archery|Arco in Sella
skl_horse_archery_desc|Riduce la penalità del danno e della precisione nell'uso degli archi mentre si cavalca. (Abilità Personale)
skl_riding|Cavalcare
skl_riding_desc|Permette di montare cavalli (o altre bestie cavalcabili) che richiedono un'abilità maggiore e incrementa la velocità e la capacità di manovra. (Abilità Personale)
skl_athletics|Atleticità
skl_athletics_desc|Migliora la velocità della corsa. (Abilità Personale)
skl_shield|Scudo
skl_shield_desc|Riduce i danni allo scudo (dell'8%% per punto Abilità) e migliora la copertura e la velocità nell'uso dello scudo, inoltre riduce la penalità dello scudo quando usato con gli archi (Abilità Personale)
skl_weapon_master|Maestria nelle armi
skl_weapon_master_desc|Facilita l'apprendimento e incrementa i limiti dell'abilità raggiungibile nell'uso delle armi. I limiti sono in funzione del livello: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Abilità Personale)
skl_power_draw|Potenza di tiro
skl_power_draw_desc|Permette l'utilizzo di archi più potenti. Ogni punto abilità (fino a 4 oltre al livello richiesto dall'arco) incrementa i danni provocati del 14%%. (Abilità Personale)
skl_power_throw|Potenza di Lancio
skl_power_throw_desc|Ogni punto incrementa del 10%% i danni provocati con armi da lancio. (Abilità Personale)
skl_power_strike|Potenza d'Attacco
skl_power_strike_desc|Ogni punto incrementa dell'8%% i danni provocati nei combattimenti corpo a corpo. (Abilità Personale)
skl_ironflesh|Resistenza
skl_ironflesh_desc|Ogni punto attribuito a questa abilità incrementa i punti salute di +2, permettendoti di ricevere qualche colpo senza subire ferite. (Abilità personale)
